form,person,number,inclusive,tier,pairs_with,composes_with,ambiguous_with,fits_channel,wrong_when,why_it_matters,detect_regex,probe,evidence_grade,source
tôi,1,singular,-,respectful,any,-,-,social; web; email; chat; marketplace; pr; sales-deck,the seller is a company and the promise needs the company behind it. tôi puts one named person behind a guarantee a team has to honour,"The one form the source lets out of the pairing rule: every other pronoun takes a matching form for the other side, and tôi takes any of them. It also carries equal status regardless of age, so it is the correct first person when the buyer's age is unknown - which online it always is",\btôi\b,Tôi mở quán năm 2009.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
chúng tôi,1,plural,exclusive,respectful,anh; chị; anh/chị; ông; bà; bạn; các bạn; quý khách; quý vị; các anh chị em; khách hàng,-,-,social; web; email; chat; marketplace; pr; sales-deck,"the shop is one person. A sole trader writing chúng tôi is inflating, and buyers in small categories read it correctly as a template","Documented exclusive: it means us and not you. This is the correct first person for a seller, and the reason chúng ta is not",\bchúng tôi\b,Chúng tôi giao trong ngày.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
chúng ta,1,plural,inclusive,peer,bạn; các bạn; mọi người,-,-,social; chat,"the sentence means us the sellers. Then the word is chúng tôi, and chúng ta has quietly put the buyer inside the company","Documented inclusive: it means you and me. Machine translation cannot see the difference because English we is both, so an English draft saying ""we deliver in one day"" comes back as chúng ta and now the customer is delivering. This is a grammatical error, not a tone preference",\bchúng ta\b,Chúng ta cùng giữ cái nồi đó chín năm.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
mình,1,singular,-,intimate,bạn; các bạn; mọi người,-,"mình is the reflexive pronoun in all three persons and also the noun for body, so của mình can mean your own and biết mình is not first person at all",social; chat,"the buyer is a stranger and the category is one where deference is expected. The source restricts singular mình to intimate relationships, spouses among them","On a one-person shop's page mình is warm and accurate. On a registered company's page it is a costume, and it clashes with every elevated form in the same piece","(?:^|[.!?…,;:]\s*)mình\b",Mình rang cà phê ở Gò Vấp.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
bọn mình,1,plural,inclusive,intimate,bạn; các bạn; mọi người,-,-,social; chat,"the copy also carries a warranty, a licence number or a refund rule. The register and the obligation do not match","Intimate and inclusive at once. It is the default voice of a small Vietnamese seller on social, and it is the correct choice far more often than chúng tôi is - provided nothing else in the piece is ceremonial",\b(?:bọn|chúng) mình\b,Bọn mình mở cửa từ 7h.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
cháu,1,singular,-,respectful,ông; bà,-,"cháu is also the kinship noun for grandchild, niece and nephew, so it appears in copy that is describing a family rather than addressing anyone",chat; email,the writer is not plainly younger than the reader. Claimed deference that the ages do not support reads as sales patter,The documented reciprocal when the reader is addressed as ông or bà. A piece that says ông and then tôi is not wrong; one that says ông and then mình is,"(?:^|[.!?…,;:]\s*)cháu\b",Cháu gửi ông đơn thuốc.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
ta,1,singular,-,archaic,ngươi,-,nước ta and quê ta mean our country and are ordinary modern usage; chúng ta and người ta both contain the string,-,"always, in commercial copy","The source gives singular ta as soliloquy or as a high official marking his own rank. In a product caption it arrives from machine-translated period drama, and it is the loudest possible signal that nobody read the draft","(?:^|[.!?…,;:]\s*)ta\b",Ta đã nói rồi.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
tao,1,singular,-,impolite,mày,-,-,-,"always, unless the piece is quoting somebody","Superior to subordinate and familiar. The source calls the forms in this class impolite outside family use, and kinship terms are what replaces them",\btao\b,Tao nói rồi.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
tên thương hiệu,1,either,-,peer,bạn; các bạn; anh; chị; anh/chị; mọi người,-,"every proper noun in the draft, which is why this row carries no regex",social; chat; web,"the brand name is long, or the piece is a formal notice. Repeating a four-syllable name where a pronoun belongs reads as a press release","Using the speaker's own name instead of a pronoun is documented practice, and the source names musicians, actors and models as the people who prefer it. For a personal brand it dissolves the register problem entirely: a name has no age and no tier. Advisory row - no detector can tell a brand name from any other proper noun",-,-,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
bạn,2,singular,-,peer,tôi; mình; chúng tôi; chúng ta; bọn mình; tên thương hiệu,các bạn,"bạn bè, bạn hàng and bạn thân are nouns meaning friend or partner, not address",social; web; email; chat; marketplace,"the buyer is plainly older than the writer, or the category expects deference - property, healthcare, insurance, funeral services. The source records bạn as a recognised usage for readers in their early twenties, not as a neutral you","There is no neutral second person in Vietnamese, and bạn is what machine translation reaches for because English you has no age in it. That single substitution is the most common register tell in translated Vietnamese copy",\bbạn\b(?!\s*(?:bè|hàng|thân)),Bạn có bốn mươi phút.,standard-requirement,https://en.wikipedia.org/wiki/Pronouns_in_Vietnamese (fetched 2026-07-31)
