key,platform,surface,asset,ratio,rec_width,rec_height,min_width,min_height,ratio_tolerance_pct,max_file,file_formats,duration_min_s,duration_max_s,primary_text_chars,headline_chars,safe_zone,caveat,source_url,retrieved
meta-facebook-feed-image,Meta,Facebook Feed,image,4:5,1440,1800,600,750,3,30MB,JPG|PNG,not-applicable,not-applicable,150,27,undocumented,"Minimum height is stated as conditional on the ratio: 750 px is the figure that goes with 4:5. Another accepted ratio has another minimum height and the page does not tabulate them",https://www.facebook.com/business/ads-guide/update/image/facebook-feed,2026-07-31
meta-facebook-reels-image,Meta,Facebook Reels,image,9:16,1440,2560,undocumented,undocumented,undocumented,undocumented,JPG|PNG,not-applicable,not-applicable,40,55,undocumented,"This page carries no technical-requirements block at all: no file ceiling, no minimum width, no tolerance. Silence is not permission. The upload will still reject something, and what it rejects is simply not published here",https://www.facebook.com/business/ads-guide/update/image/facebook-facebook-reels,2026-07-31
meta-facebook-story-image,Meta,Facebook Stories,image,9:16,1440,2560,500,undocumented,1,30MB,JPG|PNG,not-applicable,not-applicable,125,40,undocumented,"A minimum width is documented and a minimum height is not. The 1 per cent tolerance is a third of the Feed figure, so a crop that clears Feed can still fail Stories",https://www.facebook.com/business/ads-guide/update/image/facebook-story,2026-07-31
meta-instagram-feed-image,Meta,Instagram Feed,image,4:5,1440,1800,undocumented,undocumented,undocumented,undocumented,JPG|PNG,not-applicable,not-applicable,125,40,undocumented,"No technical block. The 30-hashtag ceiling is documented on this surface and on no other row in this table",https://www.facebook.com/business/ads-guide/update/image/instagram-feed,2026-07-31
meta-instagram-reels-image,Meta,Instagram Reels,image,9:16,1440,2560,undocumented,undocumented,undocumented,undocumented,JPG|PNG,not-applicable,not-applicable,44,not-applicable,undocumented,"No technical block and no headline field. 44 characters is the tightest copy budget on the table, which is the real constraint on this surface rather than any pixel figure",https://www.facebook.com/business/ads-guide/update/image/instagram-reels,2026-07-31
meta-instagram-story-image,Meta,Instagram Stories,image,9:16,1440,2560,500,undocumented,1,30MB,JPG|PNG,not-applicable,not-applicable,125,not-applicable,undocumented,"No headline field on this surface, so the first line of the primary text is doing that job",https://www.facebook.com/business/ads-guide/update/image/instagram-story,2026-07-31
meta-facebook-feed-video,Meta,Facebook Feed,video,4:5,1440,1800,120,120,undocumented,4GB,MP4|MOV|GIF,1,14460,150,27,undocumented,"The page says 241 minutes, not 240, so 14460 s is recorded because that is what it says. H.264, square pixels, fixed frame rate, progressive scan and AAC stereo at 128 kbps or better are listed as recommendations, not requirements",https://www.facebook.com/business/ads-guide/update/video/facebook-feed,2026-07-31
meta-facebook-reels-video,Meta,Facebook Reels,video,9:16,1440,2560,undocumented,undocumented,undocumented,4GB,MP4|MOV|GIF,undocumented,unlimited,40,55,undocumented,"Duration is documented as having no maximum, which is a stated absence of a limit and not the same thing as the silence on the image variant of this same surface",https://www.facebook.com/business/ads-guide/update/video/facebook-facebook-reels,2026-07-31
meta-facebook-story-video,Meta,Facebook Stories,video,9:16,1440,2560,undocumented,undocumented,undocumented,undocumented,MP4|MOV|GIF,undocumented,undocumented,125,40,undocumented,"No technical block, so neither a duration nor a file ceiling is published for this surface",https://www.facebook.com/business/ads-guide/update/video/facebook-story,2026-07-31
meta-instagram-feed-video,Meta,Instagram Feed,video,9:16,1080,1920,250,undocumented,1,4GB,MP4|MOV|GIF,1,3600,125,not-applicable,undocumented,"Video on Instagram Feed is recommended at 9:16 while an image on the same surface is recommended at 4:5. One master cannot satisfy both, which is the practical reason a still and a cut of the same shoot need separate exports",https://www.facebook.com/business/ads-guide/update/video/instagram-feed,2026-07-31
meta-instagram-reels-video,Meta,Instagram Reels,video,9:16,1440,2560,250,undocumented,undocumented,4GB,MP4|MOV,0,900,44,not-applicable,undocumented,"Minimum width is conditional on length: 250 px under 30 s and 500 px at 30 s or over. The looser figure is recorded, so a 30 s cut that clears this row can still be rejected. The page also excludes footage first posted before 2021-10-15",https://www.facebook.com/business/ads-guide/update/video/instagram-reels,2026-07-31
meta-instagram-story-video,Meta,Instagram Stories,video,9:16,1440,2560,250,undocumented,1,4GB,MP4|MOV|GIF,1,3600,125,not-applicable,undocumented,"The only Meta surface where the image and video rows agree on ratio, recommended size and copy budget, so one shoot exports to both",https://www.facebook.com/business/ads-guide/update/video/instagram-story,2026-07-31
meta-facebook-feed-carousel,Meta,Facebook Feed,carousel,1:1,1080,1080,1080,1080,3,30MB,JPG|PNG|MP4|MOV|GIF,1,14400,80,20,undocumented,"Two ceilings in one row: a card that is an image caps at 30MB and a card that is video caps at 4GB. Cards run 2 to 10, a description field of 18 characters exists here and nowhere else, and a landing URL is mandatory",https://www.facebook.com/business/ads-guide/update/carousel/facebook-feed,2026-07-31
tiktok-infeed-nonspark-vertical,TikTok,In-Feed auction,video,9:16,undocumented,undocumented,540,960,undocumented,500MB,MP4|MOV|MPEG|3GP|AVI,undocumented,600,undocumented,undocumented,"Varies with the dimension, the caption length and any extra format in use. Overlay files to check against are published on the page","Bitrate must be at least 516 kbps. Captions render in a fixed white face and carry no links, @ handles or hashtags, so anything clickable has to live in the ad furniture instead",https://ads.tiktok.com/help/article/tiktok-auction-in-feed-ads?lang=en,2026-07-31
tiktok-infeed-nonspark-horizontal,TikTok,In-Feed auction,video,16:9,undocumented,undocumented,960,540,undocumented,500MB,MP4|MOV|MPEG|3GP|AVI,undocumented,600,undocumented,undocumented,"Varies with the dimension, the caption length and any extra format in use","Same page and same ceilings as the vertical row. Only the accepted resolution floor moves",https://ads.tiktok.com/help/article/tiktok-auction-in-feed-ads?lang=en,2026-07-31
tiktok-infeed-nonspark-square,TikTok,In-Feed auction,video,1:1,undocumented,undocumented,640,640,undocumented,500MB,MP4|MOV|MPEG|3GP|AVI,undocumented,600,undocumented,undocumented,"Varies with the dimension, the caption length and any extra format in use","Same page and same ceilings as the vertical row. Only the accepted resolution floor moves",https://ads.tiktok.com/help/article/tiktok-auction-in-feed-ads?lang=en,2026-07-31
tiktok-infeed-spark,TikTok,In-Feed auction,video,unlimited,undocumented,undocumented,unlimited,unlimited,undocumented,unlimited,MP4|MOV,undocumented,unlimited,undocumented,undocumented,"Whatever the organic post already satisfies, because that post is the asset","Ratio, resolution, file type, duration, bitrate and file size are all documented as unrestricted, because the ad is an existing organic post rather than an upload. The caption comes from the organic caption and shows at most 4 lines. Engagement lands on the organic post",https://ads.tiktok.com/help/article/spark-ads?lang=en,2026-07-31
google-display-uploaded-image,Google Ads,Display uploaded,image,per-placement,undocumented,undocumented,undocumented,undocumented,undocumented,150KB,GIF|JPG|PNG,not-applicable,not-applicable,not-applicable,not-applicable,undocumented,"Not ratio-driven. Every placement has its own exact pixel size and the page tabulates them, so one master does not scale down to the set. An animated GIF must come to a stop within 30 s",https://support.google.com/google-ads/answer/1722096?hl=en,2026-07-31
google-display-html5,Google Ads,Display HTML5,bundle,per-placement,undocumented,undocumented,undocumented,undocumented,undocumented,600KB,ZIP,undocumented,30,not-applicable,not-applicable,undocumented,"The 600KB ceiling is on the compressed bundle, four times what a flat image gets. Animation must stop after 30 s and may loop until it does",https://support.google.com/google-ads/answer/1722096?hl=en,2026-07-31
youtube-bumper,YouTube,Bumper,video,16:9,undocumented,undocumented,undocumented,undocumented,undocumented,undocumented,undocumented,undocumented,6,undocumented,undocumented,undocumented,"Six seconds is the ceiling that defines the format, not a recommendation inside it. File limits are not published here because the asset is an ordinary YouTube upload first",https://support.google.com/google-ads/answer/2375464?hl=en,2026-07-31
