gate,applies_to,threshold,formula,space,verdict_if_failed,evidence_grade,source,what_it_does_not_establish
body-text-contrast,any pair carrying text at normal size,>= 4.5:1,(Llighter + 0.05) / (Ldarker + 0.05),WCAG relative luminance from linear sRGB,fail; the palette cannot carry body copy on that pair,standard-requirement,"W3C WCAG 2.2 SC 1.4.3 Contrast (Minimum), AA","Readability. Contrast ignores font weight, size beyond the two bands, polarity, glare and the spatial frequency of the typeface"
large-text-contrast,text at 18.66px bold or 24px regular and above,>= 3.0:1,(Llighter + 0.05) / (Ldarker + 0.05),WCAG relative luminance from linear sRGB,fail for that text size,standard-requirement,"W3C WCAG 2.2 SC 1.4.3 Contrast (Minimum), AA",That the type is actually set at that size in the layout; the gate trusts the claim made in the brief
non-text-contrast,"icons, input borders, chart strokes, focus rings",>= 3.0:1,(Llighter + 0.05) / (Ldarker + 0.05),WCAG relative luminance from linear sRGB,fail; the boundary is not reliably visible,standard-requirement,"W3C WCAG 2.2 SC 1.4.11 Non-text Contrast, AA","Whether the element is decorative, which is exempt. That judgement is the designer's and the gate cannot make it"
colour-is-not-the-only-cue,any pair the caller declares as carrying meaning by colour alone,OKLab distance >= 0.09 after dichromacy simulation,"simulate protanopia and deuteranopia at severity 1.0, then measure OKLab distance","Machado matrices applied in linear sRGB, distance in OKLab","fail on a declared pair; review on any other. SC 1.4.1 is broken by a use and not by a palette, so a collapse on an undeclared pair is reported with the arithmetic rather than judged. Declare pairs with --carries-meaning ROLE+ROLE",standard-requirement-with-house-threshold,"W3C WCAG 2.2 SC 1.4.1 Use of Color is the requirement; the simulation is Machado, Oliveira and Fernandes 2009, IEEE TVCG; the 0.09 collapse distance is ours","Anything about an individual's vision. The matrices model average dichromacy at full severity, not the 8 percent of men who each differ"
same-hue-lightness-separation,"pairs whose hues sit within 30.0 degrees and where both colours carry at least 0.03 chroma, because a near-neutral has no hue to be the same as",abs(L1 - L2) >= 0.12 passes; below 0.1 fails; between the two is returned for review,"abs(OKLCH_L1 - OKLCH_L2), gated on min(C1, C2) >= 0.03",OKLCH,fail below the lower bound; the two read as one colour printed unevenly,house-rule,"No published threshold exists. An independent derivation reached the same rule in the same space at 0.1; we hold 0.12, and treat the span between two invented numbers as the range over which nobody knows rather than failing a pair by 0.0004. The 0.03 chroma floor is the one number here that was measured: sweeping the sRGB cube shows a neutral's hue angle swinging by a median 72.7 degrees under a single 8-bit step, more than twice the whole window",That 0.12 is a perceptual boundary. It is not. Smaller separations work on large flat areas and fail on a 2px rule
no-vibrating-edge,any adjacent pair of saturated colours at similar lightness,"not (abs(L1-L2) <= 0.1 and min(C1,C2) >= 0.14 and hue gap >= 100.0)",all three conditions true at once flags the pair,OKLCH,fail; separate the lightness or take chroma off one side,house-rule,"The effect is documented, the onset is not. No measured OKLCH threshold exists for chromostereopsis across displays and observers, so this is a screening rule","That the edge will vibrate, or that an unflagged edge will not. Display primaries, edge width and adaptation all move the effect"
chroma-budget-by-count,the palette as a whole,at most 1 colour at or above C 0.19,count(C >= 0.19) <= 1,OKLCH,"fail; one colour leads and the rest support, or nothing leads",house-rule,"A composition convention, not a measurement. Held because a palette with two shouting colours has no focal point, which is a hierarchy failure not a colour one. 244 professional photographs were measured against it in references/reference-reading.md and none broke it, but only 7 of them reach C 0.19 anywhere, so the grade stays house-rule: a sample that never approaches a limit cannot confirm it","Whether the loud colour is the right one, or whether the category already owns it. Nor whether two loud colours would actually fail, because nothing in the measured set attempts it"
chroma-budget-by-surface-share,the palette measured against a representative layout,combined share of colours at C >= 0.19 is <= 20 percent of the visible area,sum(share[i] for i where C[i] >= 0.19) <= 0.2,"OKLCH, with shares supplied by the layout",fail; the loud colour has become the background,house-rule,"Adopted after an independent derivation pointed out that a count cannot tell a 20px accent from a full-bleed panel at the same chroma. Only checked when shares are supplied, because a share nobody measured would be an invented input. The 244-frame set in references/reference-reading.md clears 20 percent in 243 of them with a median share of zero, so on photographic output the threshold is a formality; 3 percent is the line that would bite there and it is deliberately not applied here, because a full-bleed brand panel is not a photograph","Anything at all when shares are not supplied. The gate reports skipped rather than passed in that case. It also says nothing useful about a photograph, which reaches this chroma so rarely that a pass carries no information"
subject-holds-chroma-peak,"a brand colour placed on the same surface as a photograph of the subject, measured by scripts/sample_reference.py --image REF --check ROLE=HEX",accent chroma / reference peak chroma <= 1.0 passes; above 1.1 fails; between the two is returned for review,"max chroma over the sampled pixels of the reference, against the accent's own chroma",OKLCH,fail; ACCENT-OUTSHOUTS-SUBJECT. The eye lands on the navigation furniture instead of on the thing being sold,house-rule,"The rule is a hierarchy convention: in an image whose job is to sell the subject, brand furniture may not be the most saturated thing in the frame. The edge was measured rather than invented, because a maximum is the least stable statistic there is. Across the three food references in this repository at sampling strides 1, 2, 4, 6, 8 and 12 the peak chroma moved by 1.098x, 1.068x and 1.018x while the 98th percentile moved by 1.008x, 1.009x and 1.001x, so a margin under 1.1 is inside what the stride alone can move and is not judged","That the accent is wrong, or that the photograph is right. A reference shot flat or under-saturated lowers the bar it sets, so a pass against a weak photograph means nothing. Three photographs is a small sample and 1.1 is a house number read off it"
accent-chroma-matches-reference,"a brand colour whose hue sits in an arc the reference holds at 0.5 percent of the frame or more",accent chroma / that arc's p98 chroma <= 1.5 passes; above 2.0 fails; between the two is returned for review,"98th percentile chroma of the reference pixels inside the accent's own 30-degree hue arc",OKLCH,fail; CHROMA-INFLATED. The brand version is a saturated swatch that shares only a hue name with the scene,house-rule,"This is the arithmetic of the commonest failure in the trade: a palette picked from a list and the photograph dropped in afterwards, so the accent is named after something in the scene rather than measured from it. Print ink is legitimately hotter than glaze under kitchen light, which is why the pass band allows intensification up to 1.5x; both numbers are ours and the band between them is treated as the range over which nobody knows","That matching the chroma makes the pair harmonious, or that exceeding it makes them clash. It compares one accent against one photograph and says nothing about lightness, area or what the pair does at their shared edge"
