id,event_name,funnel_stage,fires_exactly_when,required_params,value_source,dedup_key,counted_as_conversion,reserved_in_ga4,common_error,vn_note,what_it_does_not_prove
view-item,view_item,interest,"A product detail page finishes rendering with a resolved item_id. Not on a list card, not on a hover, not on a modal quick-view",item_id;item_name;price;currency,"Listed price, not the discounted total",session_id + item_id,no,no,"Fired on every card in a listing, which multiplies the count by the page size and makes the view-to-cart ratio look catastrophic","Most traffic arrives inside the Facebook or Zalo in-app browser, where a session restarts more often than on desktop, so session-scoped counts run high",Interest. A page can render because a crawler asked for it or because the visitor mis-tapped
add-to-cart,add_to_cart,intent,"The cart write succeeds, in the response handler. Not on the button click",item_id;quantity;price;currency,Quantity times unit price at the moment of the write,cart_id + item_id + quantity,sometimes,no,"Bound to the click handler, so a failed write, a double tap and a rage tap all count",Marketplace sellers have no cart event at all. The cart lives inside Shopee or TikTok Shop and cannot be instrumented from outside,Intent strong enough to price against. Carts get used as wishlists
begin-checkout,begin_checkout,intent,The first checkout step renders with a non-empty cart,value;currency;items,Cart subtotal before shipping and discount,checkout_id,sometimes,no,"Re-fired on every step of a multi-step checkout, which pushes it above add_to_cart",A large share of orders never reaches a checkout page because they are placed in chat. Instrument the chat handoff or this stage reads as a collapse,That payment was attempted
purchase,purchase,conversion,"The order record is created server-side and returns an order id. Fire it from the server, not from the thank-you page",transaction_id;value;currency;items,"Order total excluding shipping and tax, unless the whole plan agrees otherwise in writing",transaction_id,yes,no,"Fired on the thank-you page, so a refresh double-counts and a customer who closes the tab mid-redirect is never counted at all",On cash on delivery this event is an order request and not revenue. Pair it with order-delivered or every efficiency figure is overstated by the cancellation rate,Revenue. It proves an order was created
order-confirmed,order_confirmed,conversion,"A person or a rule confirms the order is real and shippable, usually after the confirmation call",transaction_id;value;currency;confirm_channel,"Confirmed order total, after the call changed it",transaction_id,yes,no,"Not instrumented at all, so nobody can see the gap between orders placed and orders worth shipping",The confirmation call is standard practice here and it is where duplicate and prank orders get removed. Skipping this event throws away the cleanest number in the funnel,Delivery. A confirmed order can still be refused at the door
order-delivered,order_delivered,revenue,"The carrier reports successful delivery and, on cash on delivery, the money is collected",transaction_id;value;currency;delivered_at,Cash actually collected,transaction_id,yes,no,"Assumed equal to purchase, which is the largest single overstatement available in a cash-on-delivery funnel","This is the event that makes a Vietnamese report honest. Compute the ratios that decide budget on it, and report purchase-to-delivered on its own line",That the order survives the return window
order-returned,order_returned,revenue,A return or refund is accepted and the money leaves,transaction_id;value;currency;reason_code,"Amount refunded, carried as a negative",transaction_id + reason_code,no,no,"Recorded in accounting and never joined back to the campaign, so the channel that sells the most returns keeps its budget","Reason codes decide more than the rate does. Wrong size is a listing problem, damaged in transit is a carrier problem, and the two get budgeted differently",Dissatisfaction. A return can be a size exchange
generate-lead,generate_lead,conversion,A form submission is accepted server-side and passes validation,form_id;lead_id,Leave empty unless a verified average lead value exists,lead_id,yes,no,"Given an invented monetary value so a return figure can be computed, which promotes an assumption to a reported number","Forms convert badly against chat here, so a form-only lead plan usually ends up measuring the wrong channel",A contactable person. Validation is not verification
contact-click-phone,contact_click_phone,intent,A tel: link is activated,link_location,None,session_id + link_location,sometimes,no,Reported as a call. It is a tap on a phone number and nothing more,"Worth pairing with a tracked number, because the tap and the connected call are different events and only one of them is a lead","That a call happened, connected or was answered"
contact-click-zalo,contact_click_zalo,intent,A link to a Zalo Official Account or chat is activated,link_location;oa_id,None,session_id + link_location,sometimes,no,"Treated as the end of the funnel, when everything that decides the sale happens after it and outside the website","The click is the last thing a website can see. Whether the conversation joins back to the campaign is a Zalo question, answered in data/attribution-windows.csv rather than assumed",A conversation. The app may not open and the message may never be sent
contact-click-messenger,contact_click_messenger,intent,A link or plugin that opens Messenger is activated,link_location;page_id,None,session_id + link_location,sometimes,no,"Added to Meta's own messaging conversion for the same person in the same report, so one thread counts twice","Messenger and Zalo split by audience age and by category, so instrument both rather than the one the team happens to prefer",A reply. Opening a thread is not starting a conversation
marketplace-outbound,marketplace_outbound,handoff,"A link out to Shopee, Lazada or TikTok Shop is activated",destination;item_id,None,session_id + destination + item_id,no,no,"Promoted to a conversion because it is the last measurable step, which quietly redefines the goal as leaving the site",The hardest wall in a Vietnamese measurement plan. What the platform reports back to the seller decides whether this click can ever be joined to an order,An order. The visit continues somewhere this plan cannot see
store-directions,store_directions,intent,A directions or map link is activated,store_id,None,session_id + store_id,sometimes,no,"Added to the Business Profile's own directions metric for the same visit, in the same table","Most local intent resolves inside Google Maps and never touches the website, so this number is a fraction of the real one and cannot be compared with it",A visit to the shop
video-engaged,video_engaged,interest,Cumulative watch time on one video passes a threshold the plan names once and then keeps,video_id;threshold_seconds,None,session_id + video_id + threshold_seconds,no,no,Compared across platforms whose definitions of a view differ by an order of magnitude,"A platform view count and this event answer different questions, so they never belong in the same column of a report",Attention. Autoplay with the sound off clears most thresholds
subscribe,subscribe_optin,retention,"A double opt-in is confirmed, not when the address is typed",list_id;consent_source,None,hashed_contact + list_id,sometimes,no,"Fired at form submit, so reported list growth is larger than the list",Carry the consent source as a parameter. Law 91/2025/QH15 replaced Decree 13/2023/ND-CP on 1 January 2026 and a list without provenance cannot be defended under either,Permission to send anything the consent text did not describe
