command,category,does,takes,also_uses,produces,also_satisfies,usual_next,machinery,refuses,what_it_does_not_do
brainstorm,discover,"Turn a cold brief into candidate problems, audiences, propositions and risks, then cut the weak ones",cold-brief,,opportunity-map,,research,campaign-systems.md; product-category-playbooks.md; data/copy-formulas.csv,Producing a single idea and calling it the answer; a list of twenty with no cut is the same failure,Establish that any candidate is true. Every item leaves here labelled inferred
research,discover,"Find market, competitor, price, regulatory and channel evidence, with each source's family and blindness named",opportunity-map,,evidence-pack,,investigate,research-protocol.md; market-data-collection.md; how-companies-market.md; data/market-data-sources.csv; data/marketing-benchmarks.csv; scripts/research_plan.py,Three sources from one measurement family presented as triangulation,"Tell you what customers want. Desk evidence describes the market, not the buyer"
investigate,discover,"Read actual customer language, objections and buying context from reviews, messages, calls and comments",opportunity-map,evidence-pack,audience-investigation,,survey,customer-evidence.md; research-protocol.md,"Inventing a quote, a persona detail or a review that no source contains","Establish prevalence. Vivid language from six buyers is a hypothesis, not a share"
survey,discover,Design or read audience research so a difference has to beat its own margin of error before it counts,audience-investigation,,audience-findings,,segment,market-data-collection.md; research-protocol.md,Reporting a gap smaller than the margin of error as a finding,Fix a leading question. Wording changed between waves makes the comparison invalid at any n
segment,decide,"Group buyers by differences that change what you would say, sell or charge, and drop the rest",audience-investigation,audience-findings,audience-priority,,position,market-assessment.md; customer-evidence.md,Demographic segments that produce identical creative; a segment nobody would brief differently is not a segment,Size the segments. That needs the bottom-up chain in market-data-collection.md
position,decide,"Fix the category frame, the buyer, the problem, the difference and the reason to believe it",audience-priority; evidence-pack,,positioning-platform,,offer,marketing-system-router.md; claims-proof-ledger.md; how-companies-market.md,"A difference the product does not have, and a claim with no evidence row behind it",Guarantee the frame is winnable. It states the bet and what would prove it wrong
offer,decide,"Shape what is actually being sold: package, proof, price framing, risk reversal and response path",positioning-platform,,offer-architecture,,plan,commerce-merchandising.md; claims-proof-ledger.md; menu-engineering.md,"Manufactured scarcity, hidden conditions and a discount presented as a mechanism","Set the price. It needs unit cost and contribution margin, which only the owner has"
plan,decide,"Weld objective, audience, message, channel, format, timing, owner and measurement into one plan",offer-architecture,revision-brief,campaign-plan,,budget,campaign-systems.md; paid-media-creative.md; content-system.md; scripts/plan_marketing_system.py; scripts/start_workbench.py,A channel chosen by habit rather than by where the buyer's decision actually happens,Promise a result. It states the mechanism and the number that would confirm it
budget,decide,"Split the money across channels and phases, with each split traced to a benchmark and its sample",campaign-plan,,budget-allocation,,brief,how-companies-market.md; data/marketing-benchmarks.csv; references/kpi-scorecards.md,"Quoting the 60:40 split, the 9 percent of revenue figure or any benchmark without the population it came from",Know your margin. Every allocation here is a share of a total the owner must supply
brief,create,"Compress everything decided into one job, one buyer, one promise, one proof and one next step",positioning-platform,campaign-plan; budget-allocation; offer-architecture,creative-brief,,write,assets/templates/project-brief.json; scripts/find_recipe.py --brief; data/image-recipes.csv,A brief with two audiences or two promises; that is two briefs pretending to be one,Fill the fields only the owner knows. Those leave as explicit TBD with the reason
write,create,"Write the copy: search-led long form, ads, page, PDP, email, script, built on a named structure",creative-brief,evidence-pack; audience-investigation,copy-draft,,humanise,copywriting.md; content-system.md; data/copy-formulas.csv,"Keyword insertion in place of substance, and a heading that promises what the section does not deliver",Clear the claims. Anything publishable goes through approve with a claim id
humanise,create,"Measure and repair what makes a draft read machine-written: cadence, uniformity, connectives, icons",copy-draft,,human-draft,,localise,rewrite-human.md; data/translation-tells.csv; scripts/rewrite_human.py --check,"Lowering a target to pass, and adding texture on top of prose that is still flat underneath",Make weak content interesting. Rhythm cannot rescue a page with nothing in it
