id,name_vi,name_en,use_when,structure,example_vi,example_en,fails_when,plain_language_note
tension-ladder,"Thang căng thẳng","Tension ladder","The default for anything longer than a headline, and the spine every other formula sits on","tension -> promise -> mechanism -> proof -> action. Five moves, in that order, each one sentence before you allow yourself two","Buổi trưa chỉ có bốn mươi phút. Một tô đủ no tới chiều. Nước dùng nấu từ xương từ [giờ mở nồi], không nấu theo từng tô. [Số] năm bán cùng một nồi ở [địa chỉ]. Ghé quán trước [giờ] để khỏi chờ.","Lunch is forty minutes long. One bowl that holds until evening. The broth is simmered from bone from [start time], not made per order. [N] years of the same pot at [address]. Come before [time] and you will not wait.","Any rung is skipped. Promise without mechanism is a boast; mechanism without proof is a spec sheet","Tension is the problem the reader already has before you speak. If you cannot name it in their own words, you are not ready to write"
pas,"Vấn đề – Khoáy sâu – Giải pháp","Problem, agitate, solve","Cold audience with a problem they have stopped noticing","Name the problem in their words. Show the cost of leaving it. Then one solution, one action","Bạn đặt cơm trưa vì không kịp nghĩ. Tuần nào cũng vậy, và tới chiều thì đói lại. Nồi nước dùng của quán nấu từ xương, một tô đủ tới hết ngày làm.","You order lunch because there is no time to think. Every week the same, and by afternoon you are hungry again. Our broth is simmered from bone; one bowl holds until the working day ends.","The agitation is longer than the solution, or the problem is one you invented for them","Agitate means make the existing cost visible, not manufacture fear. If the cost is not real, use a different formula"
before-after-bridge,"Trước – Sau – Cây cầu","Before, after, bridge","Warm audience who trust you but have not moved","Where they are now. Where they could be. The specific thing that carries them across","Hiện tại: mỗi trưa mất mười phút chọn quán. Sau: một quán, một món, quyết trong ba giây. Cầu nối: menu bốn món, không món nào là món phụ.","Now: ten minutes every lunchtime deciding. After: one place, one dish, decided in three seconds. The bridge: a four-item menu with no filler on it.","The bridge is your product described generically instead of the one mechanism that actually carries them","The bridge is the only sentence that has to be specific. The other two are the reader's own life"
one-idea-headline,"Tiêu đề một ý","One-idea headline","Any headline anywhere. There is no situation where two ideas in one headline is correct","One concrete noun and one verb that only your product could take. No conjunction. Under nine words","Nồi nước dùng bắt đầu từ [giờ] sáng","The stockpot starts at [hour] in the morning","It contains 'and', or a benefit and a feature both, or an adjective doing the work of a fact","If you can delete a word and the headline still means the same thing, the word was decoration. Do that until it hurts"
proof-first,"Bằng chứng đi trước","Proof first","The category is full of identical claims and nobody is believed","Lead with the verifiable thing. Let the claim follow from it, so the reader concludes it themselves","[Số] năm, cùng một nồi, cùng một địa chỉ. Chúng tôi không cần nói là ngon.","[N] years, the same pot, the same address. We do not need to tell you it is good.","The proof is not actually verifiable, in which case this formula turns into a lie with extra confidence","This is the strongest formula available to a small business, because proof is the one thing a big competitor cannot copy from you"
objection-first,"Nói thẳng phản đối","Objection first","One objection is stopping most people and everyone knows it","State the objection more plainly than the customer would. Answer it with a fact. Then the action","Đắt hơn quán bên cạnh [số] đồng. Vì nồi nước dùng nấu [số] tiếng thay vì pha. Ăn thử một lần rồi tự so.","It costs [amount] more than next door. Because the broth takes [N] hours instead of a sachet. Try it once and compare for yourself.","You soften the objection. A softened objection reads as evasion and costs more than the objection did","Naming the objection yourself is the cheapest trust you can buy. The customer already thought it; you are only proving you are not hiding"
mechanism-reveal,"Hé lộ cơ chế","Mechanism reveal","The product genuinely works differently and the difference is explainable in one sentence","Everyone does X. We do Y. Here is what Y changes for you","Phần lớn quán pha nước dùng theo tô. Quán nấu một nồi từ sáng và bán tới khi hết. Nên hết là hết, và nên vị hôm nay giống hôm qua.","Most places make broth per bowl. We cook one pot in the morning and sell until it is gone. So when it is gone it is gone, and today tastes like yesterday.","Y is not actually different, or you cannot say it without a diagram","A mechanism is why it works, not what it is. A non-marketer usually knows their mechanism better than any agency and undersells it"
specificity-swap,"Đổi chung chung thành cụ thể","Specificity swap","An existing draft is full of words like premium, fresh, quality, dedicated","Take each vague word, ask what observation produced it, and replace the word with the observation","Trước: nguyên liệu tươi, chất lượng cao. Sau: rau nhập lúc [giờ] mỗi sáng từ chợ [tên chợ].","Before: fresh, high-quality ingredients. After: greens collected at [time] each morning from [market name].","There is no observation behind the word. Then the honest move is to delete the sentence, not rewrite it","This single exercise improves more copy than any formula. Every vague adjective is a fact that went missing"
scarcity-honest,"Khan hiếm thật","Honest scarcity","There is a real limit: a batch size, a season, a pot, a room","State the limit, why it exists, and what happens when it is reached. Never a countdown you control","Bán tới khi hết nồi. Nồi nấu một lần mỗi sáng, thường hết khoảng [giờ].","We sell until the pot is empty. It is cooked once each morning and usually finishes around [time].","The limit is invented or resettable. Fake scarcity is the fastest way a small business loses a regular customer","If you could serve one more and choose not to, that is not scarcity. Real limits are usually more persuasive than invented ones anyway"
social-proof-specific,"Chứng thực cụ thể","Specific social proof","You have real customers and generic praise is not moving anyone","One named-role customer, one situation, one measurable change, one verbatim line — all approved","[Vai trò] ở [khu vực], ăn trưa ở đây [tần suất] từ [thời điểm]: '[câu nói đã được duyệt]'","A [role] from [area] has eaten lunch here [frequency] since [date]: '[approved quote]'","Any element is invented. An invented testimonial is a fabricated person and it is the single worst thing this skill could produce","Five specific words from one real customer outperform fifty five-star ratings, because specificity is what cannot be bought"
