ratio_id,label,w,h,family,native_home,communicates,consequence,grid,anchor_rule,evidence_grade,source
square,1:1,1080,1080,root-1,"Marketplace tiles, ad units, carousels, legacy IG feed","Neutral, product-first, systematic — a catalogue page","No dominant axis, so symmetry or centring wins. A thirds offset is only 16.7% of width from centre and reads as a mistake rather than a choice",optical-centre,Product optical centre on frame centre,industry-primary,references/dossiers/composition-and-layout-vision.md §10.1
feed-portrait,4:5,1080,1350,simple,"Meta feed — the ratio Meta itself recommends; IG portrait post","Human, editorial, mobile-first. The most feed area available without being a Story","A vertical subject fits whole and still leaves a real copy band of 20–25% of height",thirds,Subject eyes on the upper thirds line,industry-primary,https://socialbee.com/blog/instagram-aspect-ratio-and-image-size/
grid-thumb,3:4,1080,1440,simple,"IG profile-grid thumbnail since Jan 2025; native 3:4 photo support added May 2025","Same reading as 4:5, one notch taller","Creates the double-crop trap: a 4:5 upload shows uncropped in feed and loses 6.25% of its width on the profile grid",thirds,"Keep logos and edge-critical marks at least 7% of width inside the left and right edges",third-party-cache,https://www.kapwing.com/resources/instagrams-new-grid-layout-size-and-dimensions-2025/
pin,2:3,1000,1500,simple,Pinterest standard,"Discovery, editorial, a thing worth saving","Tall enough for a text lockup above a whole product without either being cramped",thirds,Product base on the lower thirds line and lockup above it,industry-primary,references/dossiers/composition-and-layout-vision.md §10.1
plate,5:4,1350,1080,simple,"Large-format still, some print","Formal, still-life, a plate rather than a photograph","Nearly square, so it behaves like 1:1: symmetry-friendly and hostile to a weak offset",optical-centre,Hero on centre; use symmetry deliberately rather than by default,craft-heuristic,references/dossiers/composition-and-layout-vision.md §10.1
still-35mm,3:2,1620,1080,simple,"35 mm still, print, web hero","Classic photographic, documentary — shot by a photographer","Wide enough that the dynamic-symmetry eye leaves the thirds line: 30.8% of width against 33.3%",dynamic-symmetry,Subject edge on the 30.8% vertical,craft-heuristic,https://en.wikipedia.org/wiki/Dynamic_rectangle
landscape,16:9,1920,1080,root-3-adjacent,"YouTube, web hero, in-stream, TV, presentations","Cinematic-lite, informational, landscape context — broadcast","Large horizontal negative space is cheap here, and it becomes a letterbox strip in a phone feed",dynamic-symmetry,Subject edge on the 24% vertical rather than 33%,craft-heuristic,https://en.wikipedia.org/wiki/Dynamic_rectangle
flat,1.85:1,1998,1080,simple,Cinema flat,"Contemporary film, understated prestige","A wider 16:9 that behaves the same way; no new problem and no new benefit",dynamic-symmetry,Subject edge on the computed eye vertical,industry-primary,references/dossiers/composition-and-layout-vision.md §10.1
ultrawide,21:9,2520,1080,root-5-adjacent,"Ultrawide display, some AI model presets","Panoramic, luxury, architectural — epic","Extreme: either the hero is small or the frame has to be built in layers",dynamic-symmetry,Hero small and off-axis; do not try to fill the width with one object,craft-heuristic,references/dossiers/composition-and-layout-vision.md §10.1
scope,2.39:1,2048,858,root-5-adjacent,"Cinema scope — the DCI 2K Scope container is exactly 2048 x 858","Prestige, film, drama, spectacle","The widest ratio that still reads as a film. The eye sits at 14.9% of width, so subjects go near the edges",dynamic-symmetry,Subject edge on the 15% / 85% verticals,industry-primary,https://dcpmaker.com/docs/scope-2-391/
vertical,9:16,1080,1920,simple,"Reels, TikTok, Shorts, Stories","Immersive, personal, first-person, immediate","Platform interface eats the top and bottom, leaving about 42% of the frame usable, and the optical centre moves to 39.5% of height",safe-band,Eyes and hero centroid at 38–42% of frame height and 1–3% left of centre,third-party-cache,https://behaviour.digital/post/meta-reels-safe-zone-14-top-35-bottom-6-sides-the-2026-official-guide
a4-print,root-2 (A4),1240,1754,root-2,"Print — ISO 216 paper. A4 is 210 x 297 mm and 297/210 = 1.4143","Official, printed, filed — a document rather than a post","Halves into two identical root-2 rectangles, which is why a folded leaflet keeps its proportion. It is also the one ratio where the two grids agree exactly: h squared = 2 w squared makes the dynamic-symmetry eye land on 1/3 to within a rounding error, so on ISO paper thirds and dynamic symmetry are the same grid and there is nothing to argue about",thirds,"Trim margin first: nothing that must survive enters the outer 60 px, because a guillotine does not forgive an edge",physics,https://en.wikipedia.org/wiki/ISO_216
golden,phi 1.618:1,1618,1000,phi,"Not a delivery ratio. A sizing ratio: type scale, margin-to-column, image-to-copy split","Nothing to a viewer. It is a generator for consistent sizes, not a signal","Removing the square from a golden rectangle leaves a golden rectangle, which is the whole of its usefulness",phi-as-sizing,Use 61.8 / 38.2 to split image against copy or to build a type scale; never as a placement rule,myth-adjacent,https://www.goldennumber.net/wp-content/uploads/George-Markowsky-Golden-Ratio-Misconceptions-MAA.pdf
