term_id,term,meaning_vi,meaning_en,register,origin,platform_fit,freshness,brand_risk,use_when,avoid_when,example_line,evidence_grade,source
khum,khum,"Không - cách viết nũng","Playful spelling of ""no""",text-speak,"Chat/meme spelling play, phổ biến từ 2021","Comment, DM, caption meme",aging,caution,"Trả lời comment thân mật, caption tự giễu của brand đã có persona trẻ","Mọi bề mặt in ấn, giá, chính sách, thông báo nghiêm túc; brand chưa từng nói giọng này","Sốp có ship hỏa tốc khum? Có nha, khum phải chờ đâu",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
goy,"gòy, roài","Rồi - viết kiểu nói dính","""Already/done"" in sticky chat spelling",text-speak,Chat spelling play,"Comment, DM",aging,caution,"Reply comment khi khách cũng đang viết kiểu này","Caption chính, mô tả sản phẩm, headline",Hết size M gòy chị ơi,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
hong-hem,"hông, hem","Không - giọng miền Nam viết ra chữ",Southern spoken ""no"" written out,text-speak,Khẩu ngữ miền Nam lên chat,"Comment, DM, video nói",dated-stable,caution,"Brand giọng miền Nam gần gũi, reply comment","Văn bản trang trọng, khách miền khác có thể thấy lạ",Đặt trước hông cần cọc hem?,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
sin-lui,sin lũi,"Xin lỗi - kiểu nũng, giảm nhẹ",Cutesy ""sorry"",text-speak,Meme spelling 2022,"Comment, story",aging,caution,"Nhận lỗi nhỏ không nghiêm trọng (giao chậm 10 phút) với khách quen giọng trẻ","Sự cố thật sự - hoàn tiền, hỏng hàng, dị ứng; lúc đó sin lũi là thiếu tôn trọng","Sin lũi cả nhà, 2h chiều nay mới có bánh mới nha",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
j-z-tr,j z tr,"Gì vậy trời - viết tắt","""What on earth"" abbreviated",text-speak,Chat viết tắt,"Comment, meme caption",aging,caution,"Caption phản ứng hài trong meme content","Bất kỳ chỗ nào cần người ngoài 25 tuổi đọc hiểu ngay",Khách: cho 1 ly không đá không đường không sữa. Quán: j z tr,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
dth,dth,Dễ thương - viết tắt,"""Cute"" abbreviated",text-speak,Chat viết tắt,"Comment, DM",dated-stable,caution,Reply comment khen của khách,"Caption chính - chữ tắt làm caption rẻ đi",Bé mèo nhà chị dth quá,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
u-la-troi,u là trời,"Trời ơi - ngạc nhiên, choáng",Oh my god,exclamation,"Khẩu ngữ lên TikTok, phổ biến rộng","Caption, video nói, comment",dated-stable,safe,"Mở caption phản ứng, hook video khi có gì đáng ngạc nhiên thật","Ngạc nhiên giả - nếu nội dung phía sau nhạt, câu mở này thành mồi bẩn","U là trời, 49k được nguyên set này",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
ua,Ủa?,"Mở đầu bằng bất ngờ, khó hiểu",Wait-what opener,exclamation,Khẩu ngữ phổ thông,"Hook video, caption",dated-stable,safe,"Hook mở video khi có nghịch lý thật để kể (Ủa sao quán 30 năm mà toàn khách trẻ?)","Dùng lặp mỗi video - mất tác dụng sau 3 lần",Ủa rồi ai bảo phở phải ăn sáng?,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
et-o-et,ét o ét,"SOS - cầu cứu, thường là giả vờ hoảng","SOS, mock panic",exclamation,"TikTok 2022 (đọc chệch SOS)","Caption, video",aging,caution,"Caption hài khi 'quá tải' theo nghĩa tốt (cháy hàng, khách đông)","Chuyện nghiêm túc; và cân nhắc - từ này đang rơi khỏi đỉnh, dễ đọc thành 2022","Ét o ét, mới 9h sáng đã hết 200 phần",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
get-go,gét gô,"Let's go đọc kiểu Việt - hô hào lên đường",Let's go in VN phonetics,exclamation,Meme 2022 (chú bộ đội),"Caption, video",aging,caution,"CTA vui cuối video cho brand giọng trẻ","Headline, CTA chính thức; đang cũ dần","Cuối tuần này flash sale, gét gô",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
