look_id,name_vi,name_en,family,origin,skin_finish,coverage_texture,brows,eyeshadow,liner_lashes,cheeks,contour_highlight,lips,palette_retouch,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,evidence_grade,source
kr-mul-gwang,Da căng bóng ướt (mul-gwang),Mul-gwang water glow,korean,"Seoul, mid-2010s onward","Wet specular sheen on forehead, cheekbone, nose bridge and chin; the highlight travels as the head turns","Sheer, pressed in by hand rather than buffed; pores, peach fuzz and tonal variation all left visible","Soft straight, front diffused with pencil, tail lifted only a few degrees","One warm coral or peach wash on the lid only, no crease work; shimmer reads wet, not glittery","Tightline only, no wing; lashes curled and individually separated, never clustered","High translucent coral drifting toward the temple, with no defined edge anywhere","No contour. The highlight is the base itself, not a product laid over it","Coral or peach tint, blurred outer edge, gloss on the centre third only","Warm neutral, mid contrast, texture protected; retouch takes blemishes and nothing else","The glow is continuous with the base, so there is no line where the shine begins",us-glass-skin,Ask where the glow stops. Mul-gwang has no boundary; a glass-skin highlight is a stripe laid on top and you can see its edge,Needs one large soft source or the sheen shatters into hot dots; bare flash blows it out entirely,"Serum, cushion, sunscreen, ampoule — anything whose proof is the skin itself","Matte foundation, setting powder or oil-control claims; the base argues against the product",craft-heuristic,"Recall, unverified 2026-07-30; check against Korean brand education decks and Allure Korea base features"
kr-no-makeup,Trang điểm như không trang điểm,Korean no-makeup makeup,korean,"Seoul, late 2000s; the ancestor of most clean lanes","Satin, nearly flat, with a faint sheen only on the inner cheek","Sheer to light, spot-corrected rather than covered; freckles and nose redness left in","Brushed upward, filled only in the sparse third, never outlined","Skin-tone or milk-tea matte across the lid, one step deeper in the outer corner","Brown tightline between the lashes, invisible at arm's length; mascara at the upper lash root only","Barely-there peach on the apple, the strength of a blush rather than of a product","Neither. Structure comes from the light, not from pigment","Balm or MLBB tint one step warmer than the natural lip, no edge work","Neutral, low contrast, commercial cleanup capped at blemish removal",Every product is present and none is identifiable; the face reads rested rather than made up,us-clean-girl,Look at the brow and the cheek. Korean no-makeup leaves the brow soft and the blush almost absent; clean girl laminates the brow and places the blush high on purpose,Reads as nothing unless the light does the work; wants a defined key or the face goes flat,"Skincare, dermatology, clinic, pharmacy — anywhere visible makeup would undercut the claim","Colour cosmetics, where the product cannot be seen and so the ad has no subject",craft-heuristic,"Recall, unverified 2026-07-30; check against Korean skincare campaign archives 2008-2015"
kr-aegyo-sal,Mắt có ngoạ tàm (aegyo-sal),Aegyo-sal under-eye,korean,"Seoul idol styling, 2010s","Satin base, kept deliberately dry under the eye so the drawn shadow reads","Light to medium, but the under-eye is left uncovered on purpose",Straight and soft; an arch fights the roundness the technique is buying,"Warm pink or peach on the lid, then a thin matte taupe line under the lower lash faking the fold, blended downward only","Tightline above, nothing on the waterline; lower lashes coated at the root so the shadow has something to sit against",Pink placed high and close to the under-eye so it reads together with the fold,"Pearl highlight on the ridge itself, which is what turns a smudge into a bump","Gradient tint, centre-loaded, blurred edge","Warm, mid contrast; never smooth the drawn fold away in retouch","A soft horizontal shadow under the lower lash with a highlight above it, so the eye reads rounder",us-under-eye-blush,Aegyo-sal is a shadow plus a highlight forming a ridge; under-eye blush is one wash of colour with no highlight and no edge,"Collapses under a high key, which fills the shadow; wants the key slightly above eye level, not overhead","Youth, idol, campus, cute-coded product; anything selling approachability","Authority, clinical or luxury positioning, and subjects over roughly 35 where it reads as an error",craft-heuristic,"Recall, unverified 2026-07-30; check against Korean idol tutorials and Pony Syndrome breakdowns"
kr-gradient-lip,Môi loang tâm điểm,Korean gradient lip,korean,"Seoul, early 2010s; the most exported single Korean technique","Satin to luminous, kept plain because the lip is the whole event","Light, with the natural lip border concealed so the gradient has room to fade","Soft straight, low contrast","Muted, one tone, in the same hue family as the lip",Minimal; a wing steals the attention the lip needs,"A wash echoing the lip colour, on the apple",Light and diffuse only,"Densest colour at the centre of both lips fading to nothing before the border; the outer edge is concealed, not lined","Warm, mid contrast, gradient preserved through retouch",The lip has no visible border at all and the colour is strongest in the middle,us-overlined-lip,"Follow the lip edge. A gradient fades out before the border; an overline crosses it. One hides the outline, the other invents one",Loses the gradient at small sizes and low resolution; on a thumbnail it just reads as a small mouth,"Tint, lip stain, cushion lip, youth and idol positioning","Lipstick whose pay-off is full opaque colour, or any shot that will be seen small",industry-primary,"Recall, unverified 2026-07-30; the technique is named and taught in Korean tint launches — check 3CE and Etude House education"
kr-hanbok-classic,Trang điểm hanbok cổ điển,Hanbok classical,korean,Korean period drama and ceremonial styling,"Powdered, deliberately matte and a touch lighter than the neck, which is period-coded rather than an error","Full and even, texture suppressed on purpose","Soft, straight, set low, drawn to a fine tail; never modern and arched","Almost none, or a flat pale wash; the era did not build a lid","A thin dark line at the lash root only, no wing, lashes left natural","A round red circle on the apple, saturated, edge only half blended",Neither. Flatness is the intended reading,"Small red centre well inside the natural border, matte, hard edge",Cool-leaning white against a single saturated red; high contrast between the three tones,"Three flat elements only — white face, round red cheek, small red lip — with nothing sculpted between them",jp-classical-white,"Count the reds. Hanbok uses a round cheek circle and a small centred lip; Japanese classical whitens further, leaves the cheek nearly bare, takes the lip smaller still and leaves the nape deliberately unpainted","Flat and graphic under any light, which is the point; do not add a rim light trying to rescue dimension","Heritage, festival, cultural editorial, period product","Contemporary beauty, unless the brief is explicitly a historical reference",inferred,"Recall, unverified 2026-07-30; characterised from period-drama styling, not from a primary source on Joseon cosmetics — verify before publishing any historical claim"
kr-idol-stage,Trang điểm sân khấu idol,Idol stage makeup,korean,"K-pop stage and music-show lighting, 2010s onward","Satin, set hard on the T-zone; glow is placed, not general, because stage light finds every wet surface","Medium to full, evened out for a camera that will be 20 metres away",Defined with a clear tail so the expression survives distance,"Saturated single hue with glitter concentrated on the centre lid, plus a bright inner-corner point","Extended liner past the outer corner, strip lashes with visible clusters, lower lashes drawn on","Strong, placed high and wide, because stage light washes colour out","Both, and both deliberately over-strength for the naked eye; the light flattens them back",Opaque satin or lacquer with a defined edge that reads at distance,"High contrast, saturated; broadcast grade rather than editorial","Everything is one step stronger than it should be in person, and correct on camera",ed-runway-graphic,Stage makeup is conventional grammar at raised volume; runway graphic is unconventional grammar at normal volume. Ask whether any single element is a shape you would not see on a street face,Correct under hard stage keys and long lenses; looks caked in daylight close-up,"Concert, performance, fan-meet, anything shot under stage lighting or from far away","Close-up beauty, skincare proof, or any daylight frame",craft-heuristic,"Recall, unverified 2026-07-30; check against music-show behind-the-scenes footage and stage-makeup interviews"
jp-igari,Má ửng như say (igari),Igari hangover blush,japanese,"Japan, named after makeup artist Shinobu Igari, 2010s","Satin, almost bare, because the cheek has to be the only saturated thing",Sheer; visible texture is part of the flushed reading,"Soft, straight, understated","Almost nothing on the lid, or the same red pulled thinly into the socket",Bare or a single root line; no wing,"Red or coral-red set high and close to the under-eye, crossing the nose bridge, edges left slightly unblended",Neither; contour would explain the structure the flush is meant to obscure,"Sheer red or bitten stain, matched to the cheek, no edge","Warm, one dominant hue repeated, mid contrast","Blush sits under the eye and over the nose bridge, higher and redder than anywhere a Western blush goes",kr-aegyo-sal,Igari is a red wash with no highlight and it crosses the nose; aegyo-sal is a shadow with a highlight above it and stays under the lash,Holds up in daylight and on phone cameras; can read as sunburn or fever under a warm grade,"Youth, playful, Japanese-coded, blush and cheek product launches","Corporate, clinical or luxury, and any market where a flushed face reads as illness",industry-primary,"Recall, unverified 2026-07-30; the look is named for a specific artist and covered in Japanese beauty press — check the attribution before printing the name"
jp-ulzzang-doll,Mắt búp bê Nhật,Japanese doll-eye,japanese,"Japanese street and magazine styling, 2000s","Soft matte to satin, even, low texture","Medium, smoothed; the look wants a doll surface rather than skin realism","Rounded and soft, set close to the eye, which shortens the forehead reading","Pale wash on the lid with a soft pink socket, occasionally a white inner-lid point","Liner thickened at the centre of the lid rather than the outer corner, plus lower-lash extensions; the eye reads round, not long","Round pink on the apple, blended soft","Highlight on the nose tip and cupid's bow; no real contour, since sculpting would undo the roundness","Small, soft pink, sometimes overdrawn at the cupid's bow only","Cool pink, low contrast, high-key","Liner is heaviest at the middle of the lid, so the eye opens rather than extends",us-cat-eye,Find the thickest point of the liner. Doll-eye thickens at the centre; cat-eye thickens at the outer third and continues past the corner,Wants high-key frontal light with a low shadow ratio; side light re-introduces the structure it removed,"Kawaii, lens and lash product, youth fashion, character collaborations","Anything selling maturity, expertise or skin health",craft-heuristic,"Recall, unverified 2026-07-30; check against Japanese street-fashion magazine archives, 2000-2012"
jp-classical-white,Trang điểm cổ điển Nhật (oshiroi),Japanese classical white,japanese,Japanese classical performing and ceremonial tradition,"Flat opaque white, matte, extended onto the neck and nape with an intentionally unpainted edge","Full opaque; no skin texture reads at all, by design","Removed or covered, then redrawn small, high and soft in charcoal or deep red",A narrow red or pink wash at the lash line and outer corner only,"Fine black line at the lash root, extended a short way; lashes natural","Nearly bare, or the faintest pink; the white is the statement",Neither. Dimension is refused on purpose,"Very small, centred well inside the natural border, saturated red, hard edge; often the lower lip only","Three tones only — white, black, red — at maximum separation","The painted white stops in a shaped line at the nape, leaving bare skin as a deliberate device",kr-hanbok-classic,Look at the hairline and nape. Japanese classical shapes an unpainted edge there and takes the lip smaller; hanbok classical paints to the hairline and puts a round red circle on the cheek,Extreme dynamic range between the white and the red; expose for the white or the lip clips,"Cultural editorial, heritage collaboration, performance documentation","Any commercial beauty use without cultural consultation; this is living ceremonial practice, not a costume",inferred,"Recall, unverified 2026-07-30; characterised from photographs, not from practitioner sources — do not publish specifics without expert review"
jp-mote-kei,Trang điểm dịu ngọt kiểu Nhật,Mote-kei soft sweet,japanese,"Japanese magazine beauty, 2010s",Satin with a soft focus; glow diffuse rather than specular,"Light to medium, evened but not erased","Soft, gently arched, brown rather than black, hair-stroked at the front","Brown-pink triple gradient on the lid, warmest at the lash line, soft into the socket","Brown liner hugging the lash line and stopping at the corner; lashes curled up, not out","Pink on the apple, medium diffusion, no draping","Very light shading under the cheekbone, pearl highlight on the high points","Rose or coral, semi-sheer, soft edge, slight gloss","Warm neutral, low to mid contrast, clean commercial retouch","Brown, not black, in every dark element; that single substitution is the whole register",kr-no-makeup,"Check whether the darks are brown or black, and whether the lid is built. Mote-kei builds a soft brown gradient on the lid; Korean no-makeup leaves the lid flat",Forgiving under most light; the low contrast can read as underexposed if the grade is also flat,"Mass-market beauty, drugstore product, office-appropriate positioning",Editorial or any brief asking for a strong point of view,craft-heuristic,"Recall, unverified 2026-07-30; check against Japanese beauty magazine archives"
cn-douyin,Trang điểm Douyin,Douyin polished,chinese,"Chinese short video, late 2010s","Satin, evened aggressively; the beauty filter is anticipated in the makeup","Full, smooth, pores suppressed","Defined, slightly arched, filled solid with a clean tail",Warm brown or pink-brown gradient with shimmer on the centre lid,"Liner extended and lifted at the outer corner, lower outer corner shaded, strip or cluster lashes weighted outward","Blush drawn up the temple as well as the cheek, which narrows the face","Both, and clearly visible: nose contour, cheekbone shading, forehead and chin highlight","Full and opaque, often overdrawn slightly, satin to velvet","High contrast, cool-clean grade, heavy smoothing","The face is narrowed by makeup — nose shaded, temples drawn in, cheek lifted — while the skin stays smooth",us-instagram-glam,Both sculpt. Douyin narrows toward the centre with cool tones and keeps the lid warm and small; Instagram glam widens the eye with a cut crease and a heavy warm outer V,Built for a front-facing phone camera at close range under a ring light; a long lens exposes the contour edges,"Chinese-market social, livestream commerce, short video","Print, editorial, or any market where visible face-slimming reads as insecure",craft-heuristic,"Recall, unverified 2026-07-30; check against current Douyin and Xiaohongshu beauty content, which drifts fast"
cn-guofeng,Trang điểm quốc phong,Guofeng neo-traditional,chinese,"Chinese neo-traditional revival, 2015 onward","Soft matte, slightly luminous on the high points","Medium to full, smooth, quiet","Long, soft, low-arched, tapering; drawn with the willow-leaf silhouette rather than a modern block","Red or plum washed from the outer corner up toward the temple, occasionally with a fine painted motif",Liner lifted and extended upward at the outer corner past the natural line; lashes fine and separated,"Diffuse red-pink swept from the outer cheek toward the temple, echoing the eye","Minimal contour, pearl on the nose bridge and cupid's bow","Small, centred, saturated red, softened at the outer edge rather than hard-lined","Red and plum on a warm ivory base, mid to high contrast","The eye colour and the cheek colour are the same red, and both sweep upward toward the temple",kr-hanbok-classic,"Guofeng lifts and extends the eye and sweeps colour to the temple; hanbok classical keeps everything flat, round and low with no upward sweep",Wants controlled soft light; the red around the eye reads as tired under hard top light,"Heritage, tea, silk, festival and lunar-new-year campaigns in Chinese-coded markets","Western mass beauty, where red around the eye reads as irritation",inferred,"Recall, unverified 2026-07-30; characterised from contemporary revival styling rather than historical sources — verify any dynasty attribution"
