axis_id,what_it_measures,how_it_was_measured,measured,distribution,claim_it_grades,where_that_claim_lives,verdict,what_changes,what_this_cannot_tell_you
loud-surface-share,"Share of frame area sitting at or above OKLCH chroma 0.19, which is the threshold both chroma-budget gates use","Every pixel of a 160px-long-edge copy through plan_palette.rgb_to_oklab, chroma as hypot(a, b), then the share at or above 0.19","p10 0.0000, median 0.0000, p90 0.0026, p99 0.0805, max 0.4081","190 of 244 frames (77.9%) carry no loud pixel at all. 10 (4.1%) exceed 3 percent. One (0.4%) exceeds the 20 percent gate, and it is a single red-dress frame at 40.8 percent",Combined share of colours at C >= 0.19 is <= 20 percent of the visible area,"data/colour-gates.csv, gate chroma-budget-by-surface-share; the number is CHROMA_SHARE_MAX in scripts/plan_palette.py",refined,"20 percent stays the fail line for a flat layout, where a full-bleed brand panel is a legitimate surface. For a photograph or a photo-derived render the working line is 3 percent: 96 percent of this set sits under it, and a gate at 20 percent passes a frame roughly seventy-seven times louder than the p90 of professional practice, so on photographic output it is not doing any work","A photograph is not a palette. Skin, fabric and daylight are physically low-chroma in sRGB, so some of this result is what a camera can record rather than what an art director chose. It does not license lowering the layout threshold to 3 percent"
loud-colour-count,How many 30-degree hue families each hold at least 5 percent of frame area at C >= 0.19 - the photograph's analogue of counting loud swatches in a palette,"Loud pixels bucketed into the twelve hue families, then families counted only where their loud area reaches 5 percent of the frame","p10 0, median 0, p90 0, max 1","238 of 244 frames carry zero loud families, 6 carry exactly one, none carries two",At most 1 colour at or above C 0.19,"data/colour-gates.csv, gate chroma-budget-by-count; the number is CHROMA_BUDGET_LOUD_MAX in scripts/plan_palette.py",consistent-but-untested,"Nothing. The ceiling of one is never broken here, but it is never approached either: only 7 frames of 244 (2.9%) reach C 0.19 even at their 95th-percentile pixel. A sample that rarely gets near a limit cannot confirm it, so the gate keeps its house-rule grade instead of being promoted on evidence that only looks like support","Whether two loud colours would actually fail. Nothing in this set attempts it, so the gate is a convention that has not been contradicted rather than one that has been tested"
peak-chroma,The chroma of the 95th-percentile pixel: how loud a professional frame gets at its loudest,"Pixel chroma in OKLCH, weighted by pixel count, read at the 95th and 50th percentiles","p95 pixel: p10 0.0338, median 0.0713, p90 0.1577, max 0.2149. Median pixel: median 0.0228",The median frame peaks at 38 percent of the loud threshold. 7 of 244 (2.9%) reach it,None. The skill had a threshold for loud and no measurement of what loud looks like in delivered work,"Nowhere, which is the finding. C 0.19 was adopted as a limit with no reference point on the other side of it",baseline,Gives the loud threshold the scale it never had. C 0.19 is not a line professional photography brushes against; it is about 2.7 times the peak chroma of a median frame. A palette built to sit just under the gate is still far louder than the reference set,How the chroma was arrived at. A muted grade over a saturated scene and a muted scene shot straight measure identically
frame-ratio-share,"Which aspect ratio the frame was actually delivered at, bucketed to the nearest of the seven feed ratios in frame-ratios.csv","Width over height from the file header, no decoding, matched to the nearest listed ratio",4:5 is the default at 173 of 244 frames (70.9%),"4:5 173, 9:16 41 (16.8%), 3:2 20 (8.2%), 16:9 4 (1.6%), 1:1 3 (1.2%), 3:4 3 (1.2%), 2:3 zero","1:1 belongs to marketplace tiles, ad units, carousels and the legacy IG feed","data/frame-ratios.csv, row square, native_home column",confirmed,"Legacy now has a number behind it: three frames in 244. A run that offers 1:1 for a person-led feed post is offering the ratio a professional feed has abandoned. 2:3 appeared zero times, which is the same finding one step stronger","Whether 1:1 still earns the rest of its native_home cell. Marketplace tiles and ad units are where frame-ratios.csv also places it, and this set contains none of either"
ratio-by-account-register,Whether the default ratio is a house style or a function of what the account is for,"The same ratio buckets, held separately per account, with the group and brand account distinguished from the four personal ones","The group and brand account runs 9:16 in 38 of 44 frames. All four personal accounts default to 4:5, in 34 to 50 of 50","aespa_official 9:16 38, 3:2 4, 3:4 1, 4:5 1. imwinter 4:5 50. for_everyoung10 4:5 46. katarinabluu 4:5 42. goyounjung 4:5 34","4:5 is the Meta feed ratio, the most feed area available without being a Story","data/frame-ratios.csv, row feed-portrait",refined,"Ratio follows register, not taste. A brand or group account is vertical-video-first and a person account is 4:5-first, so a run cannot answer what ratio before it has answered who is posting. The two are separate questions and the skill was treating them as one","Why. A brand account posts more stage and performance footage, which is natively 9:16, so the ratio may be following the source material rather than a channel decision"
hue-family-count,"How many 30-degree hue families each carry at least 5 percent of the frame, counting only pixels that make a hue decision at all","Pixels above HSV saturation 0.15 bucketed into twelve families; families holding under 5 percent of the frame counted as accents, not palette members","p10 1, median 2, p90 4, max 7","0 families in 7 frames, 1 in 44, 2 in 90, 3 in 68, 4 in 26, 5 in 5, 6 in 3, 7 in 1. 141 of 244 (57.8%) at two or fewer, 209 (85.7%) at three or fewer",Two hues plus skin,"data/reference-observations.csv, palette_structure column, rows winter-mirror-doll and karina-prada-collage - each an observation of one post",refined,"Two is the median, so it is the right target, but it is not the rule: 42 percent of professional frames carry three or more families. State it as a ceiling of three with a target of two, so a run stops deleting a third hue the reference set treats as normal","Which family is skin. Orange is both the skin family and a real wardrobe and set colour, so a frame counted at two may be one deliberate hue plus skin, or two deliberate hues on a pale subject"
neutral-share,Share of the frame carrying no hue decision - a value decision instead,"Pixels below HSV saturation 0.15, as a share of the frame","p10 0.057, median 0.404, p90 0.790",Per-account medians run 0.318 (imwinter) to 0.481 (goyounjung). Every account sits between a third and a half,"Background dressing should locate the photo without competing - stated as prose, with no share attached","data/reference-observations.csv, background_role column, row winter-mirror-doll",refined,"Puts a number on not competing, which was the whole of the claim and none of the instruction: about 40 percent of a professional frame is doing no colour work at all. A generated frame where every surface carries a hue is not a stylistic variant of this, it is a different structure",Where the neutral area sits. A neutral wall behind the subject and a neutral outfit against a coloured wall give the same share and read nothing alike
value-spread,"How much of the tonal range the frame actually uses, as the 95th percentile of value minus the 5th","HSV value per pixel, weighted by pixel count. p95 minus p5 rather than max minus min, so one blown specular highlight does not decide the contrast of a photograph","p10 0.5412, median 0.7882, p90 0.8824",Per-account medians 0.753 to 0.804 - the tightest agreement of any axis here,None. The skill asks for light quality and direction and never for a tonal range,"Nowhere. The light references describe sources and modifiers, not the histogram they produce",baseline,"A professional frame uses close to the whole value range, and every account agrees within five points. A flat mid-tone render - which is the default an unprompted model produces - is measurably not this look, so asking for a black point and a real highlight is asking for the thing the reference set has",Whether the range came from the lighting or the grade. Both land in the same histogram
shadow-and-highlight-share,How much of the frame sits in the deep end and the bright end - area below value 0.25 and above 0.75,Pixel counts in each band as a share of the frame,"Shadow median 0.212, highlight median 0.229","Shadow p10 0.050, p90 0.548. Highlight p10 0.061, p90 0.643. Near-symmetric at the median and wide at both tails","None. Shadow is discussed as a quality and a direction, never as an area budget","Nowhere. The reference observations describe shadow placement, for example almost no shadow under the jaw, without a share",baseline,"Roughly a fifth of the frame at each end, and the two ends are balanced. Shadow is not something professional work minimises: the median frame gives a fifth of its area to it, which contradicts the bright-and-even default a soft-light brief tends to produce",Whether the shadow is on the subject or the set. A dark background and a shadowed face give the same share and are opposite decisions
warm-bias,"Whether the frame leans warm or cool, as warm pixels minus cool pixels over all pixels carrying a hue","Warm as hue under 75 or over 315 degrees, cool as 165 to 285, difference divided by the coloured pixel count. Plus 1 is entirely warm, minus 1 entirely cool","p10 -0.671, median +0.546, p90 +0.997","Per account: for_everyoung10 +0.828, katarinabluu +0.658, imwinter +0.540, aespa_official +0.379, goyounjung +0.285. Every account is warm at the median; the difference is how warm","None. Colour temperature appears in lighting recipes as a Kelvin value, never as a frame-level balance","Nowhere. data/palettes.csv carries hues and the light recipes carry temperatures, and no row states which way a frame should lean",baseline,"Warm is the default and cool is the deliberate exception, not a free choice between two equals. A brief asking for cool and editorial is asking for the minority frame and should be told so, because a run that picks cool by accident has picked the p10 of professional practice","How much of the warmth is skin. Skin fills a large share of every frame here, so a portrait set cannot separate a warm grade from a warm subject"
