id,name_vi,name_en,bg,ink,accent,support,signals,use_for,avoid_for,ratio_ink_on_bg,ratio_accent_on_bg,accent_label,ratio_label_on_accent,accent_use
paper-cobalt,Giấy mộc – xanh cobalt,Raw paper and cobalt,#F5F1E8,#141414,#2A4BD7,#D9541E,Made by a person who thinks about it; editorial rather than corporate,"Menus, one-pagers, printed collateral, product docs",Anything that must read as cheap or urgent,16.34,6.04,#FFFFFF,6.8,"fill, text, or hairline"
paper-ink,Giấy mộc – mực đen,Paper and ink only,#F5F1E8,#141414,#3D3A34,#8A8478,Restraint; the product is the only colour in the room,"Premium packaging, lookbooks, wine and coffee, gallery-style pages",Marketplaces where you must win a thumbnail against colour,16.34,10.05,#FFFFFF,11.33,"fill, text, or hairline"
bone-terracotta,Xương – đất nung,Bone and terracotta,#EFE9DE,#2B2118,#B4471F,#7A6A55,"Hand-made, local provenance, warm","Food, ceramics, homeware, craft workshops","Fintech, medical, anything needing clinical trust",13.03,4.5,#FFFFFF,5.44,"fill, text, or hairline"
white-crimson,Trắng – đỏ tươi,White and crimson,#FFFFFF,#1A1A1A,#C1121F,#F2CC8F,Appetite and urgency; the default of Vietnamese food retail for a reason,"Delivery apps, promotions, streetfood, Tet",Premium positioning — the same red that drives appetite caps your price,17.4,6.22,#FFFFFF,6.22,"fill, text, or hairline"
white-jade,Trắng – xanh ngọc,White and jade,#FFFFFF,#12261F,#0F7B5F,#CFE3D5,"Fresh, clean, plant-based, health","Produce, wellness, pharmacy-adjacent, tea",Indulgence categories — it reads as permission-to-not-enjoy,15.88,5.23,#FFFFFF,5.23,"fill, text, or hairline"
offwhite-navy,Trắng ngà – xanh navy,Off-white and navy,#FAFAF7,#0F1C2E,#1B3A5C,#C9A227,"Institutional trust, seniority, money","B2B, finance, insurance, education, professional services",Youth brands and anything sold on impulse,16.38,11.12,#FFFFFF,11.63,"fill, text, or hairline"
charcoal-lime,Than – vàng chanh,Charcoal and lime,#161616,#F2F2F0,#C8FF3D,#7A7A78,"Technical, sport, night, developer-adjacent","Tech products, gyms, gaming, night venues",Food — lime on charcoal makes almost every dish look unwell,16.14,15.36,#141414,15.64,"fill, text, or hairline"
charcoal-amber,Than – hổ phách,Charcoal and amber,#141210,#F0EAE0,#E08B2C,#5B4A38,"Warmth in the dark; whisky, grill, late trading","Bars, grills, coffee roasters, leather",Daytime services and anything requiring a bright clinical read,15.62,7.03,#141414,6.93,"fill, text, or hairline"
cream-forest,Kem – xanh rừng,Cream and forest,#F7F3E9,#1C2B22,#2F5D3F,#B08968,Grown rather than manufactured,"Agriculture, herbal, garden, sustainable goods",Fast fashion and electronics — it reads slow,13.36,6.87,#FFFFFF,7.61,"fill, text, or hairline"
grey-electric,Xám – xanh điện,Grey and electric blue,#EDEEF0,#101215,#0057FF,#F1784E,"Software, speed, default-modern","SaaS, apps, dashboards, logistics",Craft and heritage — this is the palette everyone already has,16.16,4.75,#FFFFFF,5.52,"fill, text, or hairline"
sand-ocean,Cát – xanh biển,Sand and ocean,#F4EDE1,#12303D,#1B6E8C,#E2A55A,"Coast, travel, unhurried","Resorts, seafood, travel, swimwear",Urgency-driven promotion,11.91,4.94,#FFFFFF,5.74,"fill, text, or hairline"
blush-oxblood,Hồng phấn – đỏ mận,Blush and oxblood,#F7EDEB,#2A1416,#6E1420,#C98A8A,"Adult feminine, considered, not girlish","Beauty, lingerie, florists, patisserie",Male-skewed categories and utilitarian goods,15.1,10.24,#FFFFFF,11.77,"fill, text, or hairline"
ivory-gold,Ngà – vàng kim,Ivory and gold,#FBF7EE,#1F1B14,#8A6B1F,#D6C9A8,"Gift, ceremony, occasion","Tet and Trung Thu gifting, jewellery, hampers",Everyday repeat purchase — occasion palettes suppress habit,16.03,4.67,#FFFFFF,5.0,"fill, text, or hairline"
black-white,Đen – trắng,Black and white only,#FFFFFF,#000000,#000000,#767676,No opinion offered; the content is the entire message,"Documentation, legal, editorial text, technical spec sheets",Any category where desire drives the purchase,21.0,21.0,#FFFFFF,21.0,"fill, text, or hairline"
concrete-orange,Bê tông – cam,Concrete and orange,#E6E4DF,#131313,#E2540C,#4A4A48,"Industrial, built, soft-brutalist","Construction, tools, studios, bold local brands",Luxury and anything sold on delicacy,14.62,3.0,#141414,4.83,"fill, text, or hairline"
mint-graphite,Bạc hà – chì,Mint and graphite,#EAF4F0,#1B2624,#3AB795,#5A6B67,"Hygiene, dentistry, cooling, clinical-friendly","Personal care, clinics, cleaning products, air and water",Warm food — mint pushes cooked food toward grey,13.86,2.23,#141414,7.36,fill only — too close to the background for text or hairlines
plum-butter,Mận – bơ,Plum and butter,#FAF3E3,#2C1B33,#5C2A5E,#E8B84B,"Small-batch, slightly unexpected, memorable","Bakeries, natural wine, independent studios",Categories where being unexpected reduces trust,14.48,9.75,#FFFFFF,10.78,"fill, text, or hairline"
slate-coral,Đá phiến – san hô,Slate and coral,#F0F1F2,#22282D,#FF5A5F,#7B8A93,"Approachable service, marketplace, booking","Travel booking, service platforms, community apps",Premium goods — coral has been the friendly-startup default for a decade,13.18,2.7,#141414,6.04,fill only — too close to the background for text or hairlines
kraft-black,Bìa kraft – đen,Kraft and black,#D9C7A7,#141210,#141210,#8A6F49,"Unbleached, honest, low-waste","Packaging, bulk goods, coffee bags, farm boxes",Anything premium-white or clinical,11.28,11.28,#FFFFFF,18.69,"fill, text, or hairline"
navy-cream,Navy – kem,Navy and cream,#12233A,#F5EFE2,#E8C87A,#5C7899,"Established, evening, quietly expensive","Restaurants, hotels, tailoring, private services",Discount messaging — dark palettes make a sale look like a mistake,13.81,9.78,#141414,11.38,"fill, text, or hairline"
pho-lacquer,Nước dùng – sơn mài,Broth and lacquer,#F7EFE2,#2B1D16,#C1440E,#4F7A4A,"Appetite; a hot bowl on a worn wooden table, not a corporate menu","Vietnamese dine-in menus, noodle and rice shops, warm street-food posters","Skincare, tech, anything that must read cool or clinical",14.26,4.49,#FFFFFF,5.12,"fill, text, or hairline"
night-market,Chợ đêm – neon,Night market neon,#14100E,#F5EFE6,#FF5A3C,#2FBFA3,Charcoal smoke and a lit sign; energy after dark,"Street-food digital boards, delivery-app tiles, late-night F&B social","Print menus in daylight rooms, premium tasting menus, anything calm",16.55,6.11,#141414,5.95,"fill, text, or hairline"
seafood-fresh,Hải sản – biển sớm,Morning-catch seafood,#F2F7F5,#12313B,#E8543F,#2A7F8E,"Ice, salt water, and one grilled prawn; freshness as a colour claim","Seafood menus and posters, coastal restaurants, fish-sauce and market brands","Desserts, coffee, anything warm-lit or nocturnal",12.69,3.36,#141414,5.06,fill or display text only; body text stays in ink
matcha-cream,Matcha – kem sữa,Matcha and cream,#F4F1E8,#26331F,#6E8F3D,#A3543F,"A quiet café that whisks to order; green as calm, not as eco-claim","Cafés, tea brands, brunch menus, wellness-adjacent F&B","Grilled and spice-led food, nightlife, urgency promotions",11.80,3.29,#141414,4.96,fill or display text only; body text stays in ink
den-vang-luxe,Đen vàng sang trọng,Black-gold luxe,#121212,#F2EDE4,#C9A227,#6E6A5E,"Old-money, night, precious-metal restraint","Fine dining, whisky, jewellery, gala invitations","Daylight-fresh food, budget offers, kids",16.07,7.74,#141414,7.62,"fill, text, or hairline"
pastel-han,Pastel Hàn Quốc,Korean cafe pastel,#FBF6F0,#3E3A45,#DB7A96,#AECBBE,"Soft, dessert-sweet, first-date gentle","Dessert cafes, bakeries, K-beauty adjacent, stationery","Authority, engineering, night-market energy",10.31,2.7,#141414,6.35,"fill, hairline, or display over 24px; never running text"
retro-70s,Retro thập niên 70,Seventies retro,#F3E9D7,#3B2B1C,#C1622B,#7A7A33,"Warm nostalgia, vinyl, sun-faded confidence","Coffee roasters, diners, vintage fashion, album-style visuals","Clinical, tech, ultra-premium minimal",11.27,3.46,#141414,4.43,fill or display text only; body text stays in ink
nhiet-doi,Nhiệt đới,Tropical fresh,#FFFDF5,#173B2C,#E85C1F,#2E7D5B,"Juice-fresh, holiday, leaf-and-fruit energy","Juice bars, resorts, summer campaigns, smoothie brands","Winter comfort food, formal services",12.14,3.45,#141414,5.25,fill or display text only; body text stays in ink
tech-dark,Công nghệ nền tối,Tech dark,#0D1117,#E6EDF3,#3B82F6,#64748B,"Terminal-serious, product-led, developer-native","SaaS, fintech dashboards, developer tools, gaming UI","Food surfaces, warmth-led hospitality",16.02,5.15,#141414,5.01,"fill, text, or hairline"
neon-dem,Neon về đêm,Neon nightlife,#0A0A12,#F5F3FF,#FF3D8A,#22D3EE,"After-dark electricity, bass, city lights","Bars, clubs, night markets, esports, festival lineups","Trust-led services, daytime family dining",17.98,5.9,#141414,5.51,"fill, text, or hairline"
dat-nung,Đất nung,Terracotta earth,#F6EFE7,#3A2A22,#B4552D,#8C9A83,"Handmade, kiln-warm, unglazed honesty","Ceramics, farm-to-table, craft bakeries, homeware","High-tech, neon-led youth brands",12.01,4.31,#FFFFFF,4.91,fill or display text only; body text stays in ink
navy-mono,Đơn sắc navy,Navy monochrome,#F4F6F9,#14273F,#2C5F9E,#8FA6C2,"Institutional calm, tailored, quietly senior","Finance, law, consulting, premium B2B decks","Street food, playful youth campaigns",13.94,5.99,#FFFFFF,6.49,"fill, text, or hairline"
riso-hai-mau,Riso hai màu,Two-ink riso,#FAF6EE,#1D3A8F,#E4572E,#C9CDE3,"Print-shop honesty, zine energy, deliberate limitation","Posters, event flyers, indie brands, art-fair pieces","Photoreal food surfaces, corporate reports",9.48,3.42,#141414,5.0,fill or display text only; body text stays in ink
tra-sua,Trà sữa,Milk tea,#F7EFE6,#4A2F23,#8E6FAE,#C89F6E,"Cream-sweet, cup-in-hand comfort, taro softness","Bubble tea, dessert drinks, snack retail, campus brands","Savoury fine dining, authority services",10.71,3.66,#141414,4.42,fill or display text only; body text stays in ink
spa-thao-moc,Spa thảo mộc,Herbal spa,#F2F1EA,#2F3A2F,#68815B,#C9B99A,"Steamed linen, sage quiet, slow breathing","Spas, yoga, herbal tea, clean skincare","Urgency promotions, loud retail moments",10.49,3.8,#FFFFFF,4.3,fill or display text only; body text stays in ink
tet-do-vang,Tết đỏ vàng,Tết red-gold,#FBF3E4,#4A0E0E,#B01E1E,#C9A227,"Lì xì red, mai-blossom gold, festival abundance","Tết campaigns, gift boxes, banquet menus, double-day sales in season","Minimal Nordic briefs, mourning-adjacent contexts",14.0,6.24,#FFFFFF,6.88,"fill, text, or hairline"
