kpi_id,aspect,name_vi,name_en,measurement,unit,direction,calc_method,is_financial,indicator_type,use_when,trap,evidence_grade,source
revenue,F,Doanh thu,Revenue,Net revenue recognised in the period,$,higher_better,ratio,yes,lagging,Any scorecard that touches selling. A Finance aspect without it is measuring something other than the business.,Revenue by brand is not revenue by company. The source file's F1.1.1 is one brand's revenue alone; adding the brand rows together and calling the sum company revenue double-counts anything sold through two channels.,confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row F1.1.1 — 2890353.48 / 3400000 = 85.01%
gross_margin,F,Tỉ lệ lãi gộp,Gross profit margin,(Revenue - COGS) / Revenue,%,higher_better,ratio,yes,lagging,Positioning work where the point is to sell the same volume at a better price rather than more of it.,Carries the same unit as cost-to-revenue and the opposite direction. This pair is the whole reason direction is a stored column: no unit and no name tells you which way the metric runs.,confirmed-fixture,BSC_2025_template.xlsx sheet BSC 2025 — target moved 56% to 57% with the reason logged
operating_cost,F,Chi phí hoạt động,Operating cost,Total operating expense in the period,$,lower_better,ratio,yes,lagging,Any block that owns a budget rather than a revenue line.,"Scored target/actual, not actual/target. Spending 1223952 against a 1752681 plan is 143.20%; the higher-is-better formula returns 69.8% and inverts the meaning of the year.",confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row F2.1 — 1752681 / 1223952.57 = 143.20%
cost_to_revenue,F,Tỉ lệ chi phí trên doanh thu,Cost to revenue,Total cost / net revenue,%,lower_better,ratio,yes,lagging,When the argument is about efficiency and absolute cost is expected to rise with volume.,"Moves when either side moves, so a good month of revenue improves it without anyone spending better. Read it beside operating_cost, never instead of it.",inferred,Structure read from BSC_2025_template.xlsx; direction confirmed by the accounting-reclassification note in sheet Explaination
cogs_saving,F,Tiết giảm giá vốn,COGS saving,Planned COGS minus actual COGS as a share of planned,%,higher_better,ratio,yes,lagging,Manufacturing and sourcing scorecards where the year's plan is an explicit saving.,"The source file's 2025 target for this moved because labour cost was reclassified from account 641 to 627. The 2024 and 2025 numbers are not comparable, and a chart that draws them as one line is wrong even though both figures are right.",confirmed-fixture,BSC_2025_template.xlsx sheet Explaination — Target 2025 is 57% with save 1.5% COGS
miv,C,Giá trị tác động truyền thông,Media Impact Value,Launchmetrics MIV assigned to every brand mention across press social and KOL,$,higher_better,ratio,no,lagging,Brand-awareness objectives where the deliverable is coverage rather than a sale.,"Denominated in money and it is not revenue — adding it into a financial total inflates the year. It is also very noisy: one unplanned mention by another brand moved Hanoia's month enough that February was excluded from the 2024 actual, with the reason logged — which is why an actual needs a raw figure, an adjusted figure and a reason, not one number.",industry-primary,"Launchmetrics MIV definition; BSC_2025_template.xlsx sheet 2024 row C1.1 stores actual 685000 / target 561600 = 121.97% and types 1.2 over it, while sheet Explaination gives the adjusted 80600 + 609000 = 689600 / 561600 = 122.79%"
brand_awareness,C,Độ nhận biết thương hiệu,Brand awareness,People who recognise the brand / people surveyed,%,higher_better,ratio,no,lagging,Category-entry work where nobody is looking for you yet.,A survey number with sampling error. Store the sample size beside it or 80% of 20 people and 80% of 2000 people print identically and read identically.,craft-heuristic,Standard survey definition; the source file stores the percentage without a sample size
new_craft_orders,C,Tỉ lệ đơn hàng thủ công mới,New craft order share,New-craft SKUs ordered / total SKUs ordered for the coming collection,%,higher_better,ratio,no,lagging,Product-launch objectives where the mix is the point rather than the volume.,"Raw achievement was 147.50% against a 10% target and somebody typed 120% into the cell. The non-financial cap is 100%, so the hand-cap was wrong in both directions: wrong level, and invisible to any audit because the raw figure was overwritten rather than kept beside it.",confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row C2.1 — 0.1475 / 0.1 = 147.50% overwritten as 1.2
resellers_acquired,C,Số nhà bán lẻ mới,Resellers acquired,Count of resellers signed to distribute in a new market,No,higher_better,scale,no,lagging,Distribution objectives where each unit is a negotiation and the steps are not linear.,"Scale, not ratio, and in 2024 the two disagreed: rungs of 0/1/2/3/4 against a target of 3 put the 100% rung at 4, so an actual of 3 that met the target scored 75% on the scale and 100% as a ratio. The file typed 100%. The rung table was the thing that was wrong — a scale whose full rung sits above its own target is misaligned, and hand-typing over the output hides that instead of fixing it.",confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row C3.1 — target 3 actual 3 rungs 0/1/2/3/4 at 0/25/50/75/100/120%
illustration_collabs,C,Số hợp tác minh hoạ,Illustration collaborations,Count of artist collaborations developed and proposed to Buying,No,higher_better,scale,no,lagging,Collection-development objectives where each collaboration is a discrete win and partial credit is real.,"The clean scale row in the 2024 file, and the reason it is worth keeping beside resellers_acquired: rungs of 0/1/2/3/4 against a target of 4, actual 3, scores 75% on the scale and 75% as a ratio. When a scale is aligned to its target the two formulas agree, which is exactly why a card that only ever tests an aligned scale never discovers it has the branch wrong.",confirmed-fixture,BSC_2025_template.xlsx sheet 2024 row C2.2 — target 4 actual 3 rungs 0/1/2/3/4
