id,stage,duty_vi,duty_en,timing_rule,applies_when,decides_from,instrument,article,sanction_article,fine_low,fine_high,consumer_remedy,what_it_does_not_cover,gazette,source_url,verified_at
overlay-closes-in-one-tap,capture,"Quảng cáo không ở vùng cố định phải tắt được chỉ với một lần tương tác; không dùng biểu tượng tắt giả hoặc biểu tượng tắt khó phân biệt, khó xác định","A non-fixed-region ad must close on a single interaction, with no fake close icon and no close icon that is hard to tell apart or hard to find",-,overlay is not none,close_taps; close_icon,Nghị định 342/2025/NĐ-CP,Điều 17.2,Nghị định 87/2026/NĐ-CP Điều 56.2.b,30000000,40000000,-,Whether the offer inside the overlay may be made at all; only that the overlay can be shut,"Công báo số 26, 20-01-2026",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-468584.htm,2026-07-31
overlay-wait-is-capped,capture,Không có thời gian chờ tắt quảng cáo với quảng cáo dưới dạng hình ảnh tĩnh; thời gian chờ tối đa 05 giây với chuỗi hình ảnh chuyển động hoặc video,No close delay at all for a static-image ad; at most 5 seconds for an animated sequence or video,0 seconds static; 5 seconds motion,overlay is not none,overlay; wait_seconds,Nghị định 342/2025/NĐ-CP,Điều 17.3,Nghị định 87/2026/NĐ-CP Điều 56.2.b,30000000,40000000,-,"Anything about the ad on a fixed region of the page, which this article does not reach","Công báo số 26, 20-01-2026",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-468584.htm,2026-07-31
overlay-carries-a-report-control,capture,"Phải bố trí biểu tượng và hướng dẫn quy trình để người dùng thông báo nội dung quảng cáo vi phạm pháp luật và từ chối, tắt hoặc không tiếp tục xem quảng cáo không phù hợp","The overlay must carry an icon and instructions letting the user report unlawful ad content and refuse, close or stop seeing an ad they find unsuitable, and reports must be handled and the outcome told back to the user",-,overlay is not none,has_report_control,Nghị định 342/2025/NĐ-CP,Điều 17.4,Nghị định 87/2026/NĐ-CP Điều 56.2.b,30000000,40000000,-,"Who inside the business reads the reports; the article requires a route, not a headcount","Công báo số 26, 20-01-2026",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-468584.htm,2026-07-31
notice-before-the-field-is-filled,capture,"Phải thông báo rõ ràng, công khai về mục đích, phạm vi thu thập, sử dụng và thời hạn lưu trữ thông tin trước khi thu thập, và phải được người tiêu dùng đồng ý","Purpose, scope of collection and use, and retention period must be told clearly and publicly before collection starts, and the consumer has to agree",before the first field is filled,always,notice_before_collect,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 17.1,-,0,0,"The consumer may demand deletion under Điều 20.1, and collecting outside the law is a prohibited act under Điều 10.1.m","Information the consumer had already made public, which Điều 17.3 exempts","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
published-rule-names-a-retention-period,capture,"Quy tắc bảo vệ thông tin phải nêu mục đích, phạm vi sử dụng, thời hạn lưu trữ và biện pháp bảo vệ, niêm yết ở vị trí dễ thấy và đăng trên trang thông tin điện tử, ứng dụng","The published information-protection rule must state purpose, scope of use, retention period and safeguards, posted visibly at the premises and on the site and app, reachable before or at the moment of collection",-,always,retention_months_declared,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,"Điều 16.1, Điều 16.2",-,0,0,"Without a declared period there is nothing to measure a win-back against, and Điều 20.3 still obliges destruction","What a reasonable period is; the law makes you declare one, not pick a particular one","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
marketing-consent-is-its-own-choice,consent,"Phải có cơ chế để người tiêu dùng chọn cho phép hoặc không cho phép sử dụng thông tin của mình để quảng cáo, giới thiệu sản phẩm và hoạt động có tính chất thương mại khác","There must be a mechanism letting the consumer allow or refuse the use of their information for advertising, product introduction and other commercial activity",before the first commercial message,always,marketing_consent,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 18.4.b,-,0,0,"Refusal is exercisable at any time under Điều 20.1, and using the data anyway is a prohibited act under Điều 10.1.m","Transaction messages the consumer asked for, which Điều 18.3.b already permits","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
third-party-sharing-is-a-separate-choice,consent,"Phải có cơ chế riêng để người tiêu dùng cho phép hoặc không cho phép chia sẻ, tiết lộ, chuyển giao thông tin cho bên thứ ba","Sharing, disclosing or transferring the information to a third party needs its own allow-or-refuse control, separate from the marketing one",-,shares_with_third_party is yes,shares_with_third_party; third_party_consent,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 18.4.a,-,0,0,The consumer may require transfer to stop under Điều 20.1,"Handing data to a processor for storage or analysis on your behalf, which the same point carves out only where a written agreement binds them to Điều 15","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
a-new-purpose-needs-new-consent,consent,"Trước khi thay đổi mục đích, phạm vi sử dụng thông tin đã thông báo thì phải thông báo lại và được người tiêu dùng đồng ý về việc thay đổi","Before changing the purpose or the scope of use already notified, notify again and get consent for the change",before the repurposed send,repurposed_from is not -,repurposed_from; renotified_for_new_purpose,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 18.1,-,0,0,The consumer may demand deletion under Điều 20.1,Whether the original notice was wide enough; if it named the new purpose there is no change,"Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
an-agency-on-the-list-needs-consent-and-a-contract,consent,"Trường hợp ủy quyền hoặc thuê bên thứ ba thu thập, lưu trữ, sử dụng, chỉnh sửa, hủy bỏ thông tin thì phải được người tiêu dùng đồng ý; việc ủy quyền phải bằng văn bản, quy định rõ phạm vi và trách nhiệm mỗi bên","Engaging a third party to collect, store, use, edit or delete consumer information needs the consumer's consent, and the engagement has to be in writing with each side's scope and responsibility set out",-,processor is not -,processor; processor_written_agreement; third_party_consent,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 15.2,-,0,0,Điều 15.3 keeps the third party itself liable to the consumer,Whether the agency is competent; the article regulates the paperwork and the consent,"Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
no-contact-against-the-consumers-wishes,send,"Nghiêm cấm quấy rối người tiêu dùng thông qua tiếp xúc trực tiếp hoặc gián tiếp trái với ý muốn của người tiêu dùng để giới thiệu sản phẩm, đề nghị giao kết hợp đồng hoặc gây cản trở công việc, sinh hoạt bình thường","Harassing the consumer through direct or indirect contact against their wishes, to introduce a product, propose a contract, or otherwise obstruct their ordinary work and life, is prohibited outright",-,always,sends_after_refusal; messages_per_week,Luật Bảo vệ quyền lợi người tiêu dùng số 19/2023/QH15,Điều 10.1.b,-,0,0,"A prohibited act under Điều 10, actionable by the consumer and by a consumer-protection organisation under Điều 51","A number. The test is trái với ý muốn, not a send count, and the separate decree on advertising messages and email that does set per-day caps and a time window is not in this corpus","Công báo số 865+866, 30-07-2023",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-39843.htm,2026-07-31
