axis,name_vi,name_en,question_vi,question_en,verdict,take,leave,why
strategic_job,Việc nó đang làm,Strategic job,"Tấm ảnh này đang cố làm gì: cho biết, chứng minh, bán, hay giữ khách?","What is this image trying to do: make known, prove, sell, or retain?",keep,The job itself. Nobody owns 'this is a proof image'.,Nothing. This is the one axis with no rights risk at all.,"Start here or the rest is decoration. Most references get copied because they look good, and looking good at a job you do not have is the cheapest way to waste a week."
hook,Cái giữ mắt ở giây đầu,Hook,"Trong một giây đầu, cái gì giữ mắt lại?","In the first second, what holds the eye?",transform,"That a hook exists, and roughly where it sits in the frame.","The device itself. A splash, a torn edge, a hand entering frame — reuse it and you have made the second-best version of somebody else's picture.",The hook is the most copied and most ownable part of a reference at the same time. This is the axis where 'inspired by' turns into 'the same as'.
hierarchy,Thứ tự đọc,Hierarchy,"Người ta hiểu cái gì trước, cái gì thứ hai, cái gì thứ ba?","What is understood first, second, and third?",keep,"The order, as three numbered positions. Write it down as 1, 2, 3.",The exact type sizes and the exact words that carried it.,"Reading order is a principle, not a design. Two pictures can share an order and look nothing alike, which is exactly what you want from a reference."
composition,Hình học của khung,Composition,"Chủ thể nằm ở đâu trong khung, và chỗ trống để chữ nằm ở đâu?","Where does the subject sit, and where is the empty area for type?",keep,"Crop ratio, subject position, the rectangle left empty, the horizon height.","A distinctive layout device: a signature diagonal split, a recognisable grid gimmick.","Geometry is physics and arithmetic, and neither is anybody's property. This is the axis that transfers best, because it survives a completely different subject."
subject,Chủ thể,Subject,"Cái gì đứng giữa: sản phẩm, người, cách nó hoạt động, hay nơi chốn?","What stands at the centre: product, person, mechanism, or place?",transform,"The category of subject, and how much of the frame it fills.","The specific person, the specific product, the specific place.","A reference of a person is the most dangerous kind, because the thing that makes it good is usually the person, and the person is not available to you."
camera_and_light,Máy và ánh sáng,Camera and light,"Ánh sáng đến từ đâu, cứng hay mềm, và máy đứng cao hay thấp?","Where does the light come from, hard or soft, and is the camera high or low?",keep,"Source direction, height, size, hardness, colour, camera height and distance.","Nothing, as long as you describe it rather than name the photographer.","This is the axis worth the most and asked for the least. Light geometry is the difference between a photograph and a render, and it is completely free to reuse."
material,Vật liệu và bề mặt,Material,"Bề mặt trong ảnh là gì: kính, giấy, da, kim loại, vải, đồ ăn?","What are the surfaces: glass, paper, skin, metal, fabric, food?",transform,"How the material behaves under that light — where it goes glossy, where it stays matte.",The same material set. Changing material is one of the three axes you must move.,Same light on a different surface reads as a different picture. This is the cheapest honest way to move a reference far enough that nobody can trace it.
copy_behavior,Cách chữ hành xử,Copy behaviour,"Chữ trong ảnh làm gì: nêu điều gì, chứng minh, hay kêu gọi?","What does the type do: claim, prove, or call to action?",transform,"The rhythm and the density: how many words, in how many blocks, doing which job.",The words. Every single one of them.,"A tagline is the most obviously protected thing in a reference and the most casually lifted, because it is the part that is easiest to retype."
motion,Chuyển động,Motion,"Nếu là video: cái gì đổi trạng thái, và đổi trong bao lâu?","If it moves: what changes state, and over how long?",transform,"The pacing, and the count of state changes.",The exact shot order. A copied sequence is recognised faster than a copied frame.,Timing is a craft value and a shot list is a work. The pacing transfers; the edit does not.
saturation,Mức bội thực,Saturation,Ngành này đã dùng cái này bao nhiêu lần rồi?,How many times has this category already done this?,reject,The finding. A saturated device is a useful thing to know and a useless thing to use.,The device. That is the entire point of scoring this axis.,"This axis exists to produce rejections, not permissions. If four of the first five results look like the reference, the reference is the category reflex and not an idea."
rights_risk,Rủi ro quyền,Rights risk,"Trong ảnh có mặt người thật, logo, nhân vật, hay chữ ký của một nghệ sĩ cụ thể?","Is there a real person's face, a logo, a character, or a named artist's signature?",avoid,Nothing from this axis enters a prompt. Record it and stop.,"Everything: the face, the logo, the character, the style-of-a-named-artist.","This is a gate, not a score. A picture that fails here cannot be saved by being good, and the failure is usually invisible until somebody with a lawyer notices."
