q_id,sequence,ask_of,question_vi,question_en,look_where,field,options_vi,options_en,patterns,information_value,why_it_matters,trap,evidence_grade,source
d01,1,photo,"Bề mặt da trong ảnh là ướt bóng, satin, mờ mịn, hay trắng phẳng?","Is the skin surface wet, satin, matte, or flat opaque white?","The forehead and the nose bridge at full zoom. Those two planes face the light most directly, so they show the finish before the cheek does.",skin_finish,ướt bóng|satin|mờ mịn|trắng phẳng,wet|satin|matte|flat opaque white,wet|satin|matte|opaque white,high,"Finish splits the table roughly in half before anything else is asked, and it is the one axis a photo always answers.",A humid-climate face photographs wet by the third hour without anyone having chosen a wet finish. Check whether the shine sits on bone or everywhere.,craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own skin_finish column"
d02,2,photo,"Còn thấy lỗ chân lông, tàn nhang, vệt màu da không, hay đã mịn hết?","Are pores, freckles and tonal variation still visible, or has the skin been evened out?","The cheek beside the nose and the temple. Coverage is applied thinnest at the hairline, so a full base shows its edge there.",coverage_texture,"mỏng, còn thấy da|trung bình|dày, phủ kín|để mộc","sheer, texture kept|medium|full|bare",sheer|medium|full|none,high,Coverage is the axis that decides whether a frame can support a skincare claim. A full base cannot prove skin.,"Retouch removes texture after the fact, so this answers what the file shows, not what was on the face. Ask for an unretouched frame when the claim depends on it.",craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own coverage_texture column"
d03,3,photo,"Chân mày thẳng mềm, chuốt dựng, mảnh cong, hay bị phủ mất?","Is the brow soft and straight, laminated up, thin and arched, or blocked out?",The front third of the brow and the direction the hairs point.,brows,"thẳng mềm|chuốt dựng|mảnh, cong rõ|phủ mất rồi vẽ lại",soft straight|laminated|thin and arched|blocked out and redrawn,straight|laminated|thin|blocked out,high,"The brow dates a look and places its region faster than any other feature, and it is the single test that separates Korean no-makeup from clean girl.","Brow shape is also just fashion in the subject's own life. One brow alone should narrow the field, never decide it.",craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own brows column"
d04,4,photo,"Mí có được dựng nếp không: bỏ trống, phủ một lớp, đánh hốc mắt mềm, cắt nếp rõ, hay là một hình đồ hoạ?","Is a crease built: nothing, one wash, a soft socket, a cut crease, or a graphic shape?","Just above the natural fold, with the eye open. A cut crease shows a concealer line that does not follow the fold.",eyeshadow,không đánh nếp|một lớp phủ|hốc mắt mềm|cắt nếp|hình đồ hoạ,no crease|one wash|soft socket|cut crease|graphic device,no crease|wash|socket|cut crease|graphic,high,How the crease is treated separates the commercial lanes from the editorial ones and dates a Western look to within a few years.,"A monolid or a hooded lid can hide socket work entirely. If the fold is not visible, this question has no answer and should be skipped rather than guessed.",craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own eyeshadow column"
d05,5,photo,"Kẻ mắt dày nhất ở đâu: giữa mí, đuôi mắt, hay chỉ kẻ trong chân mi?","Where is the liner thickest: the centre of the lid, the outer third, or only inside the lash root?",Trace the liner from the inner corner outward and find its widest point.,liner_lashes,"giữa mí|đuôi mắt, kéo dài|chỉ kẻ chân mi|kẻ trong bờ nước|không kẻ","centre of lid|outer third, extended|tightline only|kohl on the waterline|bare",centre|extended|tightline|kohl|bare,high,"This is the highest-yield single question in the table. Doll-eye, cat eye and siren eye are the same product placed in three different places, and nothing else tells them apart.",A three-quarter head angle foreshortens the outer corner and makes any liner look extended. Judge it on a frontal frame.,craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own liner_lashes column"
d06,6,photo,"Má hồng nằm ở đâu: dưới mắt, trên gò má, tròn ở táo má, hay kéo lên thái dương?","Where is the blush: under the eye, on the cheekbone, round on the apple, or swept to the temple?","Whether the colour crosses the nose bridge, and whether its upper edge is above or below the lower lash line.",cheeks,dưới mắt|qua cả sống mũi|trên gò má|tròn ở táo má|kéo lên thái dương|để trống,under the eye|across the nose bridge|on the cheekbone|round on the apple|swept to the temple|bare,under-eye|nose bridge|cheekbone|apple|temple|bare,high,"Placement, not colour, is what carries the region and the era. Igari crosses the nose; nothing Western does.","A warm grade adds cheek colour that was never applied. Compare the cheek against the ear, which no one blushes.",craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own cheeks column"
d07,7,photo,"Có tạo khối không, và có thấy được đường viền của khối không?","Is the face sculpted, and can you see the edge of the sculpting?",Under the cheekbone and along the sides of the nose. Then ask whether the shading describes the bone or moves it.,contour_highlight,"không tạo khối|khối nhẹ, không thấy viền|có cả khối và bắt sáng|làm hẹp khuôn mặt|bắt sáng thành vệt rõ","no contour|light, no visible edge|both present|narrows the face|highlight as a hard stripe",No contour|Neither|Both|narrow|stripe,medium,"Sculpting separates the Douyin and glam lanes from every clean lane, and a visible highlight edge is what distinguishes Western glass skin from mul-gwang.",Hard side light manufactures contour that no one applied. Check the shadow under the nose for the light's actual direction first.,craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own contour_highlight column"
d08,8,photo,"Viền môi xử lý thế nào: mờ dần trước viền, đúng viền, hay vẽ tràn ra ngoài?","What happens at the lip border: does the colour fade out before it, sit on it, or cross it?",The outer third of the lower lip and the corners of the mouth.,lips,"mờ dần, không thấy viền|vẽ tràn ra ngoài|đúng viền, cạnh sắc|nhỏ hơn viền thật|chỉ dưỡng môi","blurred, no border|crosses the border|on the border, hard edge|inside the natural border|balm only",blurred|past the natural border|hard edge|inside the natural|balm,high,"Gradient and overlined are opposite techniques filed under the same phrase, full lip. Which side of the border the colour falls on settles a great deal at once.",Gloss on the centre reads as a gradient at low resolution. Zoom to the corner before answering.,craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own lips column"
d09,9,photo,"Tổng thể ấm hay lạnh, và tương phản cao hay thấp?","Is the whole face warm or cool, and is the contrast high or low?","The shadow side of the neck, which the grade affects and the makeup does not.",palette_retouch,ấm|lạnh|trung tính|tương phản cao|tương phản thấp,warm|cool|neutral|high contrast|low contrast,Warm|Cool|Neutral|high contrast|low contrast,medium,"Temperature is the axis most often mistaken for makeup when it is actually the grade, and getting it backwards sends a whole shoot to the wrong palette.","This answers the file's grade, not the products. It is the one axis on this list that can be wrong about the face entirely.",craft-heuristic,"Recall, unverified 2026-07-30; derived from the table's own palette_retouch column"
d10,10,photo,Có chi tiết nào không thể thấy trên một khuôn mặt bình thường?,Is there any single feature that could not appear on an ordinary street face?,"Everywhere at once, then name one thing. A drawn fold under the lash, a brow above where a brow can grow, a floating line, a painted white nape.",none,"có, một chi tiết|có, nhiều chi tiết|không có","yes, one feature|yes, several|no","yes, one feature|yes, several|no",high,One unconventional shape means editorial or performance; several mean stage or drag; none means a commercial lane. This is the fastest branch in the whole procedure.,"This is the question with no fixed options, so it cannot be looked up. Answer it in words and let it steer which of the others are worth asking.",craft-heuristic,"Recall, unverified 2026-07-30; the branch is a reading of the table, not a sourced rule"
