respondent_id,sequence,source_id,code,stance,intensity,provenance,verbatim_ref
r01,1,switch-interviews,worried-about-counterfeit,raised,blocking,2026-06-08 switch-interviews,"rec/switch-01, consent 2026-06-08"
r01,1,switch-interviews,price-vs-korean-brand,raised,emphasised,2026-06-08 switch-interviews,"rec/switch-01, consent 2026-06-08"
r01,1,switch-interviews,no-vat-invoice,denied,passing,2026-06-08 switch-interviews,"rec/switch-01, consent 2026-06-08"
r02,2,switch-interviews,worried-about-counterfeit,raised,blocking,2026-06-08 switch-interviews,"rec/switch-02, consent 2026-06-08"
r02,2,switch-interviews,unclear-how-long-to-use,raised,emphasised,2026-06-08 switch-interviews,"rec/switch-02, consent 2026-06-08"
r02,2,switch-interviews,shipping-cost-at-checkout,raised,passing,2026-06-08 switch-interviews,"rec/switch-02, consent 2026-06-08"
r02,2,switch-interviews,no-vat-invoice,denied,passing,2026-06-08 switch-interviews,"rec/switch-02, consent 2026-06-08"
r03,3,switch-interviews,waited-for-livestream-discount,raised,emphasised,2026-06-09 switch-interviews,"rec/switch-03, consent 2026-06-09"
r03,3,switch-interviews,price-vs-korean-brand,raised,passing,2026-06-09 switch-interviews,"rec/switch-03, consent 2026-06-09"
r03,3,switch-interviews,worried-about-counterfeit,confirmed,emphasised,2026-06-09 switch-interviews,"rec/switch-03, consent 2026-06-09"
r04,4,chat-and-dm-transcripts,worried-about-counterfeit,raised,emphasised,2026-06-09 chat-and-dm-transcripts,"zalo thread 4412, coded not stored"
r04,4,chat-and-dm-transcripts,zalo-reply-too-slow,raised,blocking,2026-06-09 chat-and-dm-transcripts,"zalo thread 4412, coded not stored"
r04,4,chat-and-dm-transcripts,sample-size-too-small,raised,passing,2026-06-09 chat-and-dm-transcripts,"zalo thread 4412, coded not stored"
r05,5,chat-and-dm-transcripts,unclear-how-long-to-use,raised,emphasised,2026-06-10 chat-and-dm-transcripts,"zalo thread 4477, coded not stored"
r05,5,chat-and-dm-transcripts,worried-about-counterfeit,confirmed,passing,2026-06-10 chat-and-dm-transcripts,"zalo thread 4477, coded not stored"
r05,5,chat-and-dm-transcripts,shipping-cost-at-checkout,raised,emphasised,2026-06-10 chat-and-dm-transcripts,"zalo thread 4477, coded not stored"
r06,6,support-tickets,packaging-arrived-damaged,raised,blocking,2026-06-10 support-tickets,ticket 8801
r06,6,support-tickets,shipping-cost-at-checkout,raised,passing,2026-06-10 support-tickets,ticket 8801
r06,6,support-tickets,no-vat-invoice,denied,passing,2026-06-10 support-tickets,ticket 8801
r07,7,switch-interviews,skin-reaction-fear,raised,blocking,2026-06-11 switch-interviews,"rec/switch-07, consent 2026-06-11"
r07,7,switch-interviews,unclear-how-long-to-use,raised,emphasised,2026-06-11 switch-interviews,"rec/switch-07, consent 2026-06-11"
r07,7,switch-interviews,worried-about-counterfeit,denied,passing,2026-06-11 switch-interviews,"rec/switch-07, consent 2026-06-11"
r07,7,switch-interviews,waited-for-livestream-discount,confirmed,emphasised,2026-06-11 switch-interviews,"rec/switch-07, consent 2026-06-11"
r08,8,competitor-review-mining,no-ingredient-list-in-vietnamese,raised,emphasised,2026-06-11 competitor-review-mining,"shopee competitor listing A, 40 reviews read"
r08,8,competitor-review-mining,worried-about-counterfeit,raised,emphasised,2026-06-11 competitor-review-mining,"shopee competitor listing A, 40 reviews read"
r08,8,competitor-review-mining,price-vs-korean-brand,raised,passing,2026-06-11 competitor-review-mining,"shopee competitor listing A, 40 reviews read"
r09,9,competitor-review-mining,skin-reaction-fear,raised,emphasised,2026-06-11 competitor-review-mining,"shopee competitor listing B, 40 reviews read"
r09,9,competitor-review-mining,no-ingredient-list-in-vietnamese,raised,passing,2026-06-11 competitor-review-mining,"shopee competitor listing B, 40 reviews read"
r09,9,competitor-review-mining,unclear-how-long-to-use,confirmed,passing,2026-06-11 competitor-review-mining,"shopee competitor listing B, 40 reviews read"
r10,10,chat-and-dm-transcripts,waited-for-livestream-discount,raised,blocking,2026-06-12 chat-and-dm-transcripts,"zalo thread 4590, coded not stored"
r10,10,chat-and-dm-transcripts,zalo-reply-too-slow,raised,emphasised,2026-06-12 chat-and-dm-transcripts,"zalo thread 4590, coded not stored"
r10,10,chat-and-dm-transcripts,shipping-cost-at-checkout,confirmed,passing,2026-06-12 chat-and-dm-transcripts,"zalo thread 4590, coded not stored"
r11,11,return-and-refund-reasons,packaging-arrived-damaged,raised,blocking,2026-06-12 return-and-refund-reasons,"return 2211, reason code and free text"
r11,11,return-and-refund-reasons,skin-reaction-fear,raised,blocking,2026-06-12 return-and-refund-reasons,"return 2211, reason code and free text"
r11,11,return-and-refund-reasons,worried-about-counterfeit,denied,passing,2026-06-12 return-and-refund-reasons,"return 2211, reason code and free text"
r12,12,switch-interviews,no-vat-invoice,raised,blocking,2026-06-15 switch-interviews,"rec/switch-12, consent 2026-06-15"
r12,12,switch-interviews,unclear-how-long-to-use,confirmed,emphasised,2026-06-15 switch-interviews,"rec/switch-12, consent 2026-06-15"
r12,12,switch-interviews,worried-about-counterfeit,confirmed,passing,2026-06-15 switch-interviews,"rec/switch-12, consent 2026-06-15"
r12,12,switch-interviews,waited-for-livestream-discount,denied,passing,2026-06-15 switch-interviews,"rec/switch-12, consent 2026-06-15"
r13,13,support-tickets,zalo-reply-too-slow,raised,emphasised,2026-06-15 support-tickets,ticket 8844
r13,13,support-tickets,packaging-arrived-damaged,confirmed,passing,2026-06-15 support-tickets,ticket 8844
r13,13,support-tickets,no-vat-invoice,denied,passing,2026-06-15 support-tickets,ticket 8844
r14,14,switch-interviews,sample-size-too-small,raised,emphasised,2026-06-16 switch-interviews,"rec/switch-14, consent 2026-06-16"
r14,14,switch-interviews,price-vs-korean-brand,confirmed,emphasised,2026-06-16 switch-interviews,"rec/switch-14, consent 2026-06-16"
r14,14,switch-interviews,worried-about-counterfeit,confirmed,emphasised,2026-06-16 switch-interviews,"rec/switch-14, consent 2026-06-16"
r14,14,switch-interviews,waited-for-livestream-discount,confirmed,passing,2026-06-16 switch-interviews,"rec/switch-14, consent 2026-06-16"
r15,15,switch-interviews,worried-about-counterfeit,raised,emphasised,2026-06-16 switch-interviews,"rec/switch-15, consent 2026-06-16"
r15,15,switch-interviews,unclear-how-long-to-use,confirmed,passing,2026-06-16 switch-interviews,"rec/switch-15, consent 2026-06-16"
r15,15,switch-interviews,shipping-cost-at-checkout,confirmed,passing,2026-06-16 switch-interviews,"rec/switch-15, consent 2026-06-16"
r15,15,switch-interviews,no-vat-invoice,denied,passing,2026-06-16 switch-interviews,"rec/switch-15, consent 2026-06-16"
r16,16,chat-and-dm-transcripts,waited-for-livestream-discount,raised,emphasised,2026-06-17 chat-and-dm-transcripts,"zalo thread 4703, coded not stored"
r16,16,chat-and-dm-transcripts,worried-about-counterfeit,confirmed,passing,2026-06-17 chat-and-dm-transcripts,"zalo thread 4703, coded not stored"
r16,16,chat-and-dm-transcripts,sample-size-too-small,confirmed,passing,2026-06-17 chat-and-dm-transcripts,"zalo thread 4703, coded not stored"
r17,17,switch-interviews,price-vs-korean-brand,raised,emphasised,2026-06-17 switch-interviews,"rec/switch-17, consent 2026-06-17"
r17,17,switch-interviews,unclear-how-long-to-use,confirmed,emphasised,2026-06-17 switch-interviews,"rec/switch-17, consent 2026-06-17"
r17,17,switch-interviews,waited-for-livestream-discount,confirmed,emphasised,2026-06-17 switch-interviews,"rec/switch-17, consent 2026-06-17"
r17,17,switch-interviews,no-vat-invoice,denied,passing,2026-06-17 switch-interviews,"rec/switch-17, consent 2026-06-17"
r17,17,switch-interviews,skin-reaction-fear,denied,passing,2026-06-17 switch-interviews,"rec/switch-17, consent 2026-06-17"
r18,18,support-tickets,packaging-arrived-damaged,raised,emphasised,2026-06-18 support-tickets,ticket 8879
r18,18,support-tickets,zalo-reply-too-slow,confirmed,passing,2026-06-18 support-tickets,ticket 8879
r18,18,support-tickets,shipping-cost-at-checkout,confirmed,passing,2026-06-18 support-tickets,ticket 8879
