ask_id,they_say_vi,they_say_en,real_job,good_output_is,failure_shape,route
lam-poster,làm cái poster,make me a poster,An offer stated clearly enough that the poster has something to say,One committed poster whose headline IS the offer; price and time verbatim; readable at five metres,A pretty poster with no offer — decoration wearing marketing's clothes,poster.md; pricing-and-offers.md first if no offer exists
viet-content,viết content đi,write some content for me,A promise plus its proof for one audience; the post is only the container,Posts each carrying one checkable fact and one reason to act now,Ten fluent posts a competitor could publish unchanged under their own logo,copywriting.md with check_specificity.py
dang-gi-bay-gio,đăng gì bây giờ,what should I post today,A content system — pillars and a weekly batch rhythm — not one idea,A week's slots from one production day where every slot names its job,One clever idea that dies tomorrow and the same question returns,copywriting.md Content system section; vietnam-operating-reality.md for the weekly load
chay-ads,chạy ads được không,should I run ads,Unit economics first: what one order can pay for a click before any targeting talk,An arithmetic answer — at this margin and basket size ads may spend X per order or must wait,A campaign structure for a shop whose margin cannot buy a single click,performance-direction.md; how-companies-market.md Direction by scale
lam-logo,làm logo,make me a logo,A distinctive-asset kit — colour plus lockup plus one visual habit applied everywhere,The logo plus the repetition rules that make it recognisable in a feed within weeks,A logo file with no system so recognition never accrues to anything,identity-design.md
sao-khong-ai-mua,sao không ai mua,why is nobody buying,A diagnosis across traffic offer trust price — find which stage leaks,The leaking stage named with the number that shows it and one fix ordered first,Redesigning whatever is most visible instead of what is most broken,optimize-iterate pipeline; lead-handling.md funnel; performance-direction.md driver tree
lam-video-viral,làm video viral đi,make a viral video,A hook plus a repeatable format; virality is a distribution outcome not a brief line,Three hook variants on one format the shop can repeat every week,Betting on one big video; output dies the week after it ships,video-production.md
gia-bao-nhieu,để giá bao nhiêu,what price should I set,Price architecture against alternatives plus the margin floor plus the offer that carries it,A price with its floor arithmetic shown and the offer shape that presents it,Matching the cheapest competitor by feel and discovering the floor later,pricing-and-offers.md with price_offer.py
review-xau,bị review 1 sao / bị phốt rồi,got a bad review / being called out,A public-reply protocol plus triage — complaint misunderstanding or attack are three different plays,The public reply that names the fix moves detail private and closes the loop publicly,Deleting or arguing — either one becomes the second bigger story,lead-handling.md public-conversation section; pr-communications.md if it spreads
khai-truong,sắp khai trương rồi,we are opening soon,An opening system — seeding before a capped offer at open and retention weeks two to eight,A plan whose budget centre of gravity sits AFTER opening day,Everything spent on day one; the empty third week triggers panic discounts,campaign-systems.md Grand opening section
len-live,chuẩn bị phiên live,prepare a livestream,A run-of-show with an offer ladder pinned-basket order and a host register,A timed block script where any viewer landing mid-stream still meets hook demo price,Winging it live — describing products while nobody in the room was asked to buy,video-production.md Live commerce section
lam-web,làm web / làm landing page,build me a landing page,The headline decision and one action; the page is proof arranged around them,A first screen answering who this is for what it does and why now with one CTA,A beautiful page whose headline is the company name,design-direction.md layout dossier; copywriting.md ladders
seo-di,SEO đi / lên top Google,do SEO for me,Which queries this business can actually answer and pages that answer them,Pages matched to intents the domain can win with the answer above the fold,Chasing best-of SERPs that aggregators own at any content length,seo-writing.md with audit_seo_page.py
dat-ten,đặt tên quán / tên sản phẩm,name my shop or product,A name that survives search signage and speech simultaneously,Three candidates tested for findable sayable spellable and registrable,A clever pun that cannot be spelled heard or found,identity-design.md
tang-follow,tăng follow / tăng tương tác,grow my followers,Reach among likely buyers; the follower count is exhaust not the engine,Distinctive content reaching the buying audience where follows arrive as a side effect,Giveaways that inflate the count with non-buyers and sink organic reach,marketing-canon.md penetration rules; channel-spec-registry.md
giam-gia,giảm giá được không,should I discount,An offer shape that adds value before it cuts price and an end date before it starts,A reason-why offer with a cap a deadline and the margin floor checked,A standing minus-twenty percent that permanently resets the reference price,pricing-and-offers.md; marketing-canon.md no-manufactured-urgency rule
trend-nay,đu trend này được không,should we jump on this trend,A fit check — does the trend carry the brand's job or only borrow its logo,The shop's own twist shipped inside the trend's window or a clean skip,The trend as the entire idea; forgotten when the trend is,copywriting.md Gen Z voice; anti-slop-index.md trend-as-idea tell
bao-cao,tháng này thế nào,how did this month go,The period read against target ending in one decision,A variance line per KPI and next month's single biggest lever named,A dashboard screenshot with no verdict attached,kpi-scorecards.md then report-notation.md
thue-kol,book KOL / KOC đi,book an influencer,The deal shape the disclosure duty and a tracked offer — reach is not the deliverable,A brief with deliverables rights disclosure wording and a code that attributes orders,Paying for reach and measuring likes,affiliate-commerce.md with model_affiliate.py
anh-dep,chụp ảnh đẹp / làm ảnh sản phẩm,make nice product photos,A composition set serving distinct jobs — main detail context scale — from one shoot,Frames mapped one-to-one to listing and feed jobs with copy-safe areas held,Ten beautiful frames that all do the same job,product-imagery.md; product-composition-set.md with plan_composition_set.py
ngan-sach-it,ngân sách ít lắm / không có tiền chạy ads,tiny budget,The zero-spend operating loop — batch content reply windows one distinctive asset,The weekly loop one owner can actually run alone with hours priced,A scaled-down ad plan that still assumes money and a team,how-companies-market.md Direction by scale level 1; vietnam-operating-reality.md
lam-menu,làm menu / thiết kế menu,design my menu,A selling document — anchor placement stars by margin readable hierarchy,A menu whose layout sells the profitable items with prices verbatim,An artistic menu that hides the stars and anchors on the cheapest line,menu.md
mo-rong,mở chi nhánh 2 / bán online thêm,open a second location / add a channel,Availability arithmetic — whether demand or capacity binds first in the new catchment,The expansion gated on the one number that binds with a stop condition,Copying outlet one's marketing into a catchment that behaves differently,market-assessment.md with size_market.py; how-companies-market.md Direction by scale
khach-cu,khách cũ không quay lại,customers don't come back,A reason to return by a date — not a loyalty scheme,One win-back with an offer a deadline and return rate as the only score,A stamp card nobody asked for measuring nothing,lifecycle-retention.md with plan_lifecycle.py
lap-ke-hoach,lên kế hoạch marketing / làm plan đi,make me a marketing plan,A standing plan file sized to the level the business actually runs at — plus the review cadence that keeps it alive,A plan.md of ten to thirty lines: objective with number and date; quarter arc; weekly slots; budget line; refuse list,A twenty-page strategy deck nobody reopens; the plan lives in chat and dies there,output-contract.md project-on-disk section; how-companies-market.md Direction by scale
