id,intent,query_signals_vi,query_signals_en,searcher_state,page_type_that_wins,proofs_required,proof_examples,title_shape,reflex_to_reject,vn_note,what_it_does_not_establish
how-to,procedural,cách; làm sao; hướng dẫn; sao cho,how to; guide; steps; tutorial,Has a task in front of them and wants to finish it today,"Step sequence with the failure modes named, each step showing its own result",4,"Numbered steps in the real order; the mistake that ruins step three; a photo of the halfway state; the tool or quantity used",The task plus the constraint the searcher actually has,"Opening with company history, or a definition of the thing the searcher is already doing","Vietnamese how-to queries very often land on YouTube and TikTok first; a text page that cannot show the halfway state is competing against video and should carry stills",Whether the steps work; only that the page states them checkably
definition,informational,là gì; nghĩa là gì; khái niệm,what is; meaning; definition,"Wants one clear answer, then decides whether to read on",Direct answer in the first two sentences with one worked example,2,"A one-sentence definition; a concrete instance with a number in it; the boundary case people get wrong",The term itself and nothing else,Padding to length before the answer arrives,"Vietnamese definition queries are often homework or first-contact research, which means low commercial value and high link value",Commercial value; a definition page rarely converts and should not be judged on that
comparison,commercial-investigation,so sánh; nên chọn; khác nhau gì; hay hơn,vs; compare; difference between; which is better,Has a shortlist and wants the deciding difference,Side-by-side table on the axes the buyer actually decides on,5,"The measured difference on each axis; the price of each option today; the case where the other option wins; who each one is wrong for",Both named options and the deciding axis,Declaring your own product the winner on every axis,"Comparison in Vietnam is done heavily in Facebook groups and comment threads; quote those objections verbatim rather than inventing the axes",Which option is better for a given reader; the table states differences and the reader weighs them
best-of,commercial-investigation,tốt nhất; top; nên mua loại nào,best; top; recommended,Wants a shortlist assembled by somebody else,"Curated list with the selection rule stated, or nothing",6,"The rule used to include and exclude; what was tested and how; price at time of writing; the option to avoid and why",A count and the constraint that bounds the list,Entering your own product as the number one entry on a list you wrote,"These SERPs are held by aggregators and news sites; a brand's own domain rarely wins them, so say so before the work is scoped",Whether the brand can rank here at all; usually it cannot and the budget belongs elsewhere
buy,transactional,mua; đặt hàng; ở đâu bán; chính hãng,buy; order; shop; for sale,Has decided and is looking for a seller to trust,Product or category page with stock and delivery facts visible,4,"Price and what it includes; stock or lead time; the return and warranty terms; the exact variant names",The product plus the buying constraint,Marketing narrative above the price and the delivery window,"Chính hãng is a trust query, not a product query: it is asking whether you are a counterfeiter, so authorised-dealer evidence outranks copy",That the buyer trusts you; only that the facts they need are present
price,transactional,giá; bao nhiêu tiền; giá bao nhiêu 2026,price; cost; how much; pricing,Wants a number and will leave if there is not one,Page carrying a real figure or a real range with what moves it,3,"The figure or band; what changes it; the date the figure was set",The product plus price and the period,"Hiding the number behind a form, then ranking for the query",Vietnamese price queries carry a year very often; a page with an undated figure reads stale even when it is current,Whether the price is competitive; only that it is stated and dated
local,local,gần đây; ở quận; tại tp hcm; giao tại,near me; in city; open now,Wants somewhere reachable now,"Location page with hours, route and evidence of being open",4,"Address at street level; opening hours including the exception; a photograph of the frontage; the delivery radius",The service plus the place name people actually use,A city page written from a template with the district name swapped,Most of this query happens in Google Maps rather than in the results page; the Business Profile is the ranking surface and the website supports it,Ranking in Maps; the page is one input and proximity dominates
troubleshoot,problem,bị lỗi; không lên màu; sửa; khắc phục,not working; error; fix; troubleshooting,Something has already gone wrong and they are annoyed,Symptom-first page that names the cause before the fix,4,"The symptom in the words the user would type; the cause; the fix; when the fix will not work",The symptom exactly as experienced,Answering the symptom the product does not actually cause,These queries surface in Zalo and Facebook support threads first; the page's job is often to be what support pastes,Whether the product caused it; the page separates causes it can and cannot own
brand,navigational,tên thương hiệu; có tốt không; review,brand name; reviews; legit,Already knows the name and is checking it out,Home or about page plus whatever review surface exists,3,"Who runs it with a real name; how long and where; a verifiable customer or partner",The brand name plus what it does,Optimising a brand query for keywords the brand does not own,"Có tốt không attached to a brand name is a scam check; the honest answer is registration details and a traceable address, not testimonials",Reputation; the page states verifiable facts and reputation is decided elsewhere
occasion,seasonal,tết; 8/3; 20/10; quà; black friday,gift; holiday; season; sale,Has an occasion and a deadline before it,"Occasion page with the cut-off date and the fulfilment promise",4,"The order cut-off date; the delivery window; the price for the occasion bundle; last year's photograph of the real thing",The occasion plus the deadline,Publishing the occasion page after the searches have peaked,"Vietnamese occasion demand front-loads by two to four weeks and dies overnight; a Tết page live in late January is late",Demand size; the calendar is known and the volume is not
