id,job_vi,job_en,use_when,ratio,copy_safe,subject_action,scene,lighting,camera,materials,avoid,fails_when
packshot-white,"Ảnh sản phẩm nền trắng để đăng bán","Packshot on white for a marketplace listing","The platform requires a plain background and the product must be identifiable at thumbnail size","1:1","None — the platform draws its own text over the tile","One unit of the product standing upright and square to camera, label facing the lens, nothing else in frame","Seamless white sweep with a faint gradient at the bottom so the product does not float","One large soft source from front-left at 45 degrees, plus a white bounce card at right; a soft contact shadow directly under the base","Eye level with the product's midpoint, 85-100mm behaviour so the silhouette does not bow","True material: glass reads as glass with one soft highlight and one refracted edge, matte plastic has no highlight at all","No reflection under the product unless the surface is glass, no drop shadow floating away from the base, no invented label text","The product is lit so evenly it reads as a 3D render; one side needs to fall off"
packshot-context,"Ảnh sản phẩm trong bối cảnh dùng thật","Packshot in the situation it is used in","The buyer cannot picture where the product belongs, or scale is unclear","4:5","Upper third","One unit in the hand or on the surface where it is actually used, positioned as a real person would leave it","The real room or counter it belongs to, kept shallow so only one plane of context reads","Motivated light: name the window or lamp already in that room and let it fall from one side","Slightly above eye level looking down at 20-30 degrees, 35-50mm behaviour to keep the room legible","Everything in frame must be something the owner would actually have; one worn or used object beats three new ones","No marble slab, no pastel pedestal, no props whose only job is mood","Every object is new and nothing has been touched; it reads as a showroom, not a life"
dish-delivery,"Ảnh món ăn cho app giao đồ ăn","Dish hero for a delivery app tile","The dish will be judged in one second against twenty other tiles at 320px wide","1:1","None — the app overlays its own price and name","One portion of the dish plated as it is actually served, filling 70 percent of the frame, cut or opened so the inside reads","The shop's own counter or table, cropped so tightly that only tone remains behind","One large soft source from camera-left raking across the surface so sheen and texture read; no top light","30-40 degrees above the plate, 50mm behaviour, close enough that the plate rim leaves the frame","Sauce is glossy but not gelled, rice is separate and steaming, greens are cut and slightly bruised, meat shows grain","No garnish the shop does not serve, no chopsticks standing upright, no styling gel, no impossible steam plume","The dish is centred and complete and reads as a stock photo; a delivery tile needs the food broken into"
bowl-counter,"Tô bún phở trên quầy quán","Noodle bowl on the shop's own counter","A noodle shop wants one image that works on the menu header and a post","4:5","Upper-left 45 percent","One bowl at a shallow three-quarter angle, broth surface visible, toppings resting against the far rim, herbs on the counter beside it","The shop's stainless counter at mid-morning, the stock pot soft behind camera-right and clear of the copy area","One large soft source from camera-left at 45 degrees standing in for the doorway, raking the broth so the sheen reads","30 degrees above the counter, 50-65mm behaviour from arm's length, no wide-angle bowl distortion","Broth translucent with fat rings, not opaque; noodles wet and separate, not clumped; one visible tendon line in the meat","No second bowl, no hands, no restaurant interior behind, no ice","The broth is opaque and orange; that is the single tell that separates a real bowl from a generated one"
drink-cold,"Ly nước lạnh có hơi nước đọng","Cold drink with real condensation","A drink is being sold on refreshment and the picture must look cold","4:5","Right third","One glass three-quarters full, ice visible and irregular, one straw or none, condensation beading unevenly and running in two or three tracks","A plain surface with one out-of-focus plant or window edge, nothing else","Backlight three-quarters behind at camera-right so the liquid glows through and the beads catch rim light; low fill in front","Slightly below the rim so the liquid column reads full height, 85mm behaviour","Ice is irregular and partly melted, beads vary in size and only some have run, the liquid is translucent not flat colour","No perfectly even bead pattern, no frozen splash, no floating fruit, no glow the scene cannot cast","Uniform beads and clear cube-perfect ice; both read instantly as generated"
grill-smoke,"Quầy nướng đường phố có khói","Street grill with real smoke","A streetfood seller sells on smell and theatre","9:16","Bottom 40 percent for the app's own interface","The skewers or meat on the grate mid-cook, one hand turning them, smoke rising from the coals in an uneven column","The actual stall at dusk, the street behind reduced to warm points of light","Coals as the low warm source plus one hard source from behind so the smoke separates against the dark; nothing frontal","Low, near grate height, 35mm behaviour so the stall reads around the food","Char is uneven, fat is visibly rendering, smoke is thin and directional, not a plume","No symmetric smoke, no fire that lights nothing, no clean apron, no empty street behind a busy stall","The smoke is dense and centred like a special effect; real smoke is thin, tilted, and broken"
banh-mi-section,"Bánh mì cắt ngang thấy nhân","Cross-section so the filling is the proof","The whole claim is what is inside and a closed product hides it","1:1","None","One unit cut clean across and stood or leaned so the section faces the lens, the second half behind and soft","A paper wrap or board directly under it, nothing else in frame","Soft source from front-left plus a bounce at right so the section has no black voids; a raking kicker to show crumb texture","Straight on at the section, 100mm behaviour, so the layers are not distorted","Crumb is open and irregular, pâté is matte, cucumber is wet, chilli edges are cut not torn","No filling stacked in a way it could not survive being closed, no perfect symmetry, no sauce drip added afterwards","The section is styled so full it could never have been wrapped; a buyer reads that as a lie"
coffee-pour,"Rót cà phê hoặc pha chế đang diễn ra","A pour or preparation caught mid-action","The craft of making it is the differentiator","4:5","Top third","The liquid mid-pour between vessel and cup, one hand on the vessel, the stream unbroken and slightly off vertical","The bar or counter where it is actually made, the back bar dissolved to tone","One hard-ish source from behind camera-left so the stream is edge-lit and translucent; soft fill from the front","Slightly above the cup, 50mm behaviour, close enough that the hand and cup fill the frame","The stream tapers and is not a cylinder, the crema is uneven, the cup interior is wet","No frozen droplet crown, no stream that touches nothing, no second unexplained hand","The pour is frozen into a sculpture; a real stream is slightly blurred and never symmetric"
hotpot-share,"Bàn ăn nhiều người, lẩu hoặc nướng chung","A shared table, hotpot or grill for a group","The product is the occasion, not the dish","16:9","Left third","The pot or grill live in the centre of the table with four to six sets of hands reaching in, one person mid-serve, plates and glasses at real angles","A real table in the room it is served in, the room behind soft and warm","The overhead lamp already above that table as the key, plus the burner glow as the low warm source; no added light","Standing above the near edge at 45 degrees, 24-35mm behaviour so the whole table reads","Some plates are half eaten, condensation on the glasses, a used napkin, steam rising unevenly","No untouched perfect table, no faces looking at camera, no matched crockery if the shop's is not matched","Nothing has been eaten yet; a shared table sells the middle of the meal, not the start"
snack-packaged,"Ảnh gói snack, mì, bánh đóng gói","Packaged food where the pack is the product","The pack must be recognisable on a shelf and the food inside must be shown honestly","1:1","None","The sealed pack upright and square with the front panel readable, and a small portion of the actual contents beside it on the surface","A single-tone surface a half stop darker than the pack so the pack separates","Soft source front-left at 45 degrees, one bounce right, and a small hard kicker to read the foil texture","Eye level with the pack's midpoint, 100mm behaviour so the panel is not keystoned","Foil has crinkle and gradient rather than flat colour; the loose portion looks like the real contents, not an idealised version","No invented pack text of any kind, no serving suggestion that exaggerates the contents, no crumbs arranged in an arc","The loose food looks better than what is actually in the pack; that is the claim risk, not a styling choice"
cosmetic-bottle,"Chai lọ mỹ phẩm, serum, dầu","A bottle or jar of a cosmetic or serum","Premium positioning where the container carries the price","4:5","Upper 40 percent","One bottle standing, dropper or cap in place, label square to camera, no second unit","A shallow tone-on-tone surface and back wall, separated by a soft light falloff rather than an edge","One narrow soft strip source behind camera-left so the glass gets one long vertical highlight; a black card at right to keep the other edge dark","Eye level or one degree below, 100mm behaviour, tight so the bottle nearly fills the height","Glass shows one clean highlight and refracts the surface behind it; liquid level is visible; the cap is metal or plastic, and the render must pick one","No water droplets unless the product is used wet, no petals, no marble, no gold flecks, no second reflection the set cannot cast","Two competing highlights on the glass; that is how glass renders look fake even when everything else is right"
texture-swatch,"Vệt kem, gel, bột để chứng minh chất","A smear or swatch that proves the texture","A cream, gel or powder is being sold on how it feels","1:1","None","One swatch of the product drawn across the surface in a single motion, thick at the start and thinning out, with the trailing edge broken","A plain surface the product's own colour minus saturation, filling the frame","One hard raking source almost parallel to the surface from the right so peaks cast their own small shadows","Straight down at 90 degrees, 100mm macro behaviour","A gel holds a dome and shows internal highlights; a cream holds peaks; a powder holds a scatter edge — each must behave like its own class","No swatch that behaves like a different material, no perfect arc, no glitter added","The swatch is drawn as a neat arc; a real swatch is uneven and shows the drag"
skincare-on-skin,"Sản phẩm trên da thật","The product on real skin","The proof is how it sits on skin, and stock-clean skin is not credible","4:5","Bottom third","A hand or cheek with the product applied and partly worked in, one visible finger track, at the moment before it disappears","A plain wall behind, cropped so no room reads","One large soft source from front-left plus a low bounce so the skin keeps its own texture","Close, 85-100mm behaviour, at the angle a person would look at their own arm","Pores, fine hair, one mole or freckle, uneven tone; the product sits wet on top rather than being blended out of existence","No airbrushed skin, no waxy plastic surface, no visible retouch smoothing, no unblemished uniform tone","The skin has no pores; every viewer sees it and it kills the product claim with it"
