dial,unit,min,max,quiet_editorial,modern_street,heritage_craft,what_it_changes,raise_it_when,lower_it_when,breaks_at
margin_ratio,"fraction of canvas width",0.05,0.16,0.111,0.083,0.097,"How much empty edge surrounds everything. This one dial does more for perceived price than any colour choice","The product is premium, the reader is browsing, or the page has few items","The page must hold many items, or it will be read at arm's length on a counter","Below 0.05 the type touches the trim edge and any print shop will cut into it"
title_ratio,"fraction of canvas width",0.035,0.09,0.065,0.059,0.056,"Headline size relative to the canvas, so it holds at any output size","The headline is the whole message and there is little else","The headline is long, or the items below are the real content","Above 0.09 a four-word headline wraps to three lines and the hierarchy inverts"
row_pitch_ratio,"fraction of canvas width",0.05,0.10,0.076,0.065,0.072,"Vertical distance from one list row to the next. Controls how many items fit and how calm the list reads","The list is short and should feel unhurried","More items must fit, or the reader is scanning to choose fast","Below 0.05 the descender of one row touches the cap of the next"
hero_share,"fraction of canvas height",0.20,0.58,0.40,0.44,0.46,"How much of the frame the picture takes before the copy starts","The picture is the argument and the copy is a label","There are proof lines, a price, and a button to fit","Above 0.58 the copy block runs into the button and the renderer refuses"
line_leading,"multiple of type size",1.05,1.60,1.32,1.24,1.28,"Space between lines inside one paragraph","The text is long, the reader is reading rather than scanning, or the type is small","The block must be compact, or the type is large and display-sized","Below 1.05 ascenders and descenders collide between lines"
accent_count,"number of accent colours in one artefact",0,3,1,2,1,"How many colours other than background and ink appear","The design must direct attention to two competing actions","One thing matters most, which is nearly always","At 4 nothing is emphasised, because emphasis is a ratio"
accent_area,"fraction of visible area carrying the accent",0.01,0.25,0.03,0.12,0.06,"How much of the surface the accent covers","The artefact must be visible in a crowded feed at thumbnail size","The positioning is premium, or the accent is a saturated red or orange","Above 0.25 the accent becomes the background and the real background becomes the accent"
type_families,"number of typefaces",1,2,1,2,1,"How many typefaces are in use","A display face genuinely does something the text face cannot","Always, when in doubt — one family with real weight range beats two families","At 3 the artefact reads as a template someone filled in"
weight_steps,"number of distinct type weights",2,4,2,3,3,"How many weights carry the hierarchy","There are more than three levels of information to separate","Hierarchy can be carried by size and space instead, which is quieter and ages better","At 5 the reader can no longer tell which level is which"
size_ratio,"largest type size divided by body size",1.6,4.5,3.2,2.6,2.4,"The jump from body text to headline","A single message must dominate; posters and covers live at the top of this range","The page is dense with real content that all matters","Below 1.6 there is no hierarchy, only two sizes of the same thing"
copy_reserve,"fraction of an image frame kept empty for type",0.0,0.7,0.45,0.35,0.40,"How much of the picture is deliberately left with nothing in it","Type will sit on the image, and long type needs more","The type will sit beside or below the image instead","A reserve the scene fills is not a reserve; verify on the render, not in the prompt"
proof_lines,"number of proof statements per artefact",0,3,1,3,2,"How many reasons-to-believe appear beside the claim","The claim is large, the price is high, or the buyer is cold","The reader already knows you, or the artefact is a reminder rather than an argument","Above 3 they stop being read as proof and start being read as text"
items_per_page,"number of list rows",1,14,7,10,9,"How many products, dishes or features one artefact carries","The reader has decided to browse and wants the range","The reader must choose in under a minute — a menu of 30 dishes sells fewer than a menu of 9","Above 14 at these pitches the renderer refuses and tells you the capacity"
grid_columns,"number of columns",1,12,6,12,4,"The underlying division the layout snaps to","Content sizes vary a lot and need many valid widths","The artefact is simple and a coarse grid keeps it honest","At 1 nothing can sit beside anything, so every relationship becomes vertical"
corner_radius,"px at 1080px canvas",0,28,0,10,4,"How soft the boxes and buttons are","The brand is friendly, digital, and app-adjacent","The brand is editorial, industrial, or printed","Above 28 at this size buttons read as pills and the layout reads as a consumer app whatever else you do"
rule_weight,"px at 1080px canvas",1,14,1,12,3,"The thickness of dividing lines and bars","A structure needs to be felt across the room, at a counter or on a poster","The design is calm and the lines are only there to organise, not to speak","At 0 you have removed the structure rather than quietened it; use space instead"
image_grain,"perceptual, 0 = clean digital",0.0,1.0,0.15,0.35,0.55,"How much surface noise and imperfection the imagery carries","The frame must read as photographed rather than generated","The output is going to print at high resolution, where grain compounds","At 0 across a whole set, every frame reads as generated even when nothing else is wrong"
