harmony_id,name_vi,name_en,structure,area_ratio,contrast_rule,mood_signal,use_when,avoid_when,failure_mode,fix,example_palette,evidence_grade,source
tonal-ladder,Thang đơn sắc,Tonal ladder,"One OKLCH hue; 4-6 steps varying only L (0.20-0.95) and C (peak mid-ladder, near 0 at ends)","Any; darkest step is ink, lightest is bg",Adjacent steps used together must differ by L >= 0.15,"Calm, expensive, single-minded","Quiet-luxury brands, spa, editorial covers where the photo is the colour",Multi-signal surfaces needing many coded categories,Everything merges into one flat field; nothing is focal,"One neutral at extreme L, or one accent under 5% area",navy-mono,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
analogous-arc,Cung liền kề,Analogous arc,2-4 hues inside a 60-degree OKLCH arc; shared C band,60/30/10 across the arc,Any two adjacent hues carrying different meaning need L gap >= 0.15,"Natural, harmonious, low-tension","Food surfaces echoing ingredient colours, nature and wellness brands",Interfaces needing unmistakable state colours,Adjacent hues merge at phone size,"Separate by lightness, not more hue",spa-thao-moc,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
complement-anchored,Bổ túc có neo,Anchored complementary,Base hue + 180-degree OKLCH rotation; equalise or unequalise L deliberately,70/20/10 - never 50/50,Neutral gutter between opposing hues at hard edges,"Energetic, appetising, poster-loud","Food (orange-teal), sport, sale moments needing controlled punch",Long-read surfaces; the buzz fatigues,Vibration at hard edges; equal areas fight,Shrink one side to accent duty; separate with neutral,nhiet-doi,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
split-complement,Bổ túc xẻ đôi,Split-complementary,Base + two hues at 150 and 210 degrees from it,60/25/15 with base dominant,"Differentiate the two flankers by L >= 0.15, never by hue alone",Rich but safer than full complementary,"Illustration-led brands, packaging with two product lines",Minimal two-colour briefs,The two flankers read as one colour,Push one flanker light and one dark,retro-70s,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
triadic-demoted,Tam giác hạ cấp,Demoted triadic,"Three hues 120 degrees apart; one at full C, two capped at C <= 0.08",70/20/10 led by the full-C hue,Only the lead hue may sit at high C on large areas,Playful with adult restraint,"Kids-adjacent brands graduating upmarket, festival systems",Authority and mourning-adjacent contexts,All three at full chroma = toy palette,Cap two hues near-neutral; keep one lead,riso-hai-mau,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
tetradic-two-accents,Tứ giác hai điểm nhấn,Tetradic as two accents,Two complementary pairs; demote one full pair to near-neutral tints,"60/30 neutrals, 7/3 for the two accents",The two live accents never touch without a neutral between,Systematic variety - a family of signals,"Multi-category menus, event series needing coded strands",Single-message posters,Four fighting hues become noise,Treat as two-colour scheme plus two coded accents,neon-dem,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
neutral-plus-one,Trung tính cộng một,Neutral plus one,Achromatic ramp (C < 0.02) plus one hue owning every signal,90-95 neutral / 5-10 accent,Accent-on-neutral and neutral-on-accent must both clear their duty ratio before commit,"Modern, decisive, gallery-clean","Portfolios, tech, signage systems, monochrome photography brands",Warm food storytelling; it reads cold,If the accent fails contrast the whole system fails,Verify both directions of contrast first; pick accent last,tech-dark,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
sixty-thirty-ten,Sáu mươi ba mươi mười,60-30-10 proportion,"Proportion overlay for ANY hue set: dominant 60, secondary 30, accent 10 by area","60/30/10 measured on the layout, not the swatch sheet",The 10 must be the highest-attention element or it is wasted,"Balanced, professionally calm",Default starting proportion when no other has a reason,Editorial restraint briefs (use 85/10/5 instead),Measured on swatches instead of the layout; the real dominant becomes the photo,Compute area share on the actual artboard including imagery,den-vang-luxe,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
warm-field-cool-cut,Nền ấm cắt lạnh,"Warm field, cool cut",Dominant field L>0.7 warm arc (OKLCH hue 40-110); one cool cut (200-260) as the only cold thing,85/15 or tighter,The cool element must also be the darkest or lightest thing present,Sun-warm with one fresh shock,"Bakery, coffee, autumn campaigns wanting one modern edge","Already-cold products (mint, ocean, tech)",Second cool element appears and the shock devalues,"Audit the layout for accidental cools (shadows, steel props)",dat-nung,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
cool-field-warm-cut,Nền lạnh cắt ấm,"Cool field, warm cut",Dominant cool field (OKLCH hue 200-280); one warm cut (20-90) carrying every CTA,85/15 or tighter,The warm cut owns all action signals; nothing else may be warm,"Composed, then suddenly appetising","Seafood, tech-with-humanity, finance with one human moment",Cozy comfort-food storytelling,"Warm leaks (wood props, skin tones) dilute the single cut","Either embrace skin/wood as the warm cut itself, or reframe",navy-mono,craft-heuristic,"Colour-course convention stated as convention; numeric constraints are this repository's working values, craft-heuristic, not measurements"
