id,claim_family,verdict,trigger_vi,trigger_en,detect_regex,discharged_by,who_issues_it,instrument,article,fine_low,fine_high,extra_sanction,what_it_does_not_establish,source_url,verified_at
banned-tobacco,tobacco,prohibited_outright,thuốc lá; xì gà; thuốc lá điện tử,cigarette; tobacco; vape,(?i)(thuốc lá|xì gà|cigarette|tobacco|vaping),Nothing. No document makes this advertisable,-,Nghị định 87/2026/NĐ-CP,Điều 49.1.a,50000000,70000000,Forced removal of the advertising under Điều 49.3,Whether the product may be sold; only that it may not be advertised,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-strong-alcohol,alcohol,prohibited_outright,rượu từ 15 độ trở lên; rượu mạnh,spirits; liquor 15% ABV or above,(?i)(rượu mạnh|whisky|vodka|cognac|spirits|liquor),Nothing at 15 degrees or above. Below that the ordinary rules apply,-,Nghị định 87/2026/NĐ-CP,Điều 49.1.b,50000000,70000000,Forced removal of the advertising under Điều 49.3,Where the line sits for a product between 5 and 15 degrees; the article states only the 15-degree threshold,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-breastmilk-substitute,infant nutrition,prohibited_outright,sữa thay thế sữa mẹ cho trẻ dưới 24 tháng; dinh dưỡng bổ sung cho trẻ dưới 06 tháng; bình bú; vú ngậm nhân tạo,breast-milk substitute under 24 months; supplementary nutrition under 6 months; feeding bottle; artificial teat,(?i)(sữa công thức|thay thế sữa mẹ|bình bú|núm vú|infant formula|feeding bottle|pacifier),Nothing. The category is closed to advertising regardless of registration,-,Nghị định 87/2026/NĐ-CP,Điều 49.1.c,50000000,70000000,Forced removal of the advertising under Điều 49.3,Whether formula for children over 24 months may be advertised; the ban is drawn by age,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-foetus-imagery,infant nutrition,prohibited_outright,hình ảnh bào thai hoặc trẻ nhỏ trong quảng cáo sữa cho phụ nữ mang thai,foetus or infant imagery in maternity-milk advertising,(?i)(bào thai|thai nhi|foetus|fetus|ultrasound),Nothing. The imagery itself is the violation,-,Nghị định 87/2026/NĐ-CP,Điều 49.1.c,50000000,70000000,Forced removal of the advertising under Điều 49.3,Whether a pregnant adult may appear; the prohibition names the foetus and the infant,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-prescription-drug,pharmaceutical,prohibited_outright,thuốc kê đơn; thuốc được khuyến cáo hạn chế sử dụng,prescription medicine; medicine restricted or supervised by a physician,(?i)(thuốc kê đơn|prescription (drug|medicine)),Nothing. Non-prescription medicine is advertisable and has its own article,-,Nghị định 87/2026/NĐ-CP,Điều 49.1.d,50000000,70000000,Forced removal of the advertising under Điều 49.3,The rules for over-the-counter medicine; those sit in Điều 69 and are outside this table,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-medical-staff-cosmetics,cosmetics,prohibited_outright,hình ảnh; trang phục; tên; thư tín; bài viết của cơ sở y tế; bác sỹ; dược sỹ; nhân viên y tế,clinic; doctor; pharmacist; medical staff imagery or endorsement for a cosmetic,"(?i)(bác s(ĩ|ỹ)|dược s(ĩ|ỹ)|phòng khám|bệnh viện|áo blouse|white coat|dermatologist|doctor)",Nothing. The article bans the imagery and the endorsement together,-,Nghị định 87/2026/NĐ-CP,Điều 70.3.c,15000000,20000000,Forced correction and removal under Điều 70.5.a and 70.5.b,Whether a real doctor consented; consent is irrelevant because the ban is on the category of image,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-medical-staff-device,medical device,prohibited_outright,hình ảnh; thông tin của cơ sở y tế; bác sỹ; dược sỹ; nhân viên y tế,clinic or medical-professional imagery for a medical device,"(?i)(bác s(ĩ|ỹ)|dược s(ĩ|ỹ)|phòng khám|bệnh viện|doctor|clinician)",Nothing. Same prohibition as cosmetics at a higher band,-,Nghị định 87/2026/NĐ-CP,Điều 73.3,20000000,30000000,Forced removal under Điều 73.4.b,Whether a clinician may appear in non-advertising content; the article addresses advertising,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-patient-testimonial-food,food,prohibited_outright,ý kiến người bệnh mô tả thực phẩm có tác dụng điều trị bệnh; tôi đã khỏi; hết bệnh; chữa khỏi; điều trị khỏi,patient testimony that a food treats a disease; cured me; healed my,"(?i)(tôi đã khỏi|hết bệnh|chữa khỏi|điều trị khỏi|cured me|healed my)",Nothing. Quoting the patient is the violation even where the quote is genuine,-,Nghị định 87/2026/NĐ-CP,Điều 71.4,20000000,30000000,See Điều 71.5 for suspension of the product registration receipt,Whether the testimony is true; truth is not a defence to this article,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-cosmetic-as-drug,cosmetics,prohibited_outright,nội dung gây hiểu nhầm sản phẩm mỹ phẩm là thuốc; điều trị; đặc trị; chữa; kháng viêm; giảm đau,cosmetic copy that reads as a medicine; treats; cures; heals; therapy,"(?i)(điều trị|đặc trị|chữa|kháng viêm|giảm đau|treats?|cures?|heals?|therapy)",Nothing. A cosmetic cannot buy its way into drug language,-,Nghị định 87/2026/NĐ-CP,Điều 70.4.b,30000000,40000000,Forced correction plus surrender of unlawful proceeds under Điều 70.5.c,Which specific verbs cross the line; the article states the effect and not a word list,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
banned-sex-selection,medical service,prohibited_outright,quảng cáo chẩn đoán; lựa chọn giới tính phôi; thai nhi,advertising embryo or foetal sex selection,(?i)(lựa chọn giới tính|sinh con trai|sex selection|gender selection),Nothing,-,Nghị định 87/2026/NĐ-CP,Điều 75.2.a,20000000,30000000,Licence suspended 3 to 6 months under Điều 75.5.b,Whether the service is lawful to provide; this article addresses advertising it,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
superlative,any,needs_document,nhất; duy nhất; tốt nhất; số một; hàng đầu; số 1,best; only; number one; leading; first,"(?i)(tốt nhất|số một|số 1|duy nhất|hàng đầu|đứng đầu|(^|\s)nhất(\s|$)|the best|number one|no\.? ?1|leading|the only)",Tài liệu hợp pháp chứng minh - a lawful document proving the superlative,Whoever measured it; a third-party ranking or a test report naming the comparison set,Nghị định 87/2026/NĐ-CP,Điều 50.2.a,10000000,20000000,Forced removal under Điều 50.6,What counts as lawful; the article says the document must prove the claim as regulated and no list is given,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
comparative-named-rival,any,needs_document,so sánh sản phẩm của mình với sản phẩm cùng loại của tổ chức cá nhân khác,comparison against another organisation's like product,"(?i)(so sánh|tốt hơn|hơn hẳn|vượt trội hơn|better than|compared to|outperforms|versus)",Tài liệu hợp pháp chứng minh the comparison,The testing body; a like-for-like test on both products,Nghị định 87/2026/NĐ-CP,Điều 50.4.b,40000000,60000000,Forced removal under Điều 50.6,Whether an unnamed comparison is safe; the article says cùng loại and does not require naming the rival,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
person-image-or-words,any,needs_document,sử dụng hình ảnh; lời nói; chữ viết của cá nhân khi chưa được cá nhân đó đồng ý,using a person's image voice or writing without their consent,-,That person's consent unless another law permits the use,The person depicted; a signed release naming the placements and the term,Nghị định 87/2026/NĐ-CP,Điều 50.3.a,20000000,40000000,Forced removal under Điều 50.6,Whether the copyright holder's permission suffices; this duty runs to the person depicted and is separate,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
business-activity,any,needs_document,quảng cáo về hoạt động kinh doanh sản phẩm hàng hóa dịch vụ,advertising a business activity at all,-,Giấy chứng nhận đăng ký kinh doanh,The business registration authority,Nghị định 87/2026/NĐ-CP,Điều 54.1.a,10000000,15000000,Forced removal under Điều 54.2,Whether a personal seller without registration is inside it; the article addresses advertising business activity,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
product-conformity,any,needs_document,quảng cáo các loại sản phẩm hàng hóa dịch vụ,advertising any product goods or service,-,Tài liệu chứng minh về sự hợp chuẩn hợp quy,The conformity assessment body or the self-declaration filed with the sector authority,Nghị định 87/2026/NĐ-CP,Điều 54.1.b,10000000,15000000,Forced removal under Điều 54.2,Which products require conformity documents; that is set by product law and not by this article,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
asset-advertising,property,needs_document,quảng cáo tài sản; căn hộ; dự án; lô đất; sổ đỏ,advertising an asset or property; apartment; land plot; property listing,(?i)(căn hộ|dự án|lô đất|sổ đỏ|apartment|land plot|property listing),Giấy chứng nhận quyền sở hữu hoặc quyền sử dụng,The land or asset registry,Nghị định 87/2026/NĐ-CP,Điều 54.1.c,10000000,15000000,Forced removal under Điều 54.2,Whether an agent may rely on the owner's certificate; the article requires the certificate to exist,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
medical-service-licence,medical service,needs_document,quảng cáo dịch vụ khám bệnh chữa bệnh khi chưa có giấy phép,advertising a medical service without the operating licence,"(?i)(khám bệnh|chữa bệnh|phòng khám|điều trị tại|clinic|treatment centre)",Giấy phép hoạt động khám bệnh chữa bệnh or Chứng chỉ hành nghề,The health authority,Nghị định 87/2026/NĐ-CP,Điều 75.3,30000000,40000000,Forced removal under Điều 75.6,Whether a beauty salon offering non-invasive services needs one; scope is set by health law,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetic-matches-dossier,cosmetics,must_match_filing,quảng cáo mỹ phẩm có nội dung không phù hợp với Hồ sơ công bố mỹ phẩm,cosmetic copy that does not match the product declaration dossier,-,The Hồ sơ công bố mỹ phẩm itself. The claim must sit inside what was filed,The company that filed it; the receiving health authority holds the record,Nghị định 87/2026/NĐ-CP,Điều 70.3.a,15000000,20000000,Forced correction and removal under Điều 70.5.a and 70.5.b,Whether a supporting study helps; a study outside the dossier does not bring the claim inside it,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetic-within-declared-function,cosmetics,must_match_filing,nội dung không phù hợp với bản chất phân loại tính năng công dụng đã công bố,cosmetic copy exceeding the declared nature classification or function,-,The declared classification and function. Add the function to the filing or drop it from the copy,The company that filed it,Nghị định 87/2026/NĐ-CP,Điều 70.4.b,30000000,40000000,Forced correction plus surrender of unlawful proceeds under Điều 70.5.c,Whether the function is real; the test is whether it was declared,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetic-notice-number,cosmetics,must_match_filing,chưa được cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm hoặc số tiếp nhận hết thời hạn,advertising a cosmetic with no valid product-declaration receipt number,-,A current số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm,The health authority that issues the receipt,Nghị định 87/2026/NĐ-CP,Điều 70.4.a,30000000,40000000,Forced correction plus surrender of unlawful proceeds under Điều 70.5.c,How long the receipt lasts; the expiry is set by cosmetics law and not here,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
food-matches-filing,food,must_match_filing,giới thiệu thực phẩm không đúng với hồ sơ công bố hợp quy; đăng ký bản công bố; tự công bố; xác nhận nội dung quảng cáo,food copy that does not match the declaration or the approved advertising content,-,Whichever filing the product has: hợp quy; đăng ký bản công bố; tự công bố; or the xác nhận nội dung quảng cáo,The company for a self-declaration; the food safety authority for the others,Nghị định 87/2026/NĐ-CP,Điều 71.2.d,10000000,15000000,See Điều 71.5 for suspension of the registration receipt,Which filing route a given product takes; that is set by food safety law,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
device-matches-registration,medical device,must_match_filing,nội dung không phù hợp với Giấy chứng nhận đăng ký lưu hành; Phiếu tiếp nhận hồ sơ công bố tiêu chuẩn áp dụng; Giấy phép nhập khẩu,device copy that does not match the circulation registration or import licence,-,The registration certificate; the standards-declaration receipt; or the import licence,The health authority,Nghị định 87/2026/NĐ-CP,Điều 73.1.a,5000000,10000000,Forced removal under Điều 73.4.b,Which of the three documents applies; that depends on the device class,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
