id,programme,side,parameter,value,unit,effective_from,supersedes,what_it_actually_means,source_url,verified_at
kolkoc-window,Shopee KOL/KOC Affiliate,creator,attribution_window,7,days,undated,-,"The buyer must place a successful order within 7 days of clicking that same creator's affiliate link. Not 7 days from the post going up - 7 days from the click, per click, which is why a post that keeps earning is a post that keeps getting clicked rather than one that ranked once.",https://help.shopee.vn/portal/10/article/122941,2026-07-31
kolkoc-rate-at-order,Shopee KOL/KOC Affiliate,creator,rate_basis,order timestamp,rule,undated,-,"Commission is computed at the Shopee and Xtra rates in force when the buyer placed the order, not when the creator posted. A campaign built on a rate screenshotted last week is a campaign built on a number that has no contractual life.",https://help.shopee.vn/portal/10/article/122941,2026-07-31
kolkoc-no-xtra-on-index,Shopee KOL/KOC Affiliate,creator,xtra_excluded_surfaces,homepage and category and other non-product pages,rule,undated,-,Xtra commission - the seller-funded half - is earned only on shop and product links. Link to the Shopee homepage or a category page and the Shopee half still pays while the seller half silently does not. The page states this as a best practice; it is a revenue rule.,https://help.shopee.vn/portal/10/article/122941,2026-07-31
kolkoc-commission-layers,Shopee KOL/KOC Affiliate,creator,commission_layers,Hoa hong Shopee plus Hoa hong Xtra,rule,undated,-,"Two payers behind one number. Shopee funds the base rate; the seller funds Xtra. A creator negotiating with a brand is negotiating only the second, and a creator quoting one blended percentage cannot tell which half moved when earnings drop.",https://help.shopee.vn/portal/10/article/190646,2026-07-31
kolkoc-order-types,Shopee KOL/KOC Affiliate,creator,order_taxonomy,direct and indirect and discovery and conversion,rule,undated,-,"Indirect orders count: a purchase from a completely different seller after the click is still commissionable. So affiliate earnings are not a read on the product you posted, and a creator attributing income to a specific video is usually wrong about which basket it came from.",https://help.shopee.vn/portal/10/article/190646,2026-07-31
kolkoc-algorithmic-rates,Shopee KOL/KOC Affiliate,creator,rate_stability,set by algorithm and variable,rule,undated,-,"The page says outright that both commission types are determined automatically by system algorithm and may change from time to time under the programme terms. There is no rate card to hold anyone to, which is the single most important thing to know before modelling affiliate income as revenue.",https://help.shopee.vn/portal/10/article/190646,2026-07-31
service-fee-current,Shopee Affiliate,creator,service_fee,0.0098,share,2025-07-16,service-fee-superseded,"A service fee of 0.98 percent of everything the partner earns from the programme, VAT included, offset directly at reconciliation rather than invoiced. Small, and it comes off the top before anything else.",https://help.shopee.vn/portal/10/article/174381,2026-07-31
service-fee-superseded,Shopee Affiliate,creator,service_fee,0.01,share,2025-05-16,-,"The 1 percent version, applied from the 16-31 May 2025 reconciliation period. Recorded because it is still live on its own URL with no superseded label, and because a two-month-old rate quoted as current is the ordinary failure mode here.",https://help.shopee.vn/portal/10/article/187147,2026-07-31
pit-withholding-current,Shopee Affiliate,creator,withholding_floor,250000,VND per payment,2025-11-20,pit-withholding-superseded,"From 20 November 2025 personal income tax is withheld at 10 percent on any payment of 250000 VND or more to an individual partner. The threshold fell because payments went to twice a week, so the same monthly income now crosses it on nearly every instalment. In practice: assume 10 percent is withheld.",https://help.shopee.vn/portal/10/article/196407,2026-07-31
pit-withholding-superseded,Shopee Affiliate,creator,withholding_floor,2000000,VND per payment,2013-10-01,-,"The 2000000 VND threshold from Thong tu 111/2013/TT-BTC Article 25.1(i), which Shopee's own tax explainer still states as current. Two pages on the same host disagree and the dated announcement is the one that governs. A model still carrying 2000000 understates withholding on almost every payment.",https://help.shopee.vn/portal/10/article/163104,2026-07-31
pit-rate,Shopee Affiliate,creator,withholding_rate,0.1,share,2013-10-01,-,"Ten percent withheld at source, and it is an advance rather than a final tax. Affiliate commission is remuneration under Thong tu 111/2013/TT-BTC Article 2.2(c), so the individual files an annual return on the progressive scale and overpayment is refundable. A creator who never files is donating the difference.",https://help.shopee.vn/portal/10/article/163104,2026-07-31
payout-cadence-individual,Shopee Affiliate,creator,payment_frequency,twice weekly,cadence,2025-11-20,payout-cadence-individual-stale,Stated inside the tax announcement rather than on the payment page: the current frequency for individual partners is twice a week. The payment-process article was never updated to match.,https://help.shopee.vn/portal/10/article/196407,2026-07-31
payout-cadence-individual-stale,Shopee Affiliate,creator,payment_frequency,twice monthly,cadence,undated,-,"The two-cycle description still published as the payment process: orders from the 16th to month end reconciled from the 11th of the next month, orders from the 1st to the 15th reconciled from the 24th, each paid within about 30 working days of complete documents. Superseded by the twice-weekly cadence and still the first page a partner finds.",https://help.shopee.vn/portal/10/article/123042,2026-07-31
payout-cadence-business,Shopee Affiliate,creator,payment_frequency,monthly,cadence,2025-11-01,-,"Business partners are paid once a month, with 8 or 9 daily payment statements generated per period depending on month length, and the reconciliation email within 10 working days after the last statement is issued. Cadence now differs by partner type, so a company and an individual promoting the same product are on different receivable clocks.",https://help.shopee.vn/portal/10/article/189769,2026-07-31
payout-cadence-mcn,Shopee Affiliate,creator,payment_frequency,monthly,cadence,undated,-,"MCN partners reconcile the whole previous month from the 11th, then payment within about 30 working days of Shopee holding complete valid documents. The longest clock of the three, and the one an agency signs its own creators onto.",https://help.shopee.vn/portal/10/article/186503,2026-07-31
convert-to-company,Shopee Affiliate,creator,conversion_threshold,500,orders per day over 3 consecutive months,undated,-,"To move an existing individual account to a company or household-business account you need a daily average above 500 orders over the last 3 consecutive months, an assigned Shopee contact, and the ability to issue invoices. Shopee supports the switch exactly once, ever. This is the real line between affiliate as side income and affiliate as a business.",https://help.shopee.vn/portal/10/article/178649,2026-07-31
mcn-registration,Shopee Affiliate,creator,mcn_intake,affiliate.mcn@shopee.com with proposal,process,undated,-,"New MCN registration is an email with a business licence, official channels, a proposal covering services, capabilities, roadmap, live or campaign case studies, and the KOL network. Reply within 7 working days of a complete file.",https://help.shopee.vn/portal/10/article/178649,2026-07-31
seller-cookie,Shopee Seller Affiliate,seller,cookie_retention,7,days,undated,-,Definition 1.2 of the seller programme terms: visit information is retained for 7 days on both the app and the website.,https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-order-window,Shopee Seller Affiliate,seller,attribution_window,30,days,undated,-,"Definition 1.4 counts a Successful Order when the visitor completes a purchase within 30 days of being brought to the marketplace. That is four times the creator-side window and it sits in the same document as a 7-day cookie, which the terms never reconcile. Model both and confirm the operative one with your Shopee contact before it goes in a forecast.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-order-exclusions,Shopee Seller Affiliate,seller,excluded_orders,cancelled and returned and refused and bot and prefilled and policy-violating,rule,undated,-,"Definition 1.4 excludes cancelled orders, refused deliveries and returns under the refund policy, orders from bots spiders and scripts, and orders using pre-filled data fields - and states that Shopee is not obliged to explain or prove any individual decision. Returns therefore remove commission after it was reported, which is why a return rate is an input to any affiliate model and not a footnote.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-eligibility,Shopee Seller Affiliate,seller,business_eligibility,50,orders per day over 3 months,undated,-,"Business individuals, household businesses and domestic companies joining the seller programme need a daily average above 50 orders over 3 months and then sign a service contract. Non-business individuals have no such threshold. Note the gap against the 500-per-day figure for converting a creator account - two programmes, two thresholds, an order of magnitude apart.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-min-payout,Shopee Seller Affiliate,seller,minimum_payout,10000,VND,undated,-,"Below a 10000 VND minimum, Shopee reserves the right to hold the payment - including when the account has been locked. Trivial for a working programme and the reason a dormant one never pays out at all.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-doc-deadline,Shopee Seller Affiliate,seller,document_deadline,180 for individuals and 30 for businesses,days,undated,-,"Payment documents are due within 6 months of the commission arising for a non-business individual and within 30 days for a business individual, household business or company. Miss it and Shopee reserves the right not to pay. The stricter deadline lands on the partner who has accountants.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-violation-threshold,Shopee Seller Affiliate,seller,violation_lock_threshold,0.2,share,undated,-,"Under 20 percent violating orders in a reconciliation window and Shopee pays on the clean remainder. At 20 percent or above in one month, or across 3 months consecutive or not since approval, Shopee may lock the affiliate account and the Shopee account with it. One number separates a deduction from the end of the channel.",https://help.shopee.vn/portal/10/article/171010,2026-07-31
seller-account-deletion,Shopee Seller Affiliate,seller,forfeiture_on_deletion,unpaid commission forfeited,rule,undated,-,Delete your own Shopee account and Shopee reserves the right to refuse payment of commission already earned. Worth knowing before consolidating accounts.,https://help.shopee.vn/portal/10/article/171010,2026-07-31
fraud-charge,Shopee Affiliate,both,fraud_charge,10000000,VND per incident,2024-09-12,-,"Up to 10000000 VND per instance of prohibited conduct, VAT included, cumulative across instances, and Shopee decides unilaterally whether to offset it against what it owes you or invoice you for it. Posted 5 September 2024 and effective 7 days later. This is the number that makes the prohibited list worth reading properly.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
fraud-brand-keyword,Shopee Affiliate,both,prohibited_paid_search,Shopee as a keyword,rule,2024-09-12,-,"Bidding on the Shopee brand or its private labels in search advertising is prohibited without prior written consent, and the policy says the term must be treated as a negative keyword. Any Vietnamese performance marketer running search to a Shopee listing is one broad-match campaign away from this clause.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
fraud-email,Shopee Affiliate,both,prohibited_email,promotional email without written consent,rule,2024-09-12,-,"Item (a) of the prohibited list: advertising email promoting Shopee requires Shopee's prior written approval. A newsletter with affiliate links in it is inside this clause, which is not how anyone treats their own mailing list.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
fraud-borrowed-content,Shopee Affiliate,both,prohibited_content_reuse,using another person's content without permission,rule,2024-09-12,-,"Item (n) makes taking someone else's content and posting it publicly a fraud violation carrying the same charge as fake orders. The platform's own affiliate policy is stricter on image rights than most agency practice, and it is enforced by withholding money.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
fraud-automation,Shopee Affiliate,both,prohibited_automation,bots and emulators and inflated engagement,rule,2024-09-12,-,"Items (b) (t) and (w) cover robots and automated tools, emulators and device spoofing, and interference with views interactions follows purchases clicks bulk video creation and livestream replays. Buying engagement to qualify for a programme tier is inside the same clause as order fraud.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
fraud-fake-orders,Shopee Affiliate,both,prohibited_orders,fake and proxy and resale-intent orders,rule,2024-09-12,-,"Item (o) prohibits soliciting or placing fake orders, ordering on someone's behalf, and ordering to resell on or off Shopee. Item (k) separately prohibits posting a bare link with no content or sending the same link to the same audience - the two habits a struggling affiliate reaches for first.",https://help.shopee.vn/portal/10/article/199468,2026-07-31
link-grammar,Shopee Affiliate,creator,link_format,s.shopee.vn/an_redir with affiliate_id and sub_id,rule,undated,-,"The documented form is s.shopee.vn/an_redir?origin_link={urlencoded landing page}&affiliate_id={id}&sub_id={v1}-{v2}-{v3}-{v4}-{v5}, and the resolved link carries utm_medium=affiliates, utm_source=an_{affiliate_id} and the sub_id in utm_content. Five dash-separated slots is the only campaign taxonomy a creator controls, and since the delimiter is a dash, a value containing one splits the field.",https://help.shopee.vn/portal/10/article/172955,2026-07-31
product-code-fallback,Shopee Affiliate,creator,link_fallback,product code searched in-app,rule,undated,-,"Where a platform blocks affiliate links, Shopee issues a product code in the form BFD-ZBE-BDY - dash required, case-insensitive - which a follower pastes into Shopee search, and the page states this is recorded the same as a click from a social affiliate link. That makes attributed affiliate revenue possible on surfaces that strip links, which is most of them.",https://help.shopee.vn/portal/10/article/153028,2026-07-31
shopee-video-spec,Shopee Video,creator,video_spec,9:16 at minimum 540x960,spec,undated,-,"Shopee states 9:16 at a minimum resolution of 540x960, audio and on-screen language in Vietnamese or English, and no screen recordings, GIFs or static images. The resolution floor is low enough that phone footage passes and the content rules are what actually gate distribution.",https://help.shopee.vn/portal/10/article/141537,2026-07-31
facebook-affiliate-hub,Facebook Affiliate Partnerships,creator,eligibility,18 plus with Page or professional profile,rule,undated,-,"Open to creators aged 18 or over holding a Facebook Page or a professional profile. A shared Shopee affiliate link renders a product banner automatically in two positions, currently showing only the first product in the link.",https://help.shopee.vn/portal/10/article/190889,2026-07-31
