format_id,label,family,unit,size_w,size_h,bleed_mm,safe_margin_mm,edge_allowance_mm,view_distance,viewer_motion,size_grade,size_source,distance_grade,what_it_does_not_tell_you
a0-poster,A0 poster,iso-print,mm,841,1189,3,20,0,10,walking,iso-216-definitional,ISO 216:2007 A series. The whole series is derivable: A0 is 841 x 1189 mm and each next size is the previous one halved across its long side. verify_iso_series in the test suite recomputes it,declared-assumption,"Nothing about where it hangs. 10 m is the distance an A0 is usually first seen from in a corridor or a lobby, not a property of the sheet. Measure the actual place and pass --distance"
a1-poster,A1 poster,iso-print,mm,594,841,3,16,0,5,walking,iso-216-definitional,ISO 216:2007 A series,declared-assumption,"A1 in a shop window is read from the pavement, which can be 2 m or 8 m depending on the setback. The setback decides the type size, not the paper"
a2-poster,A2 poster,iso-print,mm,420,594,3,14,0,3,standing,iso-216-definitional,ISO 216:2007 A series,declared-assumption,3 m assumes a wall. The same sheet on an easel at a counter is read at 1 m and carries three times the copy
a3-poster,A3 notice,iso-print,mm,297,420,3,12,0,2,standing,iso-216-definitional,ISO 216:2007 A series,declared-assumption,"A3 is the size a queue reads while waiting, so the distance is set by where the queue stands"
a4-flyer,A4 flyer or one-pager,iso-print,mm,210,297,3,10,0,0.4,holding,iso-216-definitional,ISO 216:2007 A series,declared-assumption,"Held, so the distance is arm's length and the legibility question stops binding. What binds instead is how much a person reads before putting it down, which no formula here answers"
b1-poster,B1 poster,iso-print,mm,707,1000,3,18,0,6,walking,iso-216-definitional,ISO 216:2007 B series. B0 is 1000 x 1414 mm and halves the same way,declared-assumption,B sizes exist because they sit between A sizes. Which one a Vietnamese printer stocks is a question for the printer
b2-poster,B2 poster,iso-print,mm,500,707,3,16,0,4,walking,iso-216-definitional,ISO 216:2007 B series,declared-assumption,See b1-poster
bang-ron-ngang,Bang ron / horizontal street banner,street-print,mm,3000,800,0,60,50,15,riding,trade-multi-vendor,"0.8 x 3 m is the best-attested hemmed street banner: two Vietnamese print shops publish it in the same ngang list (bangronsukien.vn, invietnhat.vn, read 2026-08-04). No TCVN covers any OOH format and no decree sets a maximum - one vendor claims a Ministry of Culture limit and cites nothing, so no regulatory ceiling is encoded here. Other quoted ngang sizes are 600x2000, 1000x4000, 1000x5000 and 1000x6000 mm",declared-assumption,"Nothing about whether you may hang it. Placement, permit and duration for outdoor advertising are governed separately and this repository has not researched them - see the poster-and-banner reference for the gap and what to bring back. Zero bleed because the edge is hemmed or eyeleted, so ink at the trim is lost in the fold. Bleed is 0 and the allowance is 50 mm, which is a different thing: bleed is artwork you let the blade cut, allowance is material the shop folds, sews or punches through and consumes. Nothing may be inside it. A pole sleeve (xo cay) needs 100 mm on the top edge instead of 50, single vendor."
phuon-doc,Phuon / vertical street flag,street-print,mm,800,2000,0,60,50,12,riding,trade-multi-vendor,"0.8 x 2 m appears in two vendors' doc lists alongside 0.6 x 1.6 m (bangronsukien.vn, invietnhat.vn, read 2026-08-04). Trade convention, no standard",declared-assumption,"A vertical flag is read side-on more often than head-on, and this table has no term for viewing angle. A glance measurement taken head-on is the best case. 50 mm of material allowance every side for the hem and the eyelets, on two vendors' word. It is consumed, not printed to."
standee,Standee,in-store,mm,600,1600,0,50,50,2,walking,trade-multi-vendor,"0.6 x 1.6 m is published by three independent Vietnamese shops (innhanhthuduc.com, instandee.vn, onepidesign.com, read 2026-08-04), as is 0.8 x 1.8 m. Three shops agreeing is not a standard - nothing is standardised here - but it is what the word means on a quote",declared-assumption,"A standee is passed rather than faced, so the top third is read and the bottom third often is not. The formula sizes type; it does not know that the price at ankle height is invisible The 50 mm allowance is the roll-up cassette: one vendor states 30 to 50 mm top and bottom, and 50 is carried because under-allowing loses artwork while over-allowing costs a strip of vinyl. An X-frame standee eyelets instead and the number is the frame's, not the file's."
