slot_id,name_vi,name_en,answers,ratio,product_fill_pct,shows_pct_of_product,derivation,needs_from_source,needs_present,obtainable_from_one_photo,condition_is,lock,iptc_digital_source_type,marketplace_main_image,fails_when,evidence_grade,source
main-hero-white,Ảnh chính nền trắng,"Main image, product on white",What exactly am I buying,square,82,100,reframe,"The whole product unclipped, square to camera, on a background that can be cleaned",-,yes,-,Silhouette; label text; closure; colour; material; single unit,digitalCapture,allowed,The crop pushes fill past 90 percent and the platform's own zoom clips an edge,standard-requirement,https://support.google.com/merchants/answer/6324350
main-hero-cleaned,Ảnh chính đã tách nền,"Main image, background removed","What exactly am I buying, on a background the platform prefers",square,80,100,background-swap,"A cuttable edge: no motion blur on the silhouette, no background the same value as the product",-,yes,-,Silhouette; contact shadow direction; label text; colour; material,compositeWithTrainedAlgorithmicMedia,allowed,The cutout floats because the contact shadow was removed with the background,standard-requirement,https://support.google.com/merchants/answer/6324350
detail-macro,Ảnh cận chất liệu,Material or finish macro,Is the material what the description claims,square,100,15,reframe,"Real detail at the crop: weave, grain, seam or print dots resolved, not interpolated",-,conditional,pixels,Texture scale; colour; the fact that this is the same unit as the main image,digitalCapture,additional-only,"The crop is upscaled, so the texture is the resampler's texture and not the product's. The 15 percent is the house figure for how much of the product a material crop shows; the rule that it must not be upscaled is not",standard-requirement-with-house-threshold,https://support.google.com/merchants/answer/6324350
three-quarter,Góc ba phần tư,Three-quarter view,"What shape is it, how deep is it",square,80,100,new-geometry,A second angle. Rotating a flat photograph invents the side nobody photographed,three-quarter-exposure,no,-,Proportion; depth; label wrap around the corner,digitalCapture,allowed,A model is asked to turn the product and returns a plausible side that is not the product's side,standard-requirement,https://support.google.com/merchants/answer/6324350
back-panel,Mặt sau bao bì,"Back of pack, information side","What is in it, who made it, how do I use it",square,85,100,new-geometry,A photograph of the back. Generated ingredient panels are fabricated claims,back-exposure,no,-,Every character of the printed panel,digitalCapture,additional-only,A front-only listing is judged against the rule that packaging must be shown multidimensionally,standard-requirement,https://support.google.com/merchants/answer/6324350
top-down,Góc nhìn từ trên,Top-down view,"What is the footprint, what is on the lid",square,80,100,new-geometry,A photograph from above,top-down-exposure,no,-,Footprint; lid artwork; proportion,digitalCapture,additional-only,The lid is invented from the front label's colours,craft-heuristic,derived from the fixed relation between camera angle and visible faces
scale-in-hand,So sánh kích thước trên tay,Scale against a hand,How big is it really,feed-portrait,45,100,new-subject,A hand photographed with this unit. A generated hand sets the scale by guessing it,a-scale-reference-in-frame,no,-,"The ratio between the product and the hand, which is the entire content of the frame",digitalCapture,additional-only,"The generated hand is a size that makes the product read as larger than it is, which is a returns problem",house-rule,"a fabricated scale reference is a misleading claim, so it is refused before it is judged"
bundle-contents,Ảnh trọn bộ,Everything included in the box,What arrives when I order,square,88,100,new-geometry,"Every item in the bundle, photographed. One unit cannot become five",every-bundle-item-photographed,no,-,The count; every item's own identity,digitalCapture,allowed,"A bundle listing shows a duplicated unit, so the buyer counts items that will not arrive",standard-requirement,https://support.google.com/merchants/answer/6324350
variant-line-up,Dàn phiên bản màu,Colour or flavour line-up,Which versions exist,square,85,100,new-subject,A photograph of each variant. Recolouring one unit produces a product that does not exist,each-variant-photographed,no,-,"Each variant's real colour, real label and real finish",digitalCapture,disallowed,A recoloured unit is listed as a variant and the delivered colour does not match the tile,standard-requirement,https://support.google.com/merchants/answer/6324350
spec-callout,Ảnh chú thích thông số,Annotated specification frame,"What are the dimensions, what is each part",square,60,100,reframe,"The main image, plus real measurements from someone with a ruler",-,yes,-,"The product pixels; the measurements, which come from the seller and not from the image",digitalCapture,disallowed,"It is submitted as the main image, where any overlay counts as a promotional element",standard-requirement,https://support.google.com/merchants/answer/6324350
