fact_id,model_family,axis,claim,url,retrieved,evidence_grade,what_it_does_not_establish,how_to_use_it
clip-77-silent,stable-diffusion-legacy,token-budget,"The CLIP text encoders truncate the prompt at 77 tokens, and do so silently with no error returned",https://arxiv.org/html/2403.03206v1,2026-07-31,peer-reviewed-paper,"What a token is in words. The tokenizer is subword, so a word count is an estimate and a long brand name can cost several tokens on its own","This is the only documented reason front-loading a prompt is real. On a CLIP-only pipeline everything past the window is not weighted less, it is absent"
sd3-t5-256,stable-diffusion-3,token-budget,SD3 and SD3.5 carry a T5-XXL encoder alongside CLIP and the model card states a 256-token sequence length,https://huggingface.co/stabilityai/stable-diffusion-3.5-large,2026-07-31,model-card,That the CLIP branch also reads 256. The 77-token CLIP window still applies to the CLIP embeddings inside the same model,Treat 256 as the T5 budget and 77 as the CLIP one. A prompt between the two is read by one encoder and cut by the other
sd3-drop-t5-text,stable-diffusion-3,token-budget,"Removing the T5-XXL encoder costs a 38 percent win rate on written text specifically, and much less on general prompt following",https://arxiv.org/html/2403.03206v1,2026-07-31,peer-reviewed-paper,That the same holds for any other model family. This is one ablation on one architecture,The one published number connecting an encoder to a capability. Cite it when somebody claims typography quality is a prompt-wording problem
sd3-token-ablation-myth,stable-diffusion-3,token-budget,"The SD3 paper contains no 77-versus-256 token ablation; those sequence-length figures come from the SD3.5 model card, not the paper",https://arxiv.org/html/2403.03206v1,2026-07-31,peer-reviewed-paper,"Anything about what the numbers mean, only where they are not","Correction. Cite the model card for the numbers and the paper for the encoder ablation, never the paper for both"
imagen-128-token-myth,imagen,token-budget,"No token limit is documented for any Imagen version. The widely repeated 128-token figure belongs to Parti, a different Google model",https://arxiv.org/abs/2206.10789,2026-07-31,no-primary-source,That Imagen has no limit. It establishes only that no published limit exists,"Correction. If a prompt has to be sized for Imagen, size it by testing, not by the 128 figure"
openai-prompt-length,gpt-image,token-budget,"The prompt maximum is 32000 characters for the GPT image models, 4000 for dall-e-3 and 1000 for dall-e-2",https://developers.openai.com/api/reference/resources/images.md,2026-07-31,vendor-doc,"A token limit, or where the model stops paying attention. It is an API validation limit in characters, which is a different kind of constraint from an encoder window","Correction to this row's first version, which recorded no published limit after reading only the guide page. The number is on the API reference, not the guide. 32000 characters is far past any useful prompt, so treat it as a validation ceiling rather than a budget to fill"
midjourney-prompt-length,midjourney,token-budget,No prompt token or character limit is published,https://docs.midjourney.com/hc/en-us/articles/3202359803341-Parameter-List,2026-07-31,no-primary-source,That length has no effect,Same as OpenAI: measure rather than cite a number somebody posted
vertex-negative-legacy,imagen,negative-prompt,negativePrompt is supported on imagen-3.0-generate-001 and capability-001 and is documented as a legacy feature not included from imagen-3.0-generate-002 onward,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/image/omit-content-using-a-negative-prompt,2026-07-29,vendor-doc,"Behaviour on Gemini image models, which are a different surface",Check the exact model string before sending the field. Between two Imagen 3 point releases the same request is valid and then silently unsupported
gemini-semantic-negative,gemini-image,negative-prompt,"No negative-prompt parameter. The docs instead list semantic negative prompts as a prompting practice, meaning exclusions written in natural language",https://ai.google.dev/gemini-api/docs/image-generation,2026-07-29,vendor-doc,That natural-language exclusion works as well as a dedicated field,"Write the exclusion as a positive description of what should be there instead. An empty street, not no people"
openai-no-negative,gpt-image,negative-prompt,No negative-prompt parameter exists in the image generation documentation,https://developers.openai.com/api/docs/guides/image-generation.md,2026-07-29,vendor-doc,"That exclusions cannot be expressed, only that there is no field for them","Never emit a negative-prompt block for this family. It is not ignored politely, it is read as part of the prompt"
flux2-no-negative,flux,negative-prompt,"FLUX.2 does not support negative prompts, and the prompting guide says to describe desired outcomes rather than exclusions",https://docs.bfl.ml/guides/prompting_guide_flux2,2026-07-29,vendor-doc,"Behaviour of FLUX.1 open-weight checkpoints run through a local pipeline, which do expose the field",The gate that matters most in this skill: a compiled FLUX prompt carrying a DO NOT list is sending the exclusions as content
ideogram-negative,ideogram,negative-prompt,"A Negative Prompt setting exists and guides generation away from specified content, with the regular prompt always favoured over it",https://docs.ideogram.ai/using-ideogram/generation-settings/negative-prompt,2026-07-29,vendor-doc,"How strongly it weights, which is not published","Write nouns and attributes, never negated sentences, and never contradict the positive prompt"
stability-turbo-negative,stable-diffusion-3,negative-prompt,Negative prompts are not restricted on turbo models; sd3.5-large-turbo and sd3.5-flash differ from non-turbo in the cfg_scale default of 1 versus 4,https://platform.stability.ai/docs/api-reference,2026-07-31,vendor-doc,"That a negative prompt is equally effective at cfg_scale 1, which is the real caveat",Correction to the common claim that turbo models drop negatives. Raise guidance before concluding the field does nothing
firefly-negative-scope,firefly,negative-prompt,"negativePrompt is live on v3 images generate-async and fill-async, unsupported with Custom Models on Image Model 3 and 4, and absent from the v4 and Image Model 5 schema",https://developer.adobe.com/firefly-services/docs/firefly-api/,2026-07-31,vendor-doc,"That the field was removed from Firefly generally, which is the usual overstatement","Route by endpoint version, not by product name. The same account has both behaviours available"
imagen-text-25-chars,imagen,in-image-text,Text in an image is documented with a 25-character guideline and up to three short phrases,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/image/img-gen-prompt-guide,2026-07-31,vendor-doc,"A word count, and anything about Gemini image models. Google publishes characters, not words, and only for Imagen",The only published numeric text budget in the whole survey. Use it as the design constraint for any generated headline and set longer copy in layout
openai-text-limitation,gpt-image,in-image-text,In-image text is listed under Limitations: the model can still struggle with precise text placement and clarity,https://developers.openai.com/api/docs/guides/image-generation.md,2026-07-31,vendor-doc,A failure rate. No benchmark figure is published,"Quote this to a client before promising rendered packaging or legal copy. The vendor calls it a limitation, so the risk is not a matter of prompt skill"
openai-text-technique,gpt-image,in-image-text,"Documented techniques: put the exact string in quotation marks with intended capitalization and name font, size, colour and placement; spell uncommon names letter-by-letter; ask for sharp text rendering when the layout is dense",https://openai.com/academy/image-generation/,2026-07-31,vendor-doc,That any of the three raises accuracy by a measured amount,"Apply all three and still inspect every character. They reduce the failure rate, they do not remove the inspection step"
midjourney-text-quotes,midjourney,in-image-text,Text must be inside double quotation marks; single quotes and apostrophes do not trigger text generation. Works best with the Latin alphabet and short phrases,https://docs.midjourney.com/hc/en-us/articles/32502277092109-Text-Generation,2026-07-31,vendor-doc,Any character limit or accuracy figure,"The only provider documenting a required syntax rather than a style. Vietnamese diacritics fall outside the documented alphabet, so treat them as untested"
