role_id,role_vi,role_en,filed_under,the_work,commands,recurs,artifact_per_cycle,can_be_bought,slips_when_busy,what_breaks_if_dropped
content,Viết content,Content writer,Nhân viên Marketing,"Caption Facebook and Instagram, TikTok script, blog article for search, product description for each marketplace listing, and the same message rewritten per platform",write; humanise; localise,weekly,market-ready-copy,"Yes, freelance per article or per caption batch; quality varies with whether a brief exists, which is the input the buyer usually does not have",Never. The empty page is the one failure the owner sees the same day,"Nothing this week, which is why it is never dropped and always written last, from nothing, at speed"
design,Thiết kế,Designer,Nhân viên Marketing,"Post images, marketplace banners, thumbnails, key visual, price tags, standee, and every one of them resized for four placements",compose; scale; colour; identify; produce; adapt,weekly,channel-matrix,"Yes, freelance per asset or a template pack; a template pack shifts the cost from making the asset to deciding what goes in it, which is the part that was hard","No. A post cannot go out without an image, so this gets done badly rather than late, and the palette is chosen in the last ten minutes","Consistency first, then recognition. Nobody notices for a quarter"
photo,Chụp ảnh sản phẩm,Product photographer,Nhân viên Marketing,"Shoot the product on a phone, on whatever surface is in the office, generate the scenes that could not be built in the office, then get twelve usable frames out of the two that came out",stage; shoot; generate; expand,per-campaign,composition-set,"Yes, a packshot studio per SKU. This is the role most worth buying, because the output is reusable for a year and the skill gap is largest","Yes. Last year's photo gets reused, which is why the feed looks identical in January and September","Every downstream asset inherits one tired photograph, and no amount of layout recovers a frame with the wrong light in it"
video,Quay và dựng video,Video shooter and editor,Nhân viên Marketing,"Shoot Reels and TikTok on a phone, cut in CapCut, burn in subtitles, cut the same footage again at a second aspect ratio and a shorter length",produce; adapt,weekly,channel-matrix,"Yes, freelance editing per video; the shooting is harder to buy because it needs the product in the room","No on TikTok, where the algorithm punishes a gap. Yes everywhere else","Short-form reach, which for a Vietnamese SME is now the cheapest reach available and the hardest to substitute"
community,Quản trị page và inbox,Community and inbox,Nhân viên Marketing,"Answer every inbox and comment, run the Zalo and Facebook group, seed replies, handle a bad review in public, and do all of it inside the response window the platform measures",,continuous,"none - no command in the surface covers it, because it produces no artefact. That is exactly why it is invisible in every plan and why it consumes the day",Partly. Scripted replies can be delegated; a bad review in public cannot,"Never. An unanswered inbox is a lost order, so this interrupts everything else and cannot be batched","Revenue, immediately and visibly. This is the role that wins the argument about priorities and should"
ads,Chạy quảng cáo,Paid media buyer,Nhân viên Marketing,"Facebook and TikTok campaigns, marketplace ads, daily budget, creative rotation, and reconciling what was spent against what the platform reported",plan; budget; measure,continuous,performance-report,"Yes, agency or freelance, usually on a share of spend. That fee structure rewards spending more, which is a conflict to price in rather than pretend away",No. Money leaves the account whether or not anyone is watching it,Spend continues into a creative nobody rotated and an audience nobody chose
marketplace,Vận hành sàn,Marketplace operator,Nhân viên Marketing,"Listings on Shopee, Lazada and TikTok Shop, product titles written for the platform's own search, voucher and flash-sale registration, and the double-date campaign calendar the platform sets and does not negotiate",write; produce; adapt; schedule,weekly,channel-matrix,"Yes, an operations service exists for exactly this; it is the least glamorous and most reliably worthwhile thing to outsource",No. Registration windows close and the discount funding is lost,"The campaign the platform was going to subsidise runs without you, and the traffic goes to a competitor who registered on time"
koc,Booking KOC và KOL,Creator coordinator,Nhân viên Marketing,"Find creators, negotiate, brief, ship samples, chase the post, reconcile payment, and secure the right to reuse the content in paid media",brief; approve,per-campaign,release-pack,"Yes, booking agencies and platforms. What they do not supply is the brief",The booking never slips. The usage right and the brief both do,"Content that cannot legally be boosted, which is the whole reason the budget was approved"
print,Làm việc với nhà in,Print and packaging liaison,Nhân viên Marketing,"Send print files, argue about colour, check a proof, approve labels, boxes, bags and standees, and catch the error before the run rather than after",scale; produce; approve,per-campaign,release-pack,The prepress can be bought. The approval cannot: the person who signs off the proof owns the wasted run,"Yes, until a proof is signed off unread and ten thousand boxes are wrong","A whole print run, in one payment, with no partial recovery"
report,Báo cáo,Reporting and analysis,Nhân viên Marketing,"Copy numbers out of four platforms into one spreadsheet every week, and present it to an owner who wants to know whether it is working",measure; diagnose; improve,weekly,revision-brief,The collection can be automated. The diagnosis cannot be bought from someone who was not in the room when the decisions were made,"The report never slips because it is asked for. The diagnosis always slips, because nobody asks for it by name","Nothing visible. The numbers keep arriving and stop changing anything, which is the most expensive failure in this table and the quietest"
sales,Hỗ trợ bán hàng và chốt đơn,Sales support,Nhân viên Marketing,"Chase orders, follow up leads, handle returns and exchanges, and cover the phone. None of it is marketing. It lands here because the marketer is the person at the desk with the customer's message already open",,continuous,"none - and no command in the surface covers it, which is the point of the row: it consumes marketing capacity and produces no marketing artefact","Yes, and it is the single highest-value hour to hand to somebody else, because it competes directly with every other row here",Never. A customer is waiting,"Nothing in marketing. Name it, measure it, and move it, because until it is named it is invisible in every capacity conversation"
event,Chạy sự kiện và activation,Event and activation,Nhân viên Marketing,"Trade fair, sampling booth, store opening, sponsor deliverables, and the logistics of getting product and people to a fixed date",plan; produce; launch,per-campaign,campaign-record,"Yes, event agencies. The brief and the on-site decisions stay in-house",No. The date is fixed and it absorbs whatever week it lands in,"A committed date with an incomplete booth, in public"
strategy,Định vị và chiến lược,Strategy and positioning,Nhân viên Marketing - and this is the part of the title everyone believes they were hired for,"Choose the buyer, choose the promise, choose what not to sell, choose the price position, and write it down where the other twelve roles can read it",brainstorm; research; investigate; survey; segment; position; offer,"once, then reviewed",offer-architecture,"Consultancies sell it. What cannot be bought is the decision, and a bought document nobody in the building agreed with changes no caption","Always, and first. It has no deadline, no visible output this week, and nobody in the company asks for it by name","Every other row starts guessing. Ads optimise toward a buyer nobody chose, content is written to nobody, the palette is picked on taste, and the weekly report measures activity because there is no chosen outcome to measure against"
