id,language,layer,marker,gloss_en,detect,detect_regex,what_it_carries,translated_instead,example_human,example_translated,fits_channel,wrong_when,evidence_grade
particle-nhe-nha,vi,particle,nhé / nha / nhá ở cuối câu,softening final particle,regex,(?:nhé|nha|nhá)\s*[.!?…],"The speaker is asking rather than instructing, and expects the reader to go along with it","A bare imperative, or `Vui lòng` bolted on the front of one",Để mình gói riêng phần đá nha.,Vui lòng giữ phần đá riêng biệt.,social; chat; email; marketplace,pr; sales-deck; a legal notice - a particle aimed at one reader is out of register there,grammar-descriptive
particle-day-co-kia,vi,particle,đấy / cơ / kia ở cuối câu,final particle correcting an assumption,regex,(?:đấy|cơ|kia)\s*[.!?…],"Corrects an expectation the reader is already holding, without naming it","An adversative connective at the front of the sentence, usually `Thực tế là`",Rang hôm qua thôi đấy.,Thực tế là sản phẩm được rang từ ngày hôm qua.,social; chat,pr; sales-deck - correcting an unstated assumption reads as arguing with the reader,grammar-descriptive
particle-thoi-ma-chu,vi,particle,thôi / mà / chứ ở cuối câu,final particle marking the claim as already agreed,regex,(?:thôi|mà|chứ)\s*[.!?…],"Treats the claim as obvious, or as settled between the two of you","A hedge in front of the claim, which does the opposite job",Bán hết là đóng cửa thôi.,Cửa hàng sẽ đóng khi sản phẩm được bán hết.,social; chat; marketplace,sales-deck; pr - `thôi` shrinks the one claim the document exists to make,grammar-descriptive
particle-a-ha,vi,particle,ạ / hả / à ở cuối câu,final particle carrying deference or a question back,regex,(?:ạ|hả|à)\s*[.!?…],"Places the speaker relative to the reader: ạ defers, hả asks back","`Có phải…?` or `Xin cho biết…`, an interrogative frame with no stance in it",Quán mở tới mấy giờ ạ?,Xin cho biết thời gian đóng cửa của quán.,social; chat,Any surface where the brand is not a person - ạ from a company account reads as staff on the wrong login,grammar-descriptive
topic-comment-thi,vi,clause-order,"Chủ đề đứng trước, `thì` nối sang phần bình luận","topic fronted, comment introduced by `thì`",regex,"(?:^|[.!?]\s+)(?!(?:Nếu|Khi|nếu|khi)\b)(?:\S+\s+){1,4}thì\b","Names what the sentence is about before saying anything about it, which is how Vietnamese orders information","Subject-verb-object in English order, because the English sentence was the unit being translated",Tiền vận chuyển thì shop chịu.,Shop sẽ chịu chi phí vận chuyển.,social; chat; web; email; marketplace,"A spec table or a price list, where there is no comment to make about the topic",grammar-descriptive
classifier-demonstrative,vi,reference,Loại từ cộng này / đó / ấy / kia,classifier plus demonstrative,regex,\b(?i:cái|con|chiếc|tấm|bộ|ly|tô|chai|hộp|cây|đôi)\s+\S+\s+(?:này|đó|ấy|kia)\b,Points at one physical thing near the reader instead of naming a category,"A bare noun, because English put an article there and the article does not survive the crossing",Cái tô đó nặng hơn tô thường.,Sản phẩm có khối lượng lớn hơn mức tiêu chuẩn.,social; chat; web; email; marketplace,"A catalogue line - the reader is not standing in front of the thing, so there is no đó to point with",grammar-descriptive
direction-verb-glue,vi,verb,Động từ chính dán liền ra / vào / lên / xuống / qua / về,main verb followed directly by a direction verb,regex,\b(?:lấy|mang|đem|chạy|bước|đưa|bỏ|cất|kéo|đẩy|chở|dọn|xách)\s+(?:ra|vào|lên|xuống|qua|về|tới|đi)\b,"Keeps the movement inside the verb, where Vietnamese keeps it","A prepositional phrase after the verb, copied off the English word order",Nhân viên xách ra tận xe.,Nhân viên sẽ vận chuyển đến phương tiện của khách.,any,Nothing in the sentence physically moves,grammar-descriptive
aspect-roi-luon,vi,aspect,rồi / luôn đóng câu,aspect adverb closing the clause,regex,\b(?:rồi|luôn)\s*[.!?…],"Marks where the event sits relative to now, which Vietnamese does with an adverb and English does with tense",`đã được` plus the verb - an English tense rendered as a Vietnamese morpheme,Ba giờ chiều là hết rồi.,Sản phẩm đã được bán hết vào lúc 15 giờ.,any,"A specification, where the reader needs the state and not the speaker's relation to it",grammar-descriptive
question-final-khong-chua,vi,question,Câu hỏi kết bằng không / chưa / hả,question closed on a final particle,regex,\b(?:không|chưa|hả)\s*\?,"Asks the way a person asks, with the question mark falling on the last word","`Có phải…?` or `Liệu…?`, an English interrogative frame lifted whole",Còn size M không?,Xin cho biết sản phẩm có còn kích cỡ M hay không.,social; chat; web; email,"A form label - a question with a particle on it reads as a chat message, not a field",grammar-descriptive
bi-experiential,vi,verb,`bị` với người chịu ảnh hưởng làm chủ ngữ,"`bị` marking an unwanted event, affected party as subject",regex,\bbị\s+(?:hư|trễ|lỗi|thiếu|sai|mất|đổi|hủy|chậm|ướt|móp)\b,"Says who the thing happened to, which is exactly what the English passive deletes","`được … bởi`, a passive Vietnamese does not have outside translated text","Có hai đơn bị trễ, cả hai đều gọi trước.",Hai đơn hàng đã được giao trễ bởi đơn vị vận chuyển.,any,Never wrong in Vietnamese. The row exists because the passive calque arrives in its place,grammar-descriptive
