style_id,name_vi,name_en,family,origin,silhouette,length_datum,fringe,face_frame,texture_finish,colour_note,face_fit,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,prompt_phrasing,lock_class,evidence_grade,source
jp-hime,Tóc hime,Hime cut,japanese,"Heian court Japan; revived through j-fashion, anime and e-girl styling","Three blunt horizontal tiers: fringe, side locks, back length",Back hair straight to waist or mid-back,Full straight fringe cut blunt at eyebrow level,"Side locks cut blunt and horizontal at cheekbone-to-jaw, held flat against the face","Pin-straight, high gloss, zero layering inside each tier",Reads strongest in solid dark shades; money pieces break the geometry,"Oval and long faces; the side locks visually crop a wide face, which is the point or the problem","The horizontal cut line of the side locks - no taper, no sweep, a deliberate step between tiers",kr-layered-curtain,Hime side pieces are blunt horizontal shelves held flat; curtain bangs taper and sweep outward from a centre part,"Front-on and symmetrical; wind or a three-quarter turn breaks the geometry, so pose frontal or lock the side locks in place","Recurring virtual model with a graphic identity, j-fashion and alt-fashion brands, beauty campaigns built on symmetry","Windswept lifestyle briefs, athletic motion, any brief that needs the hair to move","hime cut: blunt eyebrow-length straight fringe, cheek-length blunt side locks flat against the face, pin-straight waist-length hair, high-gloss finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
jp-wolf,Tóc wolf,Wolf cut,japanese,Tokyo salons via 2020s short-video revival of the 70s shag,Heavy layered crown collapsing into thin tapered lengths,Nape hair to shoulder or below; crown layers at ear,"Choppy curtain or full fringe, always textured",Aggressive short layers from cheekbone down,"Matte, piecey, deliberately undone",Takes dip-dye and unnatural colour well,Round and heart faces gain structure; fine hair loses too much weight,Volume sits at the crown while the ends go thin - the opposite weight of a blowout,kr-hush-cut,Wolf is choppy and matte with crown volume; hush is airy and soft with even face-framing,Best in motion or three-quarter; flat lighting makes it read unwashed,"Streetwear, music, youth brands, anything anti-polished","Bridal, corporate, luxury classic briefs","wolf cut: heavily layered crown, choppy textured fringe, thin tapered ends at the shoulder, matte piecey finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-c-curl-bob,Bob cụp chữ C,C-curl bob,korean,"Seoul salon standard, 2010s onward","Chin-length bob, ends turned inward in one C",Ends at chin to jaw,"See-through or side-swept, optional",The inward curl itself frames the jaw,"Soft, glossy, one clean bend - not a wave",Dark espresso and soft black photograph best,Softens square jaws; very round faces read rounder,"A single inward C at the ends, everywhere, and no other curl in the hair",us-french-bob,"C-curl bends inward and stays glossy-soft; the French bob is blunt, matte and holds a straight edge","Reads clean at every angle; the curl needs light to show, flat light kills it","Skincare, office-wear, K-beauty adjacent brands, trustworthy-professional casting",Edgy or nightlife briefs that need hardness,"chin-length Korean bob with ends curved inward in a soft C-curl, glossy healthy finish, see-through fringe",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-see-through-bang,Mái thưa,See-through bang,korean,"Korean idol and actress styling, mid-2010s",Long soft hair with a sparse wispy fringe,"Fringe at brow, main length collarbone or longer",Sparse strands with visible forehead between them,Longer side strands blend the fringe into the length,"Light, airy, moves with breath",Mid-brown tones keep the sparseness visible; jet black can read as gaps,High foreheads; softens without hiding,"Skin visible through the fringe - the fringe is a screen, not a curtain",jp-hime,See-through is sparse and airy over a visible forehead; hime is a solid blunt bar,Front-lit close-ups show the airiness; backlight makes it disappear,"Beauty close-ups, youthful casting, soft romantic briefs",Graphic or severe art direction; it reads gentle no matter what,"long hair with sparse see-through bangs, forehead faintly visible through wispy strands, airy light finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-hush-cut,Tóc hush,Hush cut,korean,"Seoul salons, early 2020s",Mid-length with airy feathered layers throughout,Collarbone to armpit length,Soft curtain or wispy full fringe,Feathered layers from cheekbone flowing back,"Airy, blow-dried movement, soft ends",Balayage and milk-tea tones sit naturally in the layers,Almost universal; the layers adjust to the face,Every layer feathers - no blunt line anywhere in the cut,jp-wolf,"Hush is soft, even and polished; wolf is choppy, matte and crown-heavy",Flattering at all angles; the safe premium-casual default,"Lifestyle, café, fashion-casual, wide-appeal casting",Briefs needing a graphic signature - hush is deliberately unmemorable,"mid-length Korean hush cut, airy feathered layers, soft curtain bangs, natural blow-dried movement",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-tassel-cut,Tóc tassel,Tassel cut,korean,"Korean take on the blunt bob, late 2010s",One-length blunt bob ending like a cut tassel,"Ends between jaw and chin, perfectly level",Usually none or long side-swept,The level line itself; no layers,"Straight, flat-ironed, sharp edge",Solid colour holds the graphic line,Long necks and defined jaws; hides nothing,The bottom edge is a ruler line - light passes under it in one band,kr-c-curl-bob,Tassel ends dead straight and sharp; the C-curl bob turns inward,Profile and back views are the money shots - the line shows,"Minimalist fashion, gallery-adjacent brands, graphic beauty",Soft romantic briefs; the edge reads decisive,"blunt one-length tassel-cut bob ending level at the chin, flat-ironed straight, razor-sharp bottom edge",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
kr-layered-curtain,Mái bay tầng,Layered curtain,korean,Pan-Asian salon standard built on the 70s curtain fringe,Long layers with a centre-parted fringe sweeping outward,"Fringe at cheekbone, layers from chin down, length past shoulder","Centre-parted, tapering from short at the part to cheekbone at the sides",The fringe flows into face-framing layers in one line,Blow-dried with outward bend at the frame,Face-framing highlights amplify the sweep,Universal; the default flattering frame,The fringe parts in the middle and leaves in two symmetric outward curves,jp-hime,Curtain tapers and sweeps outward; hime holds blunt horizontal shelves flat against the face,Three-quarter angles show the sweep; also survives wind,"Romantic, lifestyle, mainstream beauty - the crowd-pleaser",Graphic identity briefs; too common to own,"long layered hair with centre-parted curtain bangs sweeping outward to the cheekbones, soft blow-dried bend",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
cn-douyin-pony,Đuôi ngựa Douyin,Douyin high pony with wisps,chinese,Chinese short-video beauty grammar,High sleek ponytail with engineered loose strands,"Pony from the crown, tail past shoulder blade",Wispy strands pulled at temples and in front of ears,"Two face wisps plus baby hairs, everything else snatched","Crown mirror-sleek, tail softly curled",Money pieces around the face are standard,Lifts the eye area - pairs with cn-douyin makeup,"Deliberate contradiction: skin-tight crown, escaping wisps",us-high-pony,Douyin keeps engineered wisps and money pieces; the western snatched pony allows none,Built for front phone camera and ring light like the makeup it pairs with,"Livestream commerce, C-beauty adjacent, playful glam",Editorial print; the wisps read messy at large size,"high sleek ponytail, loose face-framing wisps at the temples, curled tail, polished crown",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
vn-long-straight,Tóc dài truyền thống,Vietnamese long straight,vietnamese,Traditional Vietnamese femininity; the áo dài companion,"One length, straight, centre or soft side part",Mid-back to waist,"None, or grown-out side sweep",None - the face is fully open,"Naturally straight, healthy shine, not flat-ironed dead",Natural black to dark espresso; highlights break the reading,Oval; on round faces add a soft side part,"Length plus openness - no fringe, no layers, nothing between face and hair",us-abg-straight,The Vietnamese classic has no money pieces and natural shine; ABG straight is flat-ironed glass with bleached face frames,"Áo dài, tea, bridal and heritage briefs read instantly; motion shots need a fan or wind","Heritage brands, áo dài campaigns, bridal, Tết visuals",Street fashion or sporty briefs,"waist-length natural straight black hair, centre part, no fringe, healthy natural shine",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
vn-low-chignon,Búi thấp cô dâu,Low chignon,vietnamese,Vietnamese bridal and ceremony styling,Hair swept back into a low soft bun at the nape,Bun sits at or below the occipital bone,Soft face strands released at the temples,Two soft tendrils; ears usually shown for jewellery,"Smooth with soft volume at the crown, never wet-look",Dark natural shades; ornaments carry the accent,Shows the neck and jaw; needs confident bone structure or soft tendrils,"The bun is low and soft, not a ballet knot - weight at the nape",us-slick-bun,"The chignon is soft, low and romantic; the slick bun is gelled, tight and sharp",Profile and back three-quarter show the bun; front-on it reads as pulled-back hair,"Bridal, ceremony, jewellery, áo dài formal",Casual or athletic briefs,"low soft chignon at the nape, gentle crown volume, two loose face tendrils, polished but not wet",styling,craft-heuristic,"Recall, unverified 2026-08-07; hairstyle vocabulary drifts by season - check current salon and platform references before a campaign"
