id,language,device_vi,device_en,shape,detect,pattern,only_when,budget_per_set,severity,why_it_reads_machine,fix
contrastive-negation,both,"Phủ định đối lập","Contrastive negation","A, không phải B. Or two sentences where the second one negates the first. A comma-joined negation is not counted here - `Bốn món trên bảng, không có món phụ` is a second fact rather than a contrast, and the sentence-final version is caught by clipped-parallel anyway",regex,"(?i)(?:[.;!?]\s*|\s—\s)(?:không|never\b|not\b)|\b(không phải|chứ không|nhưng không|thay vì|rather than|instead of)\b",always,1,high,"The strongest device available for stating a principle, which is why a model reaches for it every time it has a principle to state. One is a position. Four on one page is a tic, and the reader stops hearing the position and starts hearing the machine","Keep the one where the negation is the news - where a reader genuinely expected B. Rewrite the others as the positive half only, and let the contrast be implied by what you did not say"
symmetry-in-out,both,"Đối xứng vào-ra","In-and-out symmetry","X đi vào. Y đi ra.",regex,"(?i)\b(đi vào|đưa vào|goes in|in)\b[^\n]{0,45}\b(đi ra|đưa ra|comes out|out)\b",always,1,medium,"A pipeline description wearing a headline. It tells the reader what the machine does to an input, which is a fact about the maker's process and not about the reader's situation","Name what the reader walks away holding. The transformation is the mechanism, and the mechanism belongs one line below the title"
clipped-parallel,both,"Câu ngắn song song","Clipped parallel fragments","Two or more sentences in one title, each five words or fewer",structural,,always,1,high,"Full stops used as a rhythm instrument. It reads as deliberate the first time and as a template by the third, and it is the single most recognisable shape in machine-written headline copy","One sentence. If two facts genuinely both belong in the title, the title is doing the job of a title and a deck, so split it into a title and a deck"
colon-deck,both,"Tiêu đề hai tầng","Colon deck","Title: the part that explains the title",regex,"(?<![0-9]):\s+\S",always,1,medium,"The colon lets a writer avoid choosing. Everything before it is a gesture and everything after it is the actual sentence, so the reader pays for the first half twice","Delete the left half and check whether anything was lost. Usually the right half was the headline"
curiosity-gap-vi,vi,"Khoảng trống tò mò","Curiosity gap","Bí mật / điều ít ai biết / sự thật đằng sau",regex,"(?i)\b(bí mật|bí quyết|bật mí|hé lộ|sự thật đằng sau|điều ít ai biết|điều không ai nói|ít ai biết|bạn sẽ không tin)\b",always,0,critical,"It withholds the only thing the title had to give. There is no version of this that is not a promise to pay the reader later, and the reader has been paid later before","State the fact. If the fact is not interesting enough to be the headline, the problem is upstream of the headline"
curiosity-gap-en,en,"Khoảng trống tò mò (tiếng Anh)","Curiosity gap, English","The secret to / what nobody tells you / you won't believe",regex,"(?i)\b(the secret (to|of)|what nobody tells you|you won'?t believe|this one trick|here'?s why you)\b",always,0,critical,"Same withholding, and in English it additionally dates the copy to a decade of content marketing the reader has learned to scroll past","State the fact, and put the number in it if there is one"
imperative-discovery-vi,vi,"Mệnh lệnh khám phá","Discovery imperative","Khám phá / đừng bỏ lỡ / nhanh tay",regex,"(?i)^(khám phá|tìm hiểu ngay|đừng bỏ lỡ|nhanh tay|chốt ngay|mua ngay|xem ngay|trải nghiệm ngay)\b",always,0,critical,"An order given to a stranger who has not agreed to be addressed. In Vietnamese it is doubly wrong because the imperative with no addressee and no particle reads as signage rather than speech","Replace the verb with the thing. A noun the reader recognises does the work the imperative was trying to force"
gerund-elevation-en,en,"Danh động từ nâng tầm","Elevation gerund","Unlocking / Elevating / Mastering / Transforming",regex,"(?i)^(unlocking|unleashing|elevating|mastering|transforming|revolutioni[sz]ing|discover|unlock|unleash|elevate|master|transform|revolutioni[sz]e)\b",always,0,critical,"The most heavily fingerprinted opening in machine-written English. It also has no subject, so nobody is doing the unlocking and nothing is being unlocked in particular","Name the actor and the object. If neither is nameable, there is no title here yet"
guide-frame,both,"Khung cẩm nang","Guide frame","Tất tần tật về / hướng dẫn A-Z / the ultimate guide to",regex,"(?i)(tất tần tật|từ a ?- ?z|từ a đến z|hướng dẫn (toàn diện|chi tiết|đầy đủ)|the (ultimate|complete|definitive) guide|everything you need to know)",always,0,high,"A claim about the document's own completeness, made by the document. It is unfalsifiable and it is always the first thing to be untrue","Title the piece with the one thing it settles. Completeness is the reader's verdict to reach, not the title's claim to make"
top-n-listicle,both,"Danh sách top N","Top-N listicle","Top 5 / 7 điều / 10 ways",regex,"(?i)^(top\s*\d+|\d+\s+(điều|cách|lý do|mẹo|bước|things|ways|reasons|tips|steps))\b",always,0,high,"The number is about how the writer organised the work. A reader who wanted five of something would already know they wanted five","Lead with the most useful item on the list. If none of them can carry a headline alone, the list is padding"
